"mother_tongue_code","mother_tongue","canonical_language","national_speakers","n_districts","match_term","term_source","language_glottocode","glottolog_name","family_id","countries","iso639P3code","alias_basis","provider","is_india_language","candidate_count","candidate_status","review_status","reviewed_glottocode"
"006118","Hindi","Hindi",257919635,593,"Hindi","mother_tongue","hind1269","Hindi","indo1319","BD;BT;IN;NP","hin","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","hind1269"
"002004","Bengali","Bengali",82462437,593,"Bengali","mother_tongue","beng1280","Bengali","indo1319","BD;IN;NP","ben","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","beng1280"
"021035","Telugu","Telugu",73817148,569,"Telugu","mother_tongue","telu1262","Telugu","drav1251","IN","tel","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","telu1262"
"013048","Marathi","Marathi",71701478,585,"Marathi","mother_tongue","mara1378","Marathi","indo1319","IN","mar","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","mara1378"
"020020","Tamil","Tamil",60655813,585,"Tamil","mother_tongue","tami1289","Tamil","drav1251","IN;LK","tam","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","tami1289"
"022014","Urdu","Urdu",51533954,592,"Urdu","mother_tongue","urdu1245","Urdu","indo1319","AF;BD;IN;PK","urd","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","urdu1245"
"005011","Gujarati","Gujarati",45715654,565,"Gujarati","mother_tongue","guja1252","Gujarati","indo1319","BD;IN;PK","guj","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","guja1252"
"007013","Kannada","Kannada",37742232,533,"Kannada","mother_tongue","nucl1305","Kannada","drav1251","IN","kan","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","nucl1305"
"006045","Bhojpuri","Hindi",33099497,551,"Bhojpuri","mother_tongue","bhoj1244","Bhojpuri","indo1319","IN;NP","bho","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","bhoj1244"
"011013","Malayalam","Malayalam",33015420,591,"Malayalam","mother_tongue","mala1464","Malayalam","drav1251","IN","mal","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","mala1464"
"015031","Oriya","Oriya",32110482,580,"Oriya","mother_tongue","adiv1239","Kotia-Adivasi Oriya-Desiya","indo1319","IN","ort","alternate_name","moseley & asher (1994)",TRUE,1,"exact_unique","accepted_manual","oriy1255"
"016018","Punjabi","Punjabi",28152794,574,"Punjabi","mother_tongue","panj1256","Eastern Panjabi","indo1319","BD;IN;PK","pan","alternate_name","lexvo",TRUE,1,"exact_unique","accepted_manual","panj1256"
"006242","Rajasthani","Hindi",18355613,564,"Rajasthani","mother_tongue","bagr1243","Bagri","indo1319","IN;PK","bgq","alternate_name","ruhlen (1987)",TRUE,4,"exact_ambiguous","unresolved",""
"006242","Rajasthani","Hindi",18355613,564,"Rajasthani","mother_tongue","marw1256","Marwari (Pakistan)","indo1319","IN;PK","mve","alternate_name","multitree",TRUE,4,"exact_ambiguous","unresolved",""
