"mother_tongue","canonical_language","state_code_2001","speakers","n_districts","national_language_speakers","speaker_share_of_distance4"
"Kashmiri","Kashmiri","01",5262911,12,5320696,66.7212861616977
"Kachchhi","Sindhi","24",660775,26,800325,8.3770669622754
"Sindhi","Sindhi","27",523478,34,1585750,6.63646514967728
"Sindhi","Sindhi","08",299532,28,1585750,3.79735858854266
"Sindhi","Sindhi","24",297234,26,1585750,3.76822537393964
"Sindhi","Sindhi","23",252968,45,1585750,3.20703700247873
"Kachchhi","Sindhi","27",132127,34,800325,1.67505841856088
"Sindhi","Sindhi","22",87545,17,1585750,1.10986391315107
"Siraji","Kashmiri","01",46302,7,87179,0.58700004462529
"Others","Kashmiri","01",44435,10,60528,0.563330892465223
"Siraji","Kashmiri","02",40863,8,87179,0.51804636567585
"Sindhi","Sindhi","07",40453,8,1585750,0.512848533653554
"Sindhi","Sindhi","09",33402,62,1585750,0.423458500509134
"Kishtwari","Kashmiri","01",33396,8,33426,0.423382434674661
"Kashmiri","Kashmiri","07",20458,8,5320696,0.259359140273512
"Sindhi","Sindhi","29",12942,24,1585750,0.164074004957464
"Sindhi","Sindhi","28",10131,21,1585750,0.128437161507037
"Others","Sindhi","08",9347,10,60528,0.11849789246928
"Kashmiri","Kashmiri","02",9298,13,5320696,0.11787668815442
"Sindhi","Sindhi","33",7105,19,1585750,0.0900746256546733
"Sindhi","Sindhi","06",5393,19,1585750,0.068370507551816
"Sindhi","Sindhi","19",5168,14,1585750,0.0655180387590924
"Kashmiri","Kashmiri","27",4895,30,5320696,0.0620570432905877
"Kashmiri","Kashmiri","05",3955,11,5320696,0.0501400625565423
"Kashmiri","Kashmiri","06",3704,18,5320696,0.0469579751477706
"Others","Sindhi","27",2955,22,60528,0.0374624234777705
"Sindhi","Sindhi","10",2866,22,1585750,0.0363341135997598
"Kashmiri","Kashmiri","03",2261,17,5320696,0.0286641419571029
"Sindhi","Sindhi","20",1928,12,1585750,0.0244424881438719
"Kashmiri","Kashmiri","09",1927,31,5320696,0.0244298105047932
"Sindhi","Sindhi","21",1917,16,1585750,0.0243030341140054
"Sindhi","Sindhi","05",1820,11,1585750,0.0230733031233646
"Kachchhi","Sindhi","22",1694,16,800325,0.0214759205994393
"Kachchhi","Sindhi","29",1690,19,800325,0.0214252100431243
"Kashmiri","Kashmiri","04",1659,2,5320696,0.0210322032316823
"Kashmiri","Kashmiri","29",1569,19,5320696,0.0198912157145929
"Kashmiri","Kashmiri","08",1380,19,5320696,0.017495141928705
"Kachchhi","Sindhi","23",1234,23,800325,0.0156442066232043
"Kashmiri","Kashmiri","23",1108,25,5320696,0.0140468240992791
"Kashmiri","Kashmiri","19",1078,19,5320696,0.0136664949269159
"Kachchhi","Sindhi","32",1053,8,800325,0.0133495539499467
"Kashmiri","Kashmiri","24",992,19,5320696,0.0125762179661416
"Kashmiri","Kashmiri","10",930,13,5320696,0.0117902043432577
"Others","Sindhi","24",778,19,60528,0.00986320320328442
"Kashmiri","Kashmiri","30",472,3,5320696,0.00598384564518027
"Sindhi","Sindhi","03",444,10,1585750,0.00562887175097466
"Others","Sindhi","10",385,12,60528,0.00488089104532712
"Kashmiri","Kashmiri","28",376,13,5320696,0.00476679229361818
"Sindhi","Sindhi","30",354,3,1585750,0.0044878842338852
"Others","Sindhi","01",346,10,60528,0.00438646312125503
"Kashmiri","Kashmiri","18",337,22,5320696,0.00427236436954608
"Others","Sindhi","21",337,21,60528,0.00427236436954608
"Kachchhi","Sindhi","08",336,8,800325,0.00425968673046731
"Others","Sindhi","19",335,8,60528,0.00424700909138854
"Kachchhi","Sindhi","21",311,12,800325,0.00394274575349801
"Sindhi","Sindhi","18",310,12,1585750,0.00393006811441924
"Others","Sindhi","23",306,18,60528,0.00387935755810416
"Others","Sindhi","18",278,12,60528,0.00352438366389855
"Kashmiri","Kashmiri","33",276,15,5320696,0.003499028385741
"Kachchhi","Sindhi","33",259,6,800325,0.00328350852140188
"Kachchhi","Sindhi","19",246,7,800325,0.00311869921337785
"Kashmiri","Kashmiri","20",182,11,5320696,0.00230733031233646
"Kashmiri","Kashmiri","32",182,7,5320696,0.00230733031233646
"Sindhi","Sindhi","17",180,4,1585750,0.00228197503417891
"Kachchhi","Sindhi","30",172,3,800325,0.00218055392154874
"Sindhi","Sindhi","32",144,7,1585750,0.00182558002734313
"Kachchhi","Sindhi","25",140,2,800325,0.00177486947102805
"Kashmiri","Kashmiri","16",137,5,5320696,0.00173683655379173
"Kashmiri","Kashmiri","22",127,9,5320696,0.00161006016300401
