"semantic_specification_id","execution_specification_id","semantic_adjustment_id","execution_adjustment_id","is_execution_alias"
"instrument_only","instrument_only","instrument_only","instrument_only",FALSE
"region_fe","region_fe","region_fe","region_fe",FALSE
"state_fe","state_fe","state_fe","state_fe",FALSE
"census_controls","census_controls","census_controls","census_controls",FALSE
"region_fe_census_controls","region_fe_census_controls","region_fe_census_controls","region_fe_census_controls",FALSE
"state_fe_census_controls","state_fe_census_controls","state_fe_census_controls","state_fe_census_controls",FALSE
"expanded_controls","expanded_controls","expanded_controls","expanded_controls",FALSE
"region_fe_expanded_controls","region_fe_expanded_controls","region_fe_expanded_controls","region_fe_expanded_controls",FALSE
"state_fe_expanded_controls","state_fe_expanded_controls","state_fe_expanded_controls","state_fe_expanded_controls",FALSE
"region_fe_main_without_human_capital","region_fe_main_without_human_capital","region_fe_main_without_human_capital","region_fe_main_without_human_capital",FALSE
"state_fe_main_without_human_capital","state_fe_main_without_human_capital","state_fe_main_without_human_capital","state_fe_main_without_human_capital",FALSE
"region_fe_expanded_without_human_capital","region_fe_expanded_without_human_capital","region_fe_expanded_without_human_capital","region_fe_expanded_without_human_capital",FALSE
"state_fe_expanded_without_human_capital","state_fe_expanded_without_human_capital","state_fe_expanded_without_human_capital","state_fe_expanded_without_human_capital",FALSE
"region_fe_plus_basic_scale_geography","region_fe_plus_basic_scale_geography","region_fe_plus_basic_scale_geography","region_fe_plus_basic_scale_geography",FALSE
"region_fe_plus_social_composition","region_fe_plus_social_composition","region_fe_plus_social_composition","region_fe_plus_social_composition",FALSE
"region_fe_plus_human_capital","region_fe_plus_human_capital","region_fe_plus_human_capital","region_fe_plus_human_capital",FALSE
"region_fe_plus_demography","region_fe_plus_demography","region_fe_plus_demography","region_fe_plus_demography",FALSE
"region_fe_plus_economic_structure","region_fe_plus_economic_structure","region_fe_plus_economic_structure","region_fe_plus_economic_structure",FALSE
"region_fe_plus_basic_development","region_fe_expanded_controls","region_fe_plus_basic_development","region_fe_expanded_controls",TRUE
"state_fe_plus_basic_scale_geography","state_fe_plus_basic_scale_geography","state_fe_plus_basic_scale_geography","state_fe_plus_basic_scale_geography",FALSE
"state_fe_plus_social_composition","state_fe_plus_social_composition","state_fe_plus_social_composition","state_fe_plus_social_composition",FALSE
"state_fe_plus_human_capital","state_fe_plus_human_capital","state_fe_plus_human_capital","state_fe_plus_human_capital",FALSE
"state_fe_plus_demography","state_fe_plus_demography","state_fe_plus_demography","state_fe_plus_demography",FALSE
"state_fe_plus_economic_structure","state_fe_plus_economic_structure","state_fe_plus_economic_structure","state_fe_plus_economic_structure",FALSE
"state_fe_plus_basic_development","state_fe_expanded_controls","state_fe_plus_basic_development","state_fe_expanded_controls",TRUE
"region_block_only_basic_scale_geography","region_fe_plus_basic_scale_geography","region_block_only_basic_scale_geography","region_fe_plus_basic_scale_geography",TRUE
"region_main_without_basic_scale_geography","region_main_without_basic_scale_geography","region_main_without_basic_scale_geography","region_main_without_basic_scale_geography",FALSE
"region_block_only_social_composition","region_block_only_social_composition","region_block_only_social_composition","region_block_only_social_composition",FALSE
"region_main_without_social_composition","region_main_without_social_composition","region_main_without_social_composition","region_main_without_social_composition",FALSE
"region_block_only_human_capital","region_block_only_human_capital","region_block_only_human_capital","region_block_only_human_capital",FALSE
"region_main_without_human_capital","region_fe_main_without_human_capital","region_main_without_human_capital","region_fe_main_without_human_capital",TRUE
"region_block_only_demography","region_block_only_demography","region_block_only_demography","region_block_only_demography",FALSE
"region_main_without_demography","region_main_without_demography","region_main_without_demography","region_main_without_demography",FALSE
"region_block_only_economic_structure","region_block_only_economic_structure","region_block_only_economic_structure","region_block_only_economic_structure",FALSE
"region_main_without_economic_structure","region_main_without_economic_structure","region_main_without_economic_structure","region_main_without_economic_structure",FALSE
"region_block_only_basic_development","region_block_only_basic_development","region_block_only_basic_development","region_block_only_basic_development",FALSE
"region_main_without_basic_development","region_main_without_basic_development","region_main_without_basic_development","region_main_without_basic_development",FALSE
"state_block_only_basic_scale_geography","state_fe_plus_basic_scale_geography","state_block_only_basic_scale_geography","state_fe_plus_basic_scale_geography",TRUE
"state_main_without_basic_scale_geography","state_main_without_basic_scale_geography","state_main_without_basic_scale_geography","state_main_without_basic_scale_geography",FALSE
"state_block_only_social_composition","state_block_only_social_composition","state_block_only_social_composition","state_block_only_social_composition",FALSE
"state_main_without_social_composition","state_main_without_social_composition","state_main_without_social_composition","state_main_without_social_composition",FALSE
"state_block_only_human_capital","state_block_only_human_capital","state_block_only_human_capital","state_block_only_human_capital",FALSE
"state_main_without_human_capital","state_fe_main_without_human_capital","state_main_without_human_capital","state_fe_main_without_human_capital",TRUE
"state_block_only_demography","state_block_only_demography","state_block_only_demography","state_block_only_demography",FALSE
"state_main_without_demography","state_main_without_demography","state_main_without_demography","state_main_without_demography",FALSE
"state_block_only_economic_structure","state_block_only_economic_structure","state_block_only_economic_structure","state_block_only_economic_structure",FALSE
"state_main_without_economic_structure","state_main_without_economic_structure","state_main_without_economic_structure","state_main_without_economic_structure",FALSE
"state_block_only_basic_development","state_block_only_basic_development","state_block_only_basic_development","state_block_only_basic_development",FALSE
"state_main_without_basic_development","state_main_without_basic_development","state_main_without_basic_development","state_main_without_basic_development",FALSE
"region_main_literacy","region_main_literacy","region_main_literacy","region_main_literacy",FALSE
"region_main_decomposed_economic","region_main_decomposed_economic","region_main_decomposed_economic","region_main_decomposed_economic",FALSE
"region_main_literacy_decomposed_economic","region_main_literacy_decomposed_economic","region_main_literacy_decomposed_economic","region_main_literacy_decomposed_economic",FALSE
"state_main_literacy","state_main_literacy","state_main_literacy","state_main_literacy",FALSE
"state_main_decomposed_economic","state_main_decomposed_economic","state_main_decomposed_economic","state_main_decomposed_economic",FALSE
"state_main_literacy_decomposed_economic","state_main_literacy_decomposed_economic","state_main_literacy_decomposed_economic","state_main_literacy_decomposed_economic",FALSE
