"mother_tongue_code","mother_tongue","canonical_language","language_glottocode","glottolog_name","family_id","iso639P3code","glottolog_level","match_basis","review_status","notes","glottolog_edge_distance_from_hindi"
"001002","Assamese","Assamese","assa1263","Assamese","indo1319","asm","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",12
"001999","Others","Assamese","","","","","","","unresolved","",NA
"002004","Bengali","Bengali","beng1280","Bengali","indo1319","ben","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",11
"002007","Chakma","Bengali","chak1266","Chakma","indo1319","ccp","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",12
"002009","Haijong/Hajong","Bengali","hajo1238","Hajong","indo1319","haj","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",12
"002023","Rajbangsi","Bengali","","","","","","","unresolved","",NA
"002999","Others","Bengali","","","","","","","unresolved","",NA
"003001","Bodo","Bodo","bodo1269","Bodo-Mech","sino1245","brx","language","manual_disambiguation","accepted_manual","Indian Bodo/Mech language (ISO brx); disambiguates unrelated Bodo aliases.",19
"003999","Others","Bodo","","","","","","","unresolved","",NA
"004001","Dogri","Dogri","dogr1250","Dogri","indo1319","dgo","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",12
"004999","Others","Dogri","","","","","","","unresolved","",NA
"005011","Gujarati","Gujarati","guja1252","Gujarati","indo1319","guj","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",9
"005012","Gujrao/Gujrau","Gujarati","","","","","","","unresolved","",NA
"005036","Saurashtra/Saurashtri","Gujarati","saur1248","Saurashtra","indo1319","saz","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",9
"005999","Others","Gujarati","","","","","","","unresolved","",NA
"006008","Awadhi","Hindi","awad1243","Awadhi","indo1319","awa","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",7
"006016","Bagheli/Baghel Khandi","Hindi","bagh1251","Bagheli","indo1319","bfy","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",7
"006017","Bagri Rajasthani","Hindi","","","","","","","unresolved","",NA
"006026","Banjari","Hindi","","","","","","","unresolved","",NA
