"sample","predictor","fixed_effect","variable","domain","source","label","estimate","std.error","p.value","standardized_effect","n","n_states","population_1991","status","predictor_id"
"preferred_geography","emie_exposure","none","log_population_1991","demography","PCA91","Log population",0.000363062890466926,0.00578379265324096,0.94999232398382,0.00845220810483366,283,28,478363810,"estimated","eventual_emie"
"preferred_geography","emie_exposure","none","female_share_1991","demography","PCA91","Female population share",0.0237422145921169,0.01821056605894,0.193382359366113,0.212677958592733,283,28,478363810,"estimated","eventual_emie"
"preferred_geography","emie_exposure","none","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-0.125263456176881,0.0210062185767153,7.41089448820283e-09,-0.627084458162792,283,28,478363810,"estimated","eventual_emie"
"preferred_geography","emie_exposure","none","sc_share_1991","demography","PCA91","Scheduled Caste share",-0.137944577983909,0.0677743974345751,0.0427539258194968,-0.255326730847845,283,28,478363810,"estimated","eventual_emie"
"preferred_geography","emie_exposure","none","st_share_1991","demography","PCA91","Scheduled Tribe share",-0.0504002221827421,0.0927375888860312,0.587236193245651,-0.0543699917395755,283,28,478363810,"estimated","eventual_emie"
"preferred_geography","emie_exposure","none","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",0.68872042709663,0.195986950013327,0.000514066478490727,0.590695285506205,283,28,478363810,"estimated","eventual_emie"
"preferred_geography","emie_exposure","none","main_worker_share_1991","economic_structure","PCA91","Main-worker share",0.0434883753693159,0.0712439661684541,0.542080393115768,0.0967565318187405,283,28,478363810,"estimated","eventual_emie"
"preferred_geography","emie_exposure","none","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",-0.0433668821428751,0.018618584866228,0.0205560439300341,-0.240812854340799,283,28,478363810,"estimated","eventual_emie"
"preferred_geography","emie_exposure","none","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-0.723396211273531,0.130209266437118,6.41713592210729e-08,-0.565260700118373,283,28,478363810,"estimated","eventual_emie"
"preferred_geography","emie_exposure","none","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",-0.146469337285066,0.106400683270006,0.169737154293189,-0.15157236289299,283,28,478363810,"estimated","eventual_emie"
"preferred_geography","emie_exposure","none","rural_primary_schools_per_100k_1991","rural_development","VD91","Rural primary schools per 100,000 district residents",-0.506043483671915,0.215622484503358,0.0196376018480553,-0.218568710269265,278,28,469521527,"estimated","eventual_emie"
