"geography_variant","source_coverage_threshold","predictor_id","predictor","domain","tested_covariates","n_tested_covariates","joint_f","joint_p","n","n_states","population_1991","status","reason"
"preferred_historical_geography",NA,"eventual_emie","emie_exposure","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,3.79584408572069,0.00248242907157206,283,28,478363810,"estimated",NA
"preferred_historical_geography",NA,"eventual_emie","emie_exposure","human_capital","literacy_share_7plus_1991",1,23.1070086312959,2.62548041223168e-06,283,28,478363810,"estimated",NA
"preferred_historical_geography",NA,"eventual_emie","emie_exposure","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,13.5553840235987,5.09452453894414e-10,283,28,478363810,"estimated",NA
"G0_exact_only",NA,"eventual_emie","emie_exposure","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,6.12356608208745,0.000356493778994414,64,24,72333659,"estimated",NA
"G0_exact_only",NA,"eventual_emie","emie_exposure","human_capital","literacy_share_7plus_1991",1,1.46663023662891,0.233165832481298,64,24,72333659,"estimated",NA
"G0_exact_only",NA,"eventual_emie","emie_exposure","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,2.62592536545332,0.0505013145920407,64,24,72333659,"estimated",NA
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,3.10016605039195,0.00982579389399721,283,28,478363810,"estimated",NA
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","human_capital","literacy_share_7plus_1991",1,2.81780945362751,0.0944533375060169,283,28,478363810,"estimated",NA
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,4.64088784235269,0.00124528493032417,283,28,478363810,"estimated",NA
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,3.15660111495445,0.0186627362958589,64,24,72333659,"estimated",NA
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","human_capital","literacy_share_7plus_1991",1,0.03518485769553,0.852181347532691,64,24,72333659,"estimated",NA
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,0.900015604706631,0.474164359206749,64,24,72333659,"estimated",NA
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,5.24812972619572,0.000104247122947121,537,32,781143441.600941,"estimated",NA
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","human_capital","literacy_share_7plus_1991",1,26.9414603961163,3.04628571360185e-07,537,32,781143441.600941,"estimated",NA
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,11.265435310883,9.25087674716989e-09,537,32,781143441.600941,"estimated",NA
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,3.30411865022585,0.00603245639195236,537,32,781143441.600941,"estimated",NA
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","human_capital","literacy_share_7plus_1991",1,0.00684636430111215,0.934088934934847,537,32,781143441.600941,"estimated",NA
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,6.7493729270459,2.69287998233644e-05,537,32,781143441.600941,"estimated",NA
"G2_population_interpolated",0.95,"eventual_emie","emie_exposure","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,5.28255757676003,9.69428177952985e-05,536,32,779934459.444497,"estimated",NA
"G2_population_interpolated",0.95,"eventual_emie","emie_exposure","human_capital","literacy_share_7plus_1991",1,26.960570577948,3.02000068331949e-07,536,32,779934459.444497,"estimated",NA
"G2_population_interpolated",0.95,"eventual_emie","emie_exposure","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,11.4316137009602,6.92045483624064e-09,536,32,779934459.444497,"estimated",NA
"G2_population_interpolated",0.95,"census_2001_ld","ling_distance_nonzero_mean_2001","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,3.26163927088555,0.00657684201822786,536,32,779934459.444497,"estimated",NA
"G2_population_interpolated",0.95,"census_2001_ld","ling_distance_nonzero_mean_2001","human_capital","literacy_share_7plus_1991",1,0.0141926927496682,0.905217480160502,536,32,779934459.444497,"estimated",NA
"G2_population_interpolated",0.95,"census_2001_ld","ling_distance_nonzero_mean_2001","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,6.79856135740012,2.47011730047693e-05,536,32,779934459.444497,"estimated",NA
"G2_population_interpolated",0.99,"eventual_emie","emie_exposure","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,4.96046570998704,0.000193492571678542,519,32,761754414.948835,"estimated",NA
"G2_population_interpolated",0.99,"eventual_emie","emie_exposure","human_capital","literacy_share_7plus_1991",1,25.5559204839023,6.09753127888361e-07,519,32,761754414.948835,"estimated",NA
"G2_population_interpolated",0.99,"eventual_emie","emie_exposure","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,10.7070568510959,2.53963130792935e-08,519,32,761754414.948835,"estimated",NA
"G2_population_interpolated",0.99,"census_2001_ld","ling_distance_nonzero_mean_2001","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,2.98741242421869,0.011457907412236,519,32,761754414.948835,"estimated",NA
"G2_population_interpolated",0.99,"census_2001_ld","ling_distance_nonzero_mean_2001","human_capital","literacy_share_7plus_1991",1,0.0499544563747398,0.823236457596924,519,32,761754414.948835,"estimated",NA
"G2_population_interpolated",0.99,"census_2001_ld","ling_distance_nonzero_mean_2001","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,6.73190437224848,2.80745752329258e-05,519,32,761754414.948835,"estimated",NA
