"geography_variant","source_coverage_threshold","predictor_id","fixed_effect","n_min","n_max","n_states_min","n_states_max","population_1991_min","population_1991_max"
"G0_exact_only",NA,"census_2001_ld","none",64,64,24,24,72333659,72333659
"G0_exact_only",NA,"census_2001_ld","state",64,64,24,24,72333659,72333659
"G0_exact_only",NA,"eventual_emie","none",64,64,24,24,72333659,72333659
"G0_exact_only",NA,"eventual_emie","state",64,64,24,24,72333659,72333659
"G2_population_interpolated",0.9,"census_2001_ld","none",537,537,32,32,781143441.600941,781143441.600941
"G2_population_interpolated",0.9,"census_2001_ld","state",537,537,32,32,781143441.600941,781143441.600941
"G2_population_interpolated",0.9,"eventual_emie","none",537,537,32,32,781143441.600941,781143441.600941
"G2_population_interpolated",0.9,"eventual_emie","state",537,537,32,32,781143441.600941,781143441.600941
"G2_population_interpolated",0.95,"census_2001_ld","none",536,536,32,32,779934459.444497,779934459.444497
"G2_population_interpolated",0.95,"census_2001_ld","state",536,536,32,32,779934459.444497,779934459.444497
"G2_population_interpolated",0.95,"eventual_emie","none",536,536,32,32,779934459.444497,779934459.444497
"G2_population_interpolated",0.95,"eventual_emie","state",536,536,32,32,779934459.444497,779934459.444497
"G2_population_interpolated",0.99,"census_2001_ld","none",519,519,32,32,761754414.948835,761754414.948835
"G2_population_interpolated",0.99,"census_2001_ld","state",519,519,32,32,761754414.948835,761754414.948835
"G2_population_interpolated",0.99,"eventual_emie","none",519,519,32,32,761754414.948835,761754414.948835
"G2_population_interpolated",0.99,"eventual_emie","state",519,519,32,32,761754414.948835,761754414.948835
"preferred_historical_geography",NA,"census_2001_ld","none",283,283,28,28,478363810,478363810
"preferred_historical_geography",NA,"census_2001_ld","state",283,283,28,28,478363810,478363810
"preferred_historical_geography",NA,"eventual_emie","none",283,283,28,28,478363810,478363810
"preferred_historical_geography",NA,"eventual_emie","state",283,283,28,28,478363810,478363810
