"variant_a","variant_b","n_targets_a","n_targets_b","n_shared_targets","n_only_a","n_only_b","target_jaccard","n_states_a","n_states_b","n_shared_states","population_1991_a","population_1991_b","shared_target_population_1991_a","shared_target_population_1991_b","shared_population_share_a","shared_population_share_b"
"preferred_historical_geography","G0_exact_only",290,64,64,226,0,0.220689655172414,31,25,25,488763640,72333659,72333659,72333659,0.14799312608442,1
"preferred_historical_geography","G2_population_interpolated_coverage_90pct",290,551,290,0,261,0.526315789473684,31,32,31,488763640,804267363.056041,488763640,490406830.479582,1,0.609755975445955
"preferred_historical_geography","G2_population_interpolated_coverage_95pct",290,550,290,0,260,0.527272727272727,31,32,31,488763640,803058380.899596,488763640,490406830.479582,1,0.610673946183367
"preferred_historical_geography","G2_population_interpolated_coverage_99pct",290,533,290,0,243,0.544090056285178,31,32,31,488763640,783650615.254893,488763640,490388771.96522,1,0.625774755253289
"G0_exact_only","G2_population_interpolated_coverage_90pct",64,551,64,0,487,0.116152450090744,25,32,25,72333659,804267363.056041,72333659,73066948.5670752,1,0.0908490782088144
"G0_exact_only","G2_population_interpolated_coverage_95pct",64,550,64,0,486,0.116363636363636,25,32,25,72333659,803058380.899596,72333659,73066948.5670752,1,0.0909858489805245
"G0_exact_only","G2_population_interpolated_coverage_99pct",64,533,64,0,469,0.120075046904315,25,32,25,72333659,783650615.254893,72333659,73058843.4281299,1,0.0932288471493977
"G2_population_interpolated_coverage_90pct","G2_population_interpolated_coverage_95pct",551,550,550,1,0,0.998185117967332,32,32,32,804267363.056041,803058380.899596,803641701.543811,803058380.899596,0.999222072732316,1
"G2_population_interpolated_coverage_90pct","G2_population_interpolated_coverage_99pct",551,533,533,18,0,0.967332123411978,32,32,32,804267363.056041,783650615.254893,787743908.710094,783650615.254893,0.979455271835026,1
"G2_population_interpolated_coverage_95pct","G2_population_interpolated_coverage_99pct",550,533,533,17,0,0.969090909090909,32,32,32,803058380.899596,783650615.254893,787160588.065879,783650615.254893,0.980203440731285,1
