"harmonized_component_id","source_vintage","target_vintage","n_source_units","n_target_units","component_class","source_coverage_complete","target_coverage_complete","deterministic_amalgamation_eligible"
"geo_component_0001",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0002",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0003",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0004",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0005",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0006",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0007",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0008",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0009",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0010",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0011",1991,2001,2,2,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0012",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0013",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0014",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0015",1991,2001,1,1,"one_to_one",TRUE,TRUE,TRUE
"geo_component_0016",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0017",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0018",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0019",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0020",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0021",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0022",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0023",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0024",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0025",1991,2001,2,2,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0026",1991,2001,2,3,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0027",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0028",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0029",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0030",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0031",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0032",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0033",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0034",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0035",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0036",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0037",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0038",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0039",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0040",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0041",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0042",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0043",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0044",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0045",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0046",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0047",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0048",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0049",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0050",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0051",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0052",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0053",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0054",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0055",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0056",1991,2001,3,6,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0057",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0058",1991,2001,2,3,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0059",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0060",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0061",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0062",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0063",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0064",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0065",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0066",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0067",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0068",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0069",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0070",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0071",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0072",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0073",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0074",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0075",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0076",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0077",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0078",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0079",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0080",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0081",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0082",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0083",1991,2001,2,3,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0084",1991,2001,1,3,"split",FALSE,FALSE,FALSE
"geo_component_0085",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0086",1991,2001,1,1,"one_to_one",TRUE,TRUE,TRUE
"geo_component_0087",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0088",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0089",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
