"harmonized_component_id","vintage","state_code","district_code","unit_id","side"
"geo_component_0001",1991,"02","01","census1991__02__01","source"
"geo_component_0001",2001,"28","11","census2001__28__11","target"
"geo_component_0002",1991,"02","02","census1991__02__02","source"
"geo_component_0002",2001,"28","12","census2001__28__12","target"
"geo_component_0003",1991,"02","03","census1991__02__03","source"
"geo_component_0003",2001,"28","13","census2001__28__13","target"
"geo_component_0004",1991,"02","04","census1991__02__04","source"
"geo_component_0004",2001,"28","14","census2001__28__14","target"
"geo_component_0005",1991,"02","05","census1991__02__05","source"
"geo_component_0005",2001,"28","15","census2001__28__15","target"
"geo_component_0006",1991,"02","06","census1991__02__06","source"
"geo_component_0006",2001,"28","16","census2001__28__16","target"
"geo_component_0007",1991,"02","07","census1991__02__07","source"
"geo_component_0007",2001,"28","17","census2001__28__17","target"
"geo_component_0008",1991,"02","08","census1991__02__08","source"
"geo_component_0008",2001,"28","18","census2001__28__18","target"
"geo_component_0009",1991,"02","09","census1991__02__09","source"
"geo_component_0009",2001,"28","19","census2001__28__19","target"
"geo_component_0010",1991,"02","10","census1991__02__10","source"
"geo_component_0010",2001,"28","23","census2001__28__23","target"
"geo_component_0011",1991,"02","11","census1991__02__11","source"
"geo_component_0011",1991,"02","12","census1991__02__12","source"
"geo_component_0011",2001,"28","20","census2001__28__20","target"
"geo_component_0011",2001,"28","22","census2001__28__22","target"
"geo_component_0012",1991,"02","13","census1991__02__13","source"
"geo_component_0012",2001,"28","21","census2001__28__21","target"
"geo_component_0013",1991,"02","14","census1991__02__14","source"
"geo_component_0013",2001,"28","07","census2001__28__07","target"
"geo_component_0014",1991,"02","15","census1991__02__15","source"
"geo_component_0014",2001,"28","06","census2001__28__06","target"
"geo_component_0015",1991,"02","16","census1991__02__16","source"
"geo_component_0015",2001,"28","05","census2001__28__05","target"
"geo_component_0016",1991,"02","17","census1991__02__17","source"
"geo_component_0016",2001,"28","04","census2001__28__04","target"
"geo_component_0017",1991,"02","18","census1991__02__18","source"
"geo_component_0017",2001,"28","02","census2001__28__02","target"
"geo_component_0018",1991,"02","19","census1991__02__19","source"
"geo_component_0018",2001,"28","01","census2001__28__01","target"
"geo_component_0019",1991,"02","20","census1991__02__20","source"
"geo_component_0019",2001,"28","03","census2001__28__03","target"
"geo_component_0020",1991,"02","21","census1991__02__21","source"
"geo_component_0020",2001,"28","09","census2001__28__09","target"
"geo_component_0021",1991,"02","22","census1991__02__22","source"
"geo_component_0021",2001,"28","10","census2001__28__10","target"
"geo_component_0022",1991,"02","23","census1991__02__23","source"
"geo_component_0022",2001,"28","08","census2001__28__08","target"
"geo_component_0023",1991,"03","01","census1991__03__01","source"
"geo_component_0023",2001,"12","01","census2001__12__01","target"
"geo_component_0024",1991,"03","02","census1991__03__02","source"
