"harmonized_component_id","vintage","state_code","district_code","unit_id","side"
"geo_component_0001",1991,"02","16","census1991__02__16","source"
"geo_component_0001",2001,"28","05","census2001__28__05","target"
"geo_component_0002",1991,"12","02","census1991__12__02","source"
"geo_component_0002",2001,"32","02","census2001__32__02","target"
"geo_component_0003",1991,"12","03","census1991__12__03","source"
"geo_component_0003",2001,"32","03","census2001__32__03","target"
"geo_component_0004",1991,"12","04","census1991__12__04","source"
"geo_component_0004",2001,"32","04","census2001__32__04","target"
"geo_component_0005",1991,"12","08","census1991__12__08","source"
"geo_component_0005",1991,"12","09","census1991__12__09","source"
"geo_component_0005",2001,"32","08","census2001__32__08","target"
"geo_component_0005",2001,"32","09","census2001__32__09","target"
"geo_component_0006",1991,"12","10","census1991__12__10","source"
"geo_component_0006",2001,"32","10","census2001__32__10","target"
"geo_component_0007",1991,"12","12","census1991__12__12","source"
"geo_component_0007",2001,"32","12","census2001__32__12","target"
"geo_component_0008",1991,"12","13","census1991__12__13","source"
"geo_component_0008",2001,"32","13","census2001__32__13","target"
"geo_component_0009",1991,"26","10","census1991__26__10","source"
"geo_component_0009",2001,"19","17","census2001__19__17","target"
"geo_component_0010",1991,"28","01","census1991__28__01","source"
"geo_component_0010",2001,"04","01","census2001__04__01","target"
