"source_unit_id","target_set_reference","n_targets_reference","target_set_candidate","n_targets_candidate","source_status"
"census1991__02__01","census2001__28__11",1,"census2001__28__11",1,"exact_target_set_agreement"
"census1991__02__02","census2001__28__12",1,"census2001__28__12",1,"exact_target_set_agreement"
"census1991__02__07","census2001__28__17",1,"census2001__28__17",1,"exact_target_set_agreement"
"census1991__02__08","census2001__28__18",1,"census2001__28__18",1,"exact_target_set_agreement"
"census1991__02__09","census2001__28__19",1,"census2001__28__19",1,"exact_target_set_agreement"
"census1991__02__10","census2001__28__23",1,"census2001__28__23",1,"exact_target_set_agreement"
"census1991__02__11","census2001__28__20",1,"census2001__28__20",1,"exact_target_set_agreement"
"census1991__02__12","census2001__28__20|census2001__28__22",2,"census2001__28__20|census2001__28__22",2,"exact_target_set_agreement"
"census1991__02__13","census2001__28__21",1,"census2001__28__21",1,"exact_target_set_agreement"
"census1991__02__16","census2001__28__05",1,"census2001__28__05",1,"exact_target_set_agreement"
"census1991__02__17","census2001__28__04",1,"census2001__28__04",1,"exact_target_set_agreement"
"census1991__02__18","census2001__28__02",1,"census2001__28__02",1,"exact_target_set_agreement"
"census1991__02__23","census2001__28__08",1,"census2001__28__08",1,"exact_target_set_agreement"
"census1991__03__04","census2001__12__04|census2001__12__05",2,"census2001__12__04|census2001__12__05",2,"exact_target_set_agreement"
"census1991__03__05","census2001__12__06",1,"census2001__12__06",1,"exact_target_set_agreement"
"census1991__03__06","census2001__12__07",1,"census2001__12__07",1,"exact_target_set_agreement"
"census1991__03__07","census2001__12__08|census2001__12__09",2,"census2001__12__08|census2001__12__09",2,"exact_target_set_agreement"
"census1991__04__01","census2001__18__02",1,"census2001__18__01|census2001__18__02",2,"target_set_conflict"
"census1991__04__02","census2001__18__01",1,"census2001__18__01",1,"exact_target_set_agreement"
"census1991__04__03","census2001__18__04",1,"census2001__18__04",1,"exact_target_set_agreement"
"census1991__04__04","census2001__18__03",1,"census2001__18__03",1,"exact_target_set_agreement"
"census1991__04__05","census2001__18__05",1,"census2001__18__05",1,"exact_target_set_agreement"
"census1991__04__06","census2001__18__07",1,"census2001__18__07",1,"exact_target_set_agreement"
"census1991__04__07","census2001__18__06",1,"census2001__18__06",1,"exact_target_set_agreement"
"census1991__04__08","census2001__18__08",1,"census2001__18__08",1,"exact_target_set_agreement"
"census1991__04__09","census2001__18__11",1,"census2001__18__11",1,"exact_target_set_agreement"
"census1991__04__14","census2001__18__18",1,"census2001__18__18",1,"exact_target_set_agreement"
"census1991__04__15","census2001__18__17",1,"census2001__18__17",1,"exact_target_set_agreement"
"census1991__04__16","census2001__18__16",1,"census2001__18__16",1,"exact_target_set_agreement"
