"sample","specification_id","specification","sequence","treatment","fixed_effect","control_blocks","n_controls","min_accepted_coverage","max_distance_bound_width","estimate_1991","excluded_instrument_f_1991","partial_r_squared_1991","n_1991","n_states_1991","n_regions_1991","status_1991","reason_1991","estimate_2001","excluded_instrument_f_2001","partial_r_squared_2001","n_2001","n_states_2001","n_regions_2001","status_2001","reason_2001","estimate_change_1991_vs_2001","f_change_1991_vs_2001","partial_r_squared_change_1991_vs_2001"
"preferred_geography","instrument_only","Instrument only",1,"emi_exposure_all_children_0708","none","",0,0.99,0.5,5.73256321246193,9.97595565684142,0.226778778961573,89,20,6,"estimated",NA,6.12590444511573,14.8051833062879,0.284570784246227,89,20,6,"estimated",NA,-0.393341232653794,-4.82922764944648,-0.0577920052846541
"preferred_geography","region_fe_census_controls","Six-region fixed effects + main Census controls",5,"emi_exposure_all_children_0708","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,0.99,0.5,0.499836272997757,0.308516702915651,0.00274055593904933,89,20,6,"estimated",NA,0.210466919417798,0.0230551698225249,0.000235163368535801,89,20,6,"estimated",NA,0.289369353579959,0.285461533093126,0.00250539257051353
"preferred_geography","state_fe_census_controls","State fixed effects + main Census controls",6,"emi_exposure_all_children_0708","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,0.99,0.5,0.192070654187217,0.0337474932371667,0.000318708966272108,89,20,6,"estimated",NA,-0.246783151524037,0.0443696316366446,0.000227042589620228,89,20,6,"estimated",NA,0.438853805711254,-0.0106221383994779,9.16663766518804e-05
"preferred_geography","region_fe_expanded_controls","Six-region fixed effects + expanded Census controls",8,"emi_exposure_all_children_0708","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",13,0.99,0.5,1.4621781291996,3.04287902494388,0.0177520846846448,89,20,6,"estimated",NA,0.530370295890278,0.147452561028369,0.00131183000856209,89,20,6,"estimated",NA,0.931807833309324,2.89542646391551,0.0164402546760827
"preferred_geography","state_fe_expanded_controls","State fixed effects + expanded Census controls",9,"emi_exposure_all_children_0708","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",13,0.99,0.5,0.0528194237210402,0.00314294762225435,2.24708216538442e-05,89,20,6,"estimated",NA,-0.460782986869347,0.25289944588259,0.000808894693945739,89,20,6,"estimated",NA,0.513602410590387,-0.249756498260335,-0.000786423872291895
"exact_one_to_one","instrument_only","Instrument only",1,"emi_exposure_all_children_0708","none","",0,0.99,0.5,9.23273006322669,10.3533368397873,0.311544472879296,22,11,5,"estimated",NA,10.0035984911918,47.1190719568529,0.557280008246533,22,11,5,"estimated",NA,-0.770868427965137,-36.7657351170657,-0.245735535367237
"exact_one_to_one","region_fe_census_controls","Six-region fixed effects + main Census controls",5,"emi_exposure_all_children_0708","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,0.99,0.5,-29.6756779164207,10.9135327098778,0.42720941813831,22,11,5,"estimated",NA,-9.91589660292572,2.75852102548791,0.303952786131163,22,11,5,"estimated",NA,-19.7597813134949,8.15501168438993,0.123256632007147
"exact_one_to_one","state_fe_census_controls","State fixed effects + main Census controls",6,"emi_exposure_all_children_0708","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,0.99,0.5,-161.423371769817,NA,1,22,11,5,"not_estimable","no_residual_degrees_of_freedom",-445.004789039313,NA,1,22,11,5,"not_estimable","no_residual_degrees_of_freedom",NA,NA,NA
"exact_one_to_one","region_fe_expanded_controls","Six-region fixed effects + expanded Census controls",8,"emi_exposure_all_children_0708","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",13,0.99,0.5,-73.5544807768236,107.452398107871,0.717708508804521,22,11,5,"estimated",NA,-19.0400241679343,63.3432302649968,0.684952938532443,22,11,5,"estimated",NA,-54.5144566088893,44.109167842874,0.0327555702720789
"exact_one_to_one","state_fe_expanded_controls","State fixed effects + expanded Census controls",9,"emi_exposure_all_children_0708","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",13,0.99,0.5,-82.7685436827015,NA,NA,22,11,5,"not_estimable","no_residual_degrees_of_freedom",-164.220113628568,NA,NA,22,11,5,"not_estimable","no_residual_degrees_of_freedom",NA,NA,NA
