"specification_id","specification","sequence","treatment","instrument","fixed_effect","control_blocks","n_controls","estimate","std.error","statistic","p.value","excluded_instrument_f","partial_r_squared","residual_instrument_sd","residual_treatment_sd","residual_correlation","instrument_variance_remaining","n","n_states","n_regions","status","reason","sample","instrument_vintage","min_accepted_coverage","max_distance_bound_width"
"instrument_only","Instrument only",1,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_1991","none","",0,5.73256321246193,1.81497897028396,3.15847362769446,0.00218094762949234,9.97595565684142,0.226778778961573,1.54786005616935,18.6328522020111,0.476212955474305,1,89,20,6,"estimated",NA,"preferred_geography","historical_1991",0.99,0.5
"region_fe_census_controls","Six-region fixed effects + main Census controls",5,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_1991","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,0.499836272997757,0.899887934336971,0.555442798959219,0.580313606355086,0.308516702915651,0.00274055593904933,0.59133579649668,5.64602249077128,0.0523503193786755,0.145950287055255,89,20,6,"estimated",NA,"preferred_geography","historical_1991",0.99,0.5
"state_fe_census_controls","State fixed effects + main Census controls",6,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_1991","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,0.192070654187217,1.04553904541148,0.183704908037773,0.854885695332055,0.0337474932371667,0.000318708966272108,0.435679040877429,4.68738410130592,0.0178524218601317,0.0792264050069507,89,20,6,"estimated",NA,"preferred_geography","historical_1991",0.99,0.5
"region_fe_expanded_controls","Six-region fixed effects + expanded Census controls",8,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_1991","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",13,1.4621781291996,0.838219848249058,1.74438499905952,0.0855449467064965,3.04287902494388,0.0177520846846448,0.49751370235033,5.45984922234808,0.133236949397098,0.103311033646677,89,20,6,"estimated",NA,"preferred_geography","historical_1991",0.99,0.5
"state_fe_expanded_controls","State fixed effects + expanded Census controls",9,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_1991","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",13,0.0528194237210402,0.942160921557119,0.0560619980223177,0.955495584754217,0.00314294762225435,2.24708216538442e-05,0.413854205590301,4.61138683134192,0.00474033982472187,0.0714877057686334,89,20,6,"estimated",NA,"preferred_geography","historical_1991",0.99,0.5
"instrument_only","Instrument only",1,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_2001","none","",0,6.12590444511573,1.59207427042521,3.84775042151747,0.000226790983069044,14.8051833062879,0.284570784246227,1.62257311714196,18.6328522020111,0.533451763748351,1,89,20,6,"estimated",NA,"preferred_geography","census_2001",0.99,0.5
"region_fe_census_controls","Six-region fixed effects + main Census controls",5,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_2001","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,0.210466919417798,1.38611633505231,0.151839289456072,0.879738356167359,0.0230551698225249,0.000235163368535801,0.411380399580447,5.64602249077128,0.0153350372851128,0.0642804100904759,89,20,6,"estimated",NA,"preferred_geography","census_2001",0.99,0.5
"state_fe_census_controls","State fixed effects + main Census controls",6,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_2001","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,-0.246783151524037,1.17158174060414,-0.210641001793679,0.833905706058913,0.0443696316366446,0.000227042589620228,0.286199389107778,4.68738410130592,-0.0150679324932197,0.0311120660591304,89,20,6,"estimated",NA,"preferred_geography","census_2001",0.99,0.5
"region_fe_expanded_controls","Six-region fixed effects + expanded Census controls",8,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_2001","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",13,0.530370295890278,1.38118875169665,0.383995522146247,0.702162556424587,0.147452561028369,0.00131183000856209,0.372855228350281,5.45984922234808,0.0362191939247976,0.0528046200577976,89,20,6,"estimated",NA,"preferred_geography","census_2001",0.99,0.5
"state_fe_expanded_controls","State fixed effects + expanded Census controls",9,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_2001","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",13,-0.460782986869347,0.916267952100669,-0.502891087495682,0.617048768656806,0.25289944588259,0.000808894693945739,0.284630288330758,4.61138683134192,-0.0284410740645591,0.0307718546851587,89,20,6,"estimated",NA,"preferred_geography","census_2001",0.99,0.5
"instrument_only","Instrument only",1,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_1991","none","",0,9.23273006322669,2.86939255027351,3.2176601498274,0.00431850419067108,10.3533368397873,0.311544472879296,1.41010391628527,23.3249774014868,0.558161690623152,0.999999999999999,22,11,5,"estimated",NA,"exact_one_to_one","historical_1991",0.99,0.5
"region_fe_census_controls","Six-region fixed effects + main Census controls",5,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_1991","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,-29.6756779164207,8.98292909380186,-3.30356363793371,0.0163351670672836,10.9135327098778,0.42720941813831,0.0870537759875135,3.95246336459105,-0.653612590253822,0.00381129872470796,22,11,5,"estimated",NA,"exact_one_to_one","historical_1991",0.99,0.5
"state_fe_census_controls","State fixed effects + main Census controls",6,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_1991","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,-161.423371769817,NA,NA,NA,NA,1,0.00897072494262187,1.44808466745763,-1,4.04718301570342e-05,22,11,5,"not_estimable","no_residual_degrees_of_freedom","exact_one_to_one","historical_1991",0.99,0.5
"region_fe_expanded_controls","Six-region fixed effects + expanded Census controls",8,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_1991","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",13,-73.5544807768236,7.0957952910957,-10.3659248554034,0.00191551005147896,107.452398107871,0.717708508804521,0.037927745718748,3.2930029309847,-0.847176787220071,0.000723455501863216,22,11,5,"estimated",NA,"exact_one_to_one","historical_1991",0.99,0.5
"state_fe_expanded_controls","State fixed effects + expanded Census controls",9,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_1991","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",13,-82.7685436827015,NA,NA,NA,NA,NA,0,0,NA,0,22,11,5,"not_estimable","no_residual_degrees_of_freedom","exact_one_to_one","historical_1991",0.99,0.5
"instrument_only","Instrument only",1,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_2001","none","",0,10.0035984911918,1.45732994331569,6.86433332209712,1.13925890756334e-06,47.1190719568529,0.557280008246533,1.74061094899948,23.3249774014868,0.746511894243175,1,22,11,5,"estimated",NA,"exact_one_to_one","census_2001",0.99,0.5
"region_fe_census_controls","Six-region fixed effects + main Census controls",5,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_2001","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,-9.91589660292572,5.97026818755943,-1.6608795939164,0.147803760787539,2.75852102548791,0.303952786131163,0.219755082332287,3.95246336459105,-0.551319132745421,0.0159394904447561,22,11,5,"estimated",NA,"exact_one_to_one","census_2001",0.99,0.5
"state_fe_census_controls","State fixed effects + main Census controls",6,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_2001","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,-445.004789039313,NA,NA,NA,NA,1,0.00325408782809693,1.44808466745763,-1,3.49506388699771e-06,22,11,5,"not_estimable","no_residual_degrees_of_freedom","exact_one_to_one","census_2001",0.99,0.5
"region_fe_expanded_controls","Six-region fixed effects + expanded Census controls",8,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_2001","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",13,-19.0400241679343,2.39230964837902,-7.95884603852825,0.0041378317929119,63.3432302649968,0.684952938532443,0.143138014442655,3.2930029309847,-0.827618836501709,0.0067624887402854,22,11,5,"estimated",NA,"exact_one_to_one","census_2001",0.99,0.5
"state_fe_expanded_controls","State fixed effects + expanded Census controls",9,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_2001","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",13,-164.220113628568,NA,NA,NA,NA,NA,0,0,NA,0,22,11,5,"not_estimable","no_residual_degrees_of_freedom","exact_one_to_one","census_2001",0.99,0.5
