"source_vintage","target_vintage","source_state_code","source_district_code","source_unit_id","target_state_code","target_district_code","target_unit_id","population_weight","area_weight","source_coverage","target_coverage","mapping_class","evidence_source","source_degree","target_degree","topology"
1991,2001,"02","12","census1991__02__12","28","22","census2001__28__22",0.9991,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"02","12","census1991__02__12","28","20","census2001__28__20",9e-04,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"02","10","census1991__02__10","28","23","census2001__28__23",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"02","11","census1991__02__11","28","20","census2001__28__20",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,2,"merger"
1991,2001,"02","07","census1991__02__07","28","17","census2001__28__17",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"02","16","census1991__02__16","28","05","census2001__28__05",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"02","13","census1991__02__13","28","21","census2001__28__21",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"02","17","census1991__02__17","28","04","census2001__28__04",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"02","23","census1991__02__23","28","08","census2001__28__08",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"02","09","census1991__02__09","28","19","census2001__28__19",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"02","18","census1991__02__18","28","02","census2001__28__02",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"02","08","census1991__02__08","28","18","census2001__28__18",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"02","01","census1991__02__01","28","11","census2001__28__11",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"02","02","census1991__02__02","28","12","census2001__28__12",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"03","07","census1991__03__07","12","08","census2001__12__08",0.7212,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"03","07","census1991__03__07","12","09","census2001__12__09",0.2788,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"03","04","census1991__03__04","12","05","census2001__12__05",0.5332,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"03","04","census1991__03__04","12","04","census2001__12__04",0.4668,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"03","05","census1991__03__05","12","06","census2001__12__06",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"03","06","census1991__03__06","12","07","census2001__12__07",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"04","05","census1991__04__05","18","05","census2001__18__05",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"04","03","census1991__04__03","18","04","census2001__18__04",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"04","08","census1991__04__08","18","08","census2001__18__08",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"04","01","census1991__04__01","18","02","census2001__18__02",0.9939,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"04","01","census1991__04__01","18","01","census2001__18__01",0.0061,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"04","04","census1991__04__04","18","03","census2001__18__03",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"04","14","census1991__04__14","18","18","census2001__18__18",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"04","15","census1991__04__15","18","17","census2001__18__17",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"04","07","census1991__04__07","18","06","census2001__18__06",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"04","02","census1991__04__02","18","01","census2001__18__01",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,2,"merger"
1991,2001,"04","06","census1991__04__06","18","07","census2001__18__07",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"04","16","census1991__04__16","18","16","census2001__18__16",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"04","09","census1991__04__09","18","11","census2001__18__11",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"05","17","census1991__05__17","10","20","census2001__10__20",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"05","03","census1991__05__03","10","29","census2001__10__29",0.6224,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"05","03","census1991__05__03","10","30","census2001__10__30",0.3776,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"05","32","census1991__05__32","20","13","census2001__20__13",0.2711,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"05","32","census1991__05__32","20","12","census2001__20__12",0.7289,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"05","33","census1991__05__33","20","13","census2001__20__13",0.3277,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"05","33","census1991__05__33","20","06","census2001__20__06",0.6723,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"05","11","census1991__05__11","10","15","census2001__10__15",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"05","25","census1991__05__25","10","21","census2001__10__21",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"05","22","census1991__05__22","10","11","census2001__10__11",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"05","26","census1991__05__26","10","37","census2001__10__37",0.3436,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",4,1,"split"
1991,2001,"05","26","census1991__05__26","10","25","census2001__10__25",0.2112,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",4,1,"split"
1991,2001,"05","26","census1991__05__26","10","24","census2001__10__24",0.3084,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",4,1,"split"
1991,2001,"05","26","census1991__05__26","10","26","census2001__10__26",0.1368,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",4,2,"many_to_many"
1991,2001,"05","02","census1991__05__02","10","27","census2001__10__27",0.9991,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"05","02","census1991__05__02","10","26","census2001__10__26",9e-04,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
