"min_accepted_coverage","max_distance_bound_width","n_districts","atlas_population_1991","n_complete_atlas_alignment","n_preferred_geography","preferred_geography_population_1991","n_preferred_states_1991","n_exact_geography","exact_geography_population_1991"
0.95,0.1,113,259010660,15,68,149410061,17,16,26290090
0.95,0.25,140,327177523,19,81,173453245,17,19,30173917
0.95,0.5,171,387556975,21,104,210976705,18,24,36567607
0.95,1,196,432403937,23,121,238231012,18,25,38150028
0.98,0.1,112,257117489,15,67,147516890,16,16,26290090
0.98,0.25,126,291604924,19,73,156893022,16,18,28610359
0.98,0.5,156,351922275,21,95,194354381,17,22,34941948
0.98,1,179,391880538,22,111,219394640,17,23,36524369
0.99,0.1,107,243255553,14,65,141108044,16,16,26290090
0.99,0.25,119,275410942,18,70,150325802,16,18,28610359
0.99,0.5,148,335696999,20,91,187755867,17,22,34941948
0.99,1,170,374388051,21,107,212796126,17,23,36524369
0.995,0.1,93,219061195,14,52,119223573,14,13,24386415
0.995,0.25,104,249676410,18,57,128441331,14,15,26706684
0.995,0.5,132,309660035,20,77,165568964,15,18,32735841
0.995,1,152,343937476,20,92,189398083,15,19,34318262
0.999,0.1,69,154351346,6,39,83474288,13,11,20831484
0.999,0.25,75,169212410,8,43,90962839,13,13,23151753
0.999,0.5,94,214256967,10,56,117886168,13,15,27745688
0.999,1,110,242562913,10,68,137299000,13,16,29328109
