"state_code_1991","district_code_1991","state_code_2001","district_code_2001","n_shrid_mapped","population_1991_mapped","area_1991_mapped","n_shrid_total","population_1991_total","area_1991_total","population_share_to_2001","area_share_to_2001","n_target_2001_districts","shrid_coverage","mapping_class"
"02","01","28","11",1701,2289562,5204.45171539,1705,2289628,5204.71171539,0.999971174356708,0.999950045263942,1,0.997653958944282,"non_nested_or_incomplete"
"02","02","28","12",1455,2106320,5573.3485107,1462,2107412,5575.7185107,0.999481828897245,0.999574942674123,1,0.995212038303694,"non_nested_or_incomplete"
"02","03","28","13",3003,3068343,8887.46727409499,3033,3070027,8905.32664199499,0.999451470622245,0.997994529721596,1,0.990108803165183,"non_nested_or_incomplete"
"02","04","28","14",1321,4523560,7166.4732489,1327,4523741,7171.8272279,0.999959988867621,0.999253470722333,1,0.995478522984175,"non_nested_or_incomplete"
"02","05","28","15",821,3440484,6855.474469,826,3440590,6855.474469,0.999969191330557,1,1,0.993946731234867,"non_nested_or_incomplete"
"02","06","28","16",931,3796447.37158203,9085.2769571,933,3799781.37158203,9085.2769571,0.999122581097709,1,1,0.997856377277599,"non_nested_or_incomplete"
"02","07","28","17",687,4074758,10263.830017,688,4075320,10279.890017,0.999862096718785,0.99843772647631,1,0.998546511627907,"non_nested_or_incomplete"
"02","08","28","18",980,2756018,13580.7321422,994,2757707,13604.0721422,0.999387534643818,0.998284337236966,1,0.985915492957746,"non_nested_or_incomplete"
"02","09","28","19",1077,2361384,12588.7654254,1084,2363039,12589.9754254,0.999299630687433,0.999903891790165,1,0.993542435424354,"non_nested_or_incomplete"
"02","10","28","23",1423,3195928,12036.09220168,1426,3195988,12036.09220168,0.999981226462678,1,1,0.997896213183731,"non_nested_or_incomplete"
"02","11","28","20",862,2214451,11906.830396,872,2217379,11906.830396,0.998679522084407,1,1,0.988532110091743,"non_nested_or_incomplete"
"02","12","28","22",926,3167983,18080.160609,930,3171038,18089.270609,0.99903659306511,0.99949638654886,2,0.996774193548387,"non_nested_or_incomplete"
"02","12","28","20",1,2951,9.11,930,3171038,18089.270609,0.000930610103064044,0.000503613451139787,2,0.996774193548387,"non_nested_or_incomplete"
"02","13","28","21",870,2972010,15567.0225856,871,2972023,15567.0225856,0.999995625875035,1,1,0.998851894374282,"non_nested_or_incomplete"
"02","14","28","07",1472,3072698,17327.297265,1482,3077050,17350.477265,0.998585658341593,0.998664013695649,1,0.993252361673414,"non_nested_or_incomplete"
"02","15","28","06",837,2523064.02006531,6947.2667539,841,2524062.02006531,6951.3567539,0.99960460559524,0.999411625651682,1,0.995243757431629,"non_nested_or_incomplete"
"02","16","28","05",3,3145939,421.63063,3,3145939,421.63063,1,1,1,1,"deterministic_containment"
"02","17","28","04",1216,2265474,9694.47225160001,1219,2265570,9695.23225160001,0.999957626557555,0.999921610954717,1,0.997538966365874,"non_nested_or_incomplete"
