"specification_id","diagnostic_id","diagnostic_family","applicable","implemented","will_run","reason","analysis_id"
"unadjusted__nonzero_mean","first_stage_joint_f","relevance",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__nonzero_mean"
"unadjusted__nonzero_mean","effective_f","relevance",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__nonzero_mean"
"unadjusted__nonzero_mean","partial_r_squared","relevance",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__nonzero_mean"
"unadjusted__nonzero_mean","balance_covariates","independence",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__nonzero_mean"
"unadjusted__nonzero_mean","balance_joint","independence",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__nonzero_mean"
"unadjusted__nonzero_mean","anderson_rubin","weak_identification",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__nonzero_mean"
"unadjusted__nonzero_mean","monotonicity_shape","monotonicity",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__nonzero_mean"
"unadjusted__nonzero_mean","overidentification","overidentification",FALSE,TRUE,FALSE,"exactly_identified","district_iv_diagnostic__unadjusted__nonzero_mean"
"unadjusted__distant_share","first_stage_joint_f","relevance",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__distant_share"
"unadjusted__distant_share","effective_f","relevance",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__distant_share"
"unadjusted__distant_share","partial_r_squared","relevance",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__distant_share"
"unadjusted__distant_share","balance_covariates","independence",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__distant_share"
"unadjusted__distant_share","balance_joint","independence",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__distant_share"
"unadjusted__distant_share","anderson_rubin","weak_identification",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__distant_share"
"unadjusted__distant_share","monotonicity_shape","monotonicity",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__distant_share"
"unadjusted__distant_share","overidentification","overidentification",FALSE,TRUE,FALSE,"exactly_identified","district_iv_diagnostic__unadjusted__distant_share"
"unadjusted__top3_legacy","first_stage_joint_f","relevance",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__top3_legacy"
"unadjusted__top3_legacy","effective_f","relevance",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__top3_legacy"
"unadjusted__top3_legacy","partial_r_squared","relevance",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__top3_legacy"
"unadjusted__top3_legacy","balance_covariates","independence",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__top3_legacy"
"unadjusted__top3_legacy","balance_joint","independence",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__top3_legacy"
"unadjusted__top3_legacy","anderson_rubin","weak_identification",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__top3_legacy"
"unadjusted__top3_legacy","monotonicity_shape","monotonicity",TRUE,TRUE,TRUE,NA,"district_iv_diagnostic__unadjusted__top3_legacy"
"unadjusted__top3_legacy","overidentification","overidentification",FALSE,TRUE,FALSE,"exactly_identified","district_iv_diagnostic__unadjusted__top3_legacy"
