"bin","instrument","treatment","n","specification_id"
1,-2.17491924550569,-4.13678339433437,57,"unadjusted__nonzero_mean"
2,-1.60558738873198,-4.62227813854082,57,"unadjusted__nonzero_mean"
3,-1.06197099178958,-4.33666852681079,57,"unadjusted__nonzero_mean"
4,-0.462296021189216,-9.1272677053044,58,"unadjusted__nonzero_mean"
5,-0.170339644200715,-10.5738938483693,57,"unadjusted__nonzero_mean"
6,0.0628111963724709,-9.43120876722896,57,"unadjusted__nonzero_mean"
7,0.568386863576944,3.78268829007165,58,"unadjusted__nonzero_mean"
8,1.31784975742163,15.8669241732688,57,"unadjusted__nonzero_mean"
9,1.72184573108317,11.9380503492311,57,"unadjusted__nonzero_mean"
10,1.77128335356036,10.5491296688311,58,"unadjusted__nonzero_mean"
1,-36.6526879736802,-11.8779924394374,57,"unadjusted__distant_share"
2,-36.5572569202163,-9.13755149078318,57,"unadjusted__distant_share"
3,-36.3166117989718,-5.86626210079727,57,"unadjusted__distant_share"
4,-35.6874488195712,-6.36076340826864,58,"unadjusted__distant_share"
5,-33.6251248569864,-2.85287505847873,57,"unadjusted__distant_share"
6,-21.5189617760252,9.82568451776346,57,"unadjusted__distant_share"
7,26.9988470464983,10.4212008770662,58,"unadjusted__distant_share"
8,50.668828273036,4.74237233320314,57,"unadjusted__distant_share"
9,59.1263357757182,4.78910594483458,57,"unadjusted__distant_share"
10,62.6179520971448,6.13815809569624,58,"unadjusted__distant_share"
2,-1.91684198139976,-10.325126456946,136,"unadjusted__top3_legacy"
3,-1.91222797849228,-9.62243485943972,35,"unadjusted__top3_legacy"
4,-1.79143048935906,-2.83465861291019,58,"unadjusted__top3_legacy"
5,-1.00834299889061,-2.60624508540955,57,"unadjusted__top3_legacy"
6,-0.0767505557124978,-1.24165499247498,57,"unadjusted__top3_legacy"
7,0.944979043652263,-4.42426267333112,58,"unadjusted__top3_legacy"
8,1.79967375539471,6.51187897731535,57,"unadjusted__top3_legacy"
9,2.76416506242002,13.7816445684768,57,"unadjusted__top3_legacy"
10,3.07627918216431,21.1141261233846,58,"unadjusted__top3_legacy"
1,-2.37173980702098,-7.76188196700514,57,"unadjusted__nonzero_mean_hindi_urdu"
2,-1.44544909185475,-5.02424536454606,57,"unadjusted__nonzero_mean_hindi_urdu"
3,-0.837584756875159,-1.18788095631177,57,"unadjusted__nonzero_mean_hindi_urdu"
4,-0.46341707617752,-11.7545498298625,58,"unadjusted__nonzero_mean_hindi_urdu"
5,-0.0888065830656704,-0.810162690171841,57,"unadjusted__nonzero_mean_hindi_urdu"
6,0.323333644647291,2.90115041161694,57,"unadjusted__nonzero_mean_hindi_urdu"
7,0.71872014840098,2.4040165028587,58,"unadjusted__nonzero_mean_hindi_urdu"
8,1.18524015735507,18.6521258223315,57,"unadjusted__nonzero_mean_hindi_urdu"
9,1.3468718164466,7.48401882786094,57,"unadjusted__nonzero_mean_hindi_urdu"
10,1.60027750296539,-4.65684723808507,58,"unadjusted__nonzero_mean_hindi_urdu"
1,-2.34251718462934,-8.99934982130009,57,"unadjusted__nonzero_mean_hindi_urdu_separate"
2,-1.47833631790314,-2.8932179507351,57,"unadjusted__nonzero_mean_hindi_urdu_separate"
3,-0.84489430741562,-1.65063377564476,57,"unadjusted__nonzero_mean_hindi_urdu_separate"
4,-0.462319019508755,-10.8956794685225,58,"unadjusted__nonzero_mean_hindi_urdu_separate"
5,-0.0641779507921245,-3.44287674284978,57,"unadjusted__nonzero_mean_hindi_urdu_separate"
6,0.325743204312052,3.85452115729287,57,"unadjusted__nonzero_mean_hindi_urdu_separate"
7,0.740207174945719,3.24124403529762,58,"unadjusted__nonzero_mean_hindi_urdu_separate"
8,1.18416526201383,7.54641487039174,57,"unadjusted__nonzero_mean_hindi_urdu_separate"
9,1.35051464416532,11.2167332370706,57,"unadjusted__nonzero_mean_hindi_urdu_separate"
10,1.55938169049743,2.11994085510675,58,"unadjusted__nonzero_mean_hindi_urdu_separate"
1,-1.09319187466891,-2.60525284863939,57,"region_main__nonzero_mean"
2,-0.670626643710359,-1.52116651228834,57,"region_main__nonzero_mean"
3,-0.476186349399298,-3.09521294760749,57,"region_main__nonzero_mean"
4,-0.254609922400076,-2.63801879272928,58,"region_main__nonzero_mean"
5,-0.0698515054144916,-1.271884607273,57,"region_main__nonzero_mean"
6,0.0858210089177009,0.39985151071335,57,"region_main__nonzero_mean"
7,0.242162692464622,0.777159190838224,58,"region_main__nonzero_mean"
8,0.422587736203494,2.86538817098658,57,"region_main__nonzero_mean"
9,0.648945308596711,2.32923282833884,57,"region_main__nonzero_mean"
10,1.14507881976448,4.7099204834231,58,"region_main__nonzero_mean"
1,-37.8054086680906,3.47549473074392,57,"region_main__distant_share"
2,-16.0848699338864,2.89324063764402,57,"region_main__distant_share"
3,-9.56551349995496,-0.909321498249954,57,"region_main__distant_share"
4,-5.14701152022319,0.105810895964779,58,"region_main__distant_share"
5,-1.43789691766764,0.288158159263875,57,"region_main__distant_share"
6,1.6502677026131,-0.639640009239753,57,"region_main__distant_share"
7,5.67711748992918,-4.44995631969363,58,"region_main__distant_share"
8,10.0177043046427,-3.14839370647043,57,"region_main__distant_share"
9,17.7544254963898,-2.67124704247295,57,"region_main__distant_share"
10,34.3296115545936,5.04358331235873,58,"region_main__distant_share"
1,-1.26955145594344,-2.91329481705569,57,"region_main__top3_legacy"
2,-0.652431614693365,-3.75767826588569,57,"region_main__top3_legacy"
3,-0.413191768379705,-7.00848994591546,57,"region_main__top3_legacy"
4,-0.218639859348523,-2.6874786449416,58,"region_main__top3_legacy"
5,-0.07748698578682,-1.5413676353422,57,"region_main__top3_legacy"
6,0.0544730439077252,0.230266290764122,57,"region_main__top3_legacy"
7,0.21008959061208,2.03581567260589,58,"region_main__top3_legacy"
8,0.40690775826566,4.83946858635829,57,"region_main__top3_legacy"
9,0.658622598846881,3.85864707422903,57,"region_main__top3_legacy"
10,1.27892147831635,6.83562119013422,58,"region_main__top3_legacy"
1,-1.09289665080014,-1.19253539829571,57,"region_main__nonzero_mean_hindi_urdu"
2,-0.65335994130478,-4.54156064464437,57,"region_main__nonzero_mean_hindi_urdu"
3,-0.437870006124563,-3.55958218383111,57,"region_main__nonzero_mean_hindi_urdu"
4,-0.235003325413971,-2.18815103052103,58,"region_main__nonzero_mean_hindi_urdu"
5,-0.0640539011000592,-0.282747325739196,57,"region_main__nonzero_mean_hindi_urdu"
6,0.081084588426763,-0.243321412322608,57,"region_main__nonzero_mean_hindi_urdu"
7,0.220017714699005,0.603424787756815,58,"region_main__nonzero_mean_hindi_urdu"
8,0.389829854424646,3.99251564313473,57,"region_main__nonzero_mean_hindi_urdu"
9,0.635213643346435,0.73536299405608,57,"region_main__nonzero_mean_hindi_urdu"
10,1.13734746499956,6.58880373717119,58,"region_main__nonzero_mean_hindi_urdu"
1,-1.07174892496245,-3.39362140048174,57,"region_main__nonzero_mean_hindi_urdu_separate"
2,-0.651329537653131,-3.17162717753935,57,"region_main__nonzero_mean_hindi_urdu_separate"
3,-0.426180543421851,-2.6163448510435,57,"region_main__nonzero_mean_hindi_urdu_separate"
4,-0.220724288536127,-1.19704507366631,58,"region_main__nonzero_mean_hindi_urdu_separate"
5,-0.0399373193475799,-1.51790799185577,57,"region_main__nonzero_mean_hindi_urdu_separate"
6,0.0785287574820976,0.925407182676482,57,"region_main__nonzero_mean_hindi_urdu_separate"
7,0.209142497906072,0.421089232843908,58,"region_main__nonzero_mean_hindi_urdu_separate"
8,0.378882572568397,1.76095715178025,57,"region_main__nonzero_mean_hindi_urdu_separate"
9,0.609488472443613,3.69492531977659,57,"region_main__nonzero_mean_hindi_urdu_separate"
10,1.11452837347112,5.01971568049761,58,"region_main__nonzero_mean_hindi_urdu_separate"
1,-1.06526922778781,-3.80818210830339,57,"region_expanded__nonzero_mean"
2,-0.635867876814246,-4.48391844599873,57,"region_expanded__nonzero_mean"
3,-0.455776708256671,-2.03712455797219,57,"region_expanded__nonzero_mean"
4,-0.248054904796702,-1.23254451181105,58,"region_expanded__nonzero_mean"
5,-0.0861284286011197,-1.44311404210293,57,"region_expanded__nonzero_mean"
6,0.0535142788634524,0.818089850849953,57,"region_expanded__nonzero_mean"
7,0.231677548110867,2.29425402679593,58,"region_expanded__nonzero_mean"
8,0.428869656073377,0.199841630855503,57,"region_expanded__nonzero_mean"
9,0.65073068026733,3.48084924323071,57,"region_expanded__nonzero_mean"
10,1.10716829973021,6.08644273463825,58,"region_expanded__nonzero_mean"
1,-36.7912057298717,1.35518344032538,57,"region_expanded__distant_share"
2,-15.960539943329,2.7148970702928,57,"region_expanded__distant_share"
3,-9.56112494637447,1.15641874155993,57,"region_expanded__distant_share"
4,-5.40307345720475,-0.952434634903142,58,"region_expanded__distant_share"
5,-1.4222797257328,0.0670447923241664,57,"region_expanded__distant_share"
6,1.90133743201724,-1.63999904322587,57,"region_expanded__distant_share"
7,5.32818336343166,-2.25343248175584,58,"region_expanded__distant_share"
8,9.53959961144752,-2.5356268522345,57,"region_expanded__distant_share"
9,16.8898343125926,-3.52722954978183,57,"region_expanded__distant_share"
10,34.8688487556229,5.57363866566201,58,"region_expanded__distant_share"
1,-1.26400293861663,-3.43813577960178,57,"region_expanded__top3_legacy"
