"specification_id","adjustment_id","construction_id","instrument","fixed_effect","linear_slope","spearman_rho","isotonic_r_squared","n_bins","share_nondecreasing_bin_steps","n_negative_bin_steps","n_state_slopes","share_negative_state_slopes","n","status","reason","analysis_id"
"unadjusted__nonzero_mean","unadjusted","nonzero_mean","ling_distance_nonzero_mean","none",5.62175335368273,0.345309871055519,0.250003957145794,10,0.666666666666667,3,26,0.5,573,"estimated",NA,"district_iv_diagnostic__unadjusted__nonzero_mean"
"unadjusted__distant_share","unadjusted","distant_share","ling_share_distance_ge3","none",0.104540583118475,0.293999448149707,0.101634847041031,10,0.777777777777778,2,26,0.423076923076923,573,"estimated",NA,"district_iv_diagnostic__unadjusted__distant_share"
"unadjusted__top3_legacy","unadjusted","top3_legacy","ling_distance_top3_legacy","none",4.83387926718825,0.415436619063804,0.298222039189364,10,0.666666666666667,3,26,0.692307692307692,573,"estimated",NA,"district_iv_diagnostic__unadjusted__top3_legacy"
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu","ling_distance_nonzero_mean","none",4.81582449541677,0.344208403013153,0.166713203355028,10,0.777777777777778,2,26,0.346153846153846,573,"estimated",NA,"district_iv_diagnostic__unadjusted__nonzero_mean_hindi_urdu"
"unadjusted__nonzero_mean_shastry","unadjusted","nonzero_mean_shastry","ling_distance_nonzero_mean","none",4.93105845741599,0.357455403745788,0.176739389241433,10,0.777777777777778,2,26,0.307692307692308,573,"estimated",NA,"district_iv_diagnostic__unadjusted__nonzero_mean_shastry"
"unadjusted__nonzero_mean_sensitivity_low","unadjusted","nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low","none",4.95022535661435,0.360521230780457,0.17820524825183,10,0.777777777777778,2,26,0.346153846153846,573,"estimated",NA,"district_iv_diagnostic__unadjusted__nonzero_mean_sensitivity_low"
"unadjusted__nonzero_mean_sensitivity_high","unadjusted","nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high","none",4.03659547204139,0.325373451730239,0.110172608071735,10,0.666666666666667,3,26,0.307692307692308,573,"estimated",NA,"district_iv_diagnostic__unadjusted__nonzero_mean_sensitivity_high"
"unadjusted__nonzero_mean_hindi_urdu_separate","unadjusted","nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean","none",5.10233294863359,0.364394321040982,0.185161502481699,10,0.666666666666667,3,26,0.423076923076923,573,"estimated",NA,"district_iv_diagnostic__unadjusted__nonzero_mean_hindi_urdu_separate"
"unadjusted__glottolog_mean","unadjusted","glottolog_mean","ling_distance_glottolog_nonhindi_mean","none",1.36811199440794,0.454254892636479,0.152907910819889,10,0.666666666666667,3,26,0.423076923076923,573,"estimated",NA,"district_iv_diagnostic__unadjusted__glottolog_mean"
"unadjusted__glottolog_mean_shastry","unadjusted","glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean","none",1.05758606974394,0.421368696429353,0.101299629513992,10,0.666666666666667,3,26,0.384615384615385,573,"estimated",NA,"district_iv_diagnostic__unadjusted__glottolog_mean_shastry"
