"canonical_language","state_code_2001","unmapped_speakers","n_districts","share_of_unmapped_speakers"
"Bhili/Bhilodi","23",2973201,43,13.3349099725691
"Bhili/Bhilodi","24",2405663,25,10.7894822883957
"Bhili/Bhilodi","08",2208369,27,9.90461183122581
"Dogri","01",2203656,11,9.88347386218143
"Khandeshi","27",1854808,33,8.31887843990397
"Bhili/Bhilodi","27",1482953,33,6.65109582182679
"Nepali","19",1022725,18,4.58695722276957
"Nepali","18",562599,22,2.52327609726264
"Halabi","22",544874,12,2.44377885531237
"Miri/Mishing","18",517170,22,2.31952545102519
"Karbi / Mikir","18",406156,22,1.82162379698472
"Korku","23",372224,20,1.66943759592088
"Nepali","11",338606,4,1.51865969578637
"Koya","28",248095,22,1.11271471038942
"Konyak","13",248002,8,1.11229760215239
"Nepali","09",247062,68,1.10808166943401
"Korku","27",195652,22,0.877506030017172
"Lotha","13",168356,8,0.755082519931158
"Coorgi/Kodagu","29",164403,27,0.737353177339936
"Khandeshi","24",152096,23,0.682155853972828
"Tangkhul","14",139979,9,0.62781068721901
"Kisan","21",139425,21,0.625325977936051
"Phom","13",122454,8,0.549210452230096
"Rabha","18",120603,21,0.540908652802736
"Koya","21",113668,16,0.50980493641768
"Dimasa","18",108133,21,0.484980268762123
"Nepali","12",94919,13,0.425715018825261
"Sema","13",92884,8,0.416587972993453
"Yimchungre","13",92092,8,0.413035825426479
"Kolami","27",90263,16,0.404832696764868
"Bhili/Bhilodi","26",89132,1,0.399760122398394
"Kabui","14",87950,9,0.394458811256774
"Nepali","05",86988,12,0.390144207772646
"Sangtam","13",84150,8,0.377415678990989
"Chakru/Chokri","13",83506,6,0.374527316575419
"English","27",81231,32,0.364323862389983
"Nepali","02",70272,12,0.315172365942422
"Kinnauri","02",64293,12,0.288356342832652
"Zeliang","13",61492,8,0.275793760338846
"Nepali","27",56993,33,0.255615588743119
"Monpa","12",55428,13,0.2485965092705
"Bishnupuriya","18",53808,22,0.241330752883507
"Nepali","17",52155,7,0.233916990347891
"Wancho","12",48544,13,0.217721529660589
"Nepali","14",45998,9,0.206302631042514
"Hmar","14",43137,8,0.193470946460301
"Nepali","07",41230,7,0.184917985083761
"Parji","22",39498,3,0.177149904798409
"Jatapu","28",39312,5,0.176315688324347
"Khiemnungan","13",37752,8,0.169319034025761
"Vaiphei","14",37553,9,0.168426512099211
"Lepcha","11",35728,4,0.160241323576828
"Lakher","15",34731,8,0.155769743874463
