"predictor","sample_id","period_id","domain","tested_measures","joint_f","joint_p","n","n_states","population_1961","status","reason","predictor_id"
"emie_exposure","full_pretrend","1961_1971","demography","log_population;urban_share",0.0495564222525536,0.951696350616861,70,16,110981379,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1971","labor","main_worker_share;nonfarm_worker_share_main_workers",0.274138320200305,0.761318734787279,70,16,110981379,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1971","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",3.93125913571325,0.0133962913457587,70,16,110981379,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1971_1981","demography","log_population;urban_share",1.97411342749105,0.149776662312522,66,15,104576855,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1971_1981","labor","main_worker_share;nonfarm_worker_share_main_workers",2.23709560484464,0.117562945030343,66,15,104576855,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1971_1981","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",18.6782595330759,3.6279398917231e-08,66,15,104576855,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1981_1991","demography","log_population;urban_share",0.142268458237453,0.867745350159742,66,15,104576855,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1981_1991","labor","main_worker_share;nonfarm_worker_share_main_workers",0.450108974549365,0.640168233267622,66,15,104576855,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1981_1991","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",6.90067036738494,0.000639045258857051,62,14,99177257,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1981","demography","log_population;urban_share",0.174797079720865,0.840148616507402,66,15,104576855,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1981","labor","main_worker_share;nonfarm_worker_share_main_workers",0.217730246671714,0.80511636282966,66,15,104576855,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1981","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",9.57351769022,4.58845812568892e-05,66,15,104576855,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1991","demography","log_population;urban_share",0.271993872706198,0.762936090052696,70,16,110981379,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1991","labor","main_worker_share;nonfarm_worker_share_main_workers",0.316832224287154,0.729849208937645,70,16,110981379,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1991","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",10.6673655025524,1.73040392264466e-05,66,15,105581781,"estimated",NA,"eventual_emie"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1971","demography","log_population;urban_share",0.433214986017261,0.650739777990423,70,16,110981379,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1971","labor","main_worker_share;nonfarm_worker_share_main_workers",0.550905187707184,0.579754887577599,70,16,110981379,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1971","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",2.37798825302724,0.0806145159988884,70,16,110981379,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1971_1981","demography","log_population;urban_share",0.472466265497584,0.626273313794606,66,15,104576855,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1971_1981","labor","main_worker_share;nonfarm_worker_share_main_workers",1.16464348155545,0.320520486321416,66,15,104576855,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1971_1981","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",2.58821288138654,0.0637591515472023,66,15,104576855,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1981_1991","demography","log_population;urban_share",0.203291897632865,0.816724774607308,66,15,104576855,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1981_1991","labor","main_worker_share;nonfarm_worker_share_main_workers",1.74001867076779,0.186186266689949,66,15,104576855,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1981_1991","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.471432093546858,0.703703325595824,62,14,99177257,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1981","demography","log_population;urban_share",0.294086666586872,0.746517943861183,66,15,104576855,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1981","labor","main_worker_share;nonfarm_worker_share_main_workers",0.97598827801249,0.384024186167138,66,15,104576855,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1981","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",1.50761761922381,0.224505000850908,66,15,104576855,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1991","demography","log_population;urban_share",0.376231462796916,0.688296672715152,70,16,110981379,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1991","labor","main_worker_share;nonfarm_worker_share_main_workers",0.513732326324802,0.601263018532187,70,16,110981379,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1991","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",1.09963037475899,0.358470662125276,66,15,105581781,"estimated",NA,"census_2001_ld"
