"harmonized_region_id","component_class","vintage","state_code","district_code","panel_unit_id","n_source_1991_districts","n_vanneman_panel_units","n_target_2001_districts","harmonized_state_code_2001","vanneman_amalgamation_status","vanneman_amalgamation_eligible"
"geo_component_0001","one_to_one",1991,"02","01","0201",1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0001","one_to_one",2001,"28","11",NA,1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0002","one_to_one",1991,"02","02","0202",1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0002","one_to_one",2001,"28","12",NA,1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0003","one_to_one",1991,"02","07","0207",1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0003","one_to_one",2001,"28","17",NA,1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0004","one_to_one",1991,"02","08","0208",1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0004","one_to_one",2001,"28","18",NA,1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0005","one_to_one",1991,"02","09","0209",1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0005","one_to_one",2001,"28","19",NA,1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0006","one_to_one",1991,"02","10","0210",1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0006","one_to_one",2001,"28","23",NA,1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0007","many_to_many",1991,"02","11","0211",2,2,2,"28","deterministic_amalgamation",TRUE
"geo_component_0007","many_to_many",1991,"02","12","0212",2,2,2,"28","deterministic_amalgamation",TRUE
"geo_component_0007","many_to_many",2001,"28","20",NA,2,2,2,"28","deterministic_amalgamation",TRUE
"geo_component_0007","many_to_many",2001,"28","22",NA,2,2,2,"28","deterministic_amalgamation",TRUE
"geo_component_0008","one_to_one",1991,"02","13","0213",1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0008","one_to_one",2001,"28","21",NA,1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0009","one_to_one",1991,"02","16",NA,1,0,1,"28","incomplete_vanneman_1991_membership",FALSE
"geo_component_0009","one_to_one",2001,"28","05",NA,1,0,1,"28","incomplete_vanneman_1991_membership",FALSE
"geo_component_0010","one_to_one",1991,"02","17","0217",1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0010","one_to_one",2001,"28","04",NA,1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0011","one_to_one",1991,"02","18","0218",1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0011","one_to_one",2001,"28","02",NA,1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0012","one_to_one",1991,"02","23","0223",1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0012","one_to_one",2001,"28","08",NA,1,1,1,"28","deterministic_amalgamation",TRUE
"geo_component_0013","split",1991,"03","04",NA,1,0,2,"12","incomplete_vanneman_1991_membership",FALSE
