"predictor","sample_id","period_id","measure_id","fixed_effect","estimate","std.error","p.value","standardized_effect","contains_estimated_source","n","n_states","population_1961","status","predictor_id"
"emie_exposure","full_pretrend","1961_1971","log_population","none",9.8149232242328e-05,0.000779243828117616,0.899904753735468,0.0207330170634599,FALSE,187,19,213986430,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1961_1971","log_population","state",0.00042092442820061,0.00105402653525876,0.690146318972015,0.0889159614694031,FALSE,187,19,213986430,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1961_1971","urban_share","none",0.000286640854925813,0.000173371833117964,0.0999596365193189,0.158997671484622,FALSE,187,19,213986430,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1961_1971","urban_share","state",0.000372642384649045,0.00038796401840769,0.338188420792096,0.206702116734231,FALSE,187,19,213986430,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1961_1971","main_worker_share","none",0.000445239433840022,0.00038370659217243,0.24739573577355,0.168093421204222,TRUE,187,19,213986430,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1961_1971","main_worker_share","state",0.000210858887674054,0.000114674053918122,0.0677255153453026,0.079606587212542,TRUE,187,19,213986430,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1961_1971","nonfarm_worker_share_main_workers","none",0.000327355206480415,0.00121042519237303,0.78711827805609,0.0661012440572796,TRUE,187,19,213986430,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1961_1971","nonfarm_worker_share_main_workers","state",0.00127839727342149,0.000414818982485113,0.00240713455347927,0.258140541221698,TRUE,187,19,213986430,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1961_1971","literate_share_population","none",0.000955904438970965,0.00043858404106703,0.0305561292820361,0.346254162749583,FALSE,187,19,213986430,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1961_1971","literate_share_population","state",0.000426969813866472,0.000198053749060141,0.0325284804301986,0.154659890039669,FALSE,187,19,213986430,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1961_1971","primary_plus_share_population","none",0.00281013447776894,0.000638278920510792,1.8051792918878e-05,0.502210766730008,FALSE,187,19,213986430,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1961_1971","primary_plus_share_population","state",0.00177729539517436,0.000462732960713181,0.000173832542435331,0.317627818233408,FALSE,187,19,213986430,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1961_1971","matriculate_plus_share_population","none",0.000599609872064612,0.000170504926398628,0.00054970033437515,0.50696111004108,FALSE,187,19,213986430,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1961_1971","matriculate_plus_share_population","state",0.000949022559953134,0.000290866203016735,0.00133805257202291,0.802384271611901,FALSE,187,19,213986430,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1971_1981","log_population","none",0.000571519633175555,0.00110258964577359,0.604855550083365,0.116094302941316,FALSE,182,18,206536561,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1971_1981","log_population","state",0.00179959223355734,0.00138834148423938,0.196732887076124,0.365555956096559,FALSE,182,18,206536561,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1971_1981","urban_share","none",0.000441971282723207,0.00032807695527318,0.179623028161021,0.195256785127921,FALSE,182,18,206536561,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1971_1981","urban_share","state",0.000881801148652167,0.000272531333139208,0.001470117808548,0.389567522005179,FALSE,182,18,206536561,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1971_1981","main_worker_share","none",-0.000135691365823169,0.000326600186204642,0.678295432964997,-0.0624060929187841,FALSE,182,18,206536561,"estimated","eventual_emie"
"emie_exposure","full_pretrend","1971_1981","main_worker_share","state",-0.000193836684755148,0.000224560435887153,0.389305317543527,-0.0891478251878081,FALSE,182,18,206536561,"estimated","eventual_emie"
