"panel_unit_id","pretrend_analysis_geography_status","n_descendant_2001_districts","n_emie_complete_descendants","emie_descendants_complete","n_ld2001_complete_descendants","ld2001_descendants_complete"
"0201","preferred_single_target",1,1,TRUE,1,TRUE
"0202","preferred_single_target",1,1,TRUE,1,TRUE
"0203","preferred_single_target",1,1,TRUE,1,TRUE
"0204","preferred_single_target",1,1,TRUE,1,TRUE
"0206","preferred_single_target",1,1,TRUE,1,TRUE
"0207","preferred_single_target",1,1,TRUE,1,TRUE
"0208","preferred_single_target",1,1,TRUE,1,TRUE
"0209","preferred_single_target",1,1,TRUE,1,TRUE
"0210","preferred_single_target",1,1,TRUE,1,TRUE
"0211","merger_requires_amalgamation",NA,NA,FALSE,NA,FALSE
"0212","merger_requires_amalgamation",NA,NA,FALSE,NA,FALSE
"0213","preferred_single_target",1,1,TRUE,1,TRUE
"0214","preferred_single_target",1,1,TRUE,1,TRUE
"0217","preferred_single_target",1,1,TRUE,1,TRUE
"0218","preferred_single_target",1,1,TRUE,1,TRUE
"0219","preferred_single_target",1,1,TRUE,1,TRUE
"0220","preferred_single_target",1,1,TRUE,1,TRUE
"0221","preferred_single_target",1,1,TRUE,1,TRUE
"0222","preferred_single_target",1,1,TRUE,1,TRUE
"0223","preferred_single_target",1,1,TRUE,1,TRUE
"0401","insufficient_1991_population_coverage",NA,NA,FALSE,NA,FALSE
"0403","preferred_single_target",1,1,TRUE,1,TRUE
"0404","preferred_single_target",1,1,TRUE,1,TRUE
"0405","preferred_single_target",1,1,TRUE,1,TRUE
"0410","preferred_single_target",1,1,TRUE,1,TRUE
"0520","preferred_historical_parent_split",2,2,TRUE,2,TRUE
"0524","preferred_historical_parent_split",2,2,TRUE,2,TRUE
"0526","insufficient_1991_population_coverage",NA,NA,FALSE,NA,FALSE
"0529","preferred_historical_parent_split",2,2,TRUE,2,TRUE
"0530","preferred_single_target",1,1,TRUE,1,TRUE
"1001","preferred_single_target",1,1,TRUE,1,TRUE
"1002","preferred_single_target",1,1,TRUE,1,TRUE
"1003","preferred_single_target",1,1,TRUE,1,TRUE
"1004","merger_requires_amalgamation",NA,NA,FALSE,NA,FALSE
"1005","merger_requires_amalgamation",NA,NA,FALSE,NA,FALSE
"1006","merger_requires_amalgamation",NA,NA,FALSE,NA,FALSE
"1007","preferred_single_target",1,1,TRUE,1,TRUE
"1008","merger_requires_amalgamation",NA,NA,FALSE,NA,FALSE
"1009","preferred_single_target",1,1,TRUE,1,TRUE
"1011","merger_requires_amalgamation",NA,NA,FALSE,NA,FALSE
"1012","merger_requires_amalgamation",NA,NA,FALSE,NA,FALSE
"1013","merger_requires_amalgamation",NA,NA,FALSE,NA,FALSE
"1014","preferred_historical_parent_split",2,2,TRUE,2,TRUE
"1015","merger_requires_amalgamation",NA,NA,FALSE,NA,FALSE
"1016","merger_requires_amalgamation",NA,NA,FALSE,NA,FALSE
"1019","preferred_single_target",1,1,TRUE,1,TRUE
"1101","preferred_historical_parent_split",2,2,TRUE,2,TRUE
"1104","merger_requires_amalgamation",NA,NA,FALSE,NA,FALSE
"1109","preferred_single_target",1,1,TRUE,1,TRUE
"1110","merger_requires_amalgamation",NA,NA,FALSE,NA,FALSE
"1201","preferred_single_target",1,1,TRUE,1,TRUE
"1205","preferred_single_target",1,1,TRUE,1,TRUE
"1206","preferred_single_target",1,1,TRUE,1,TRUE
"1208","preferred_single_target",1,1,TRUE,1,TRUE
"1211","preferred_single_target",1,1,TRUE,1,TRUE
"1212","preferred_single_target",1,1,TRUE,1,TRUE
"1402","preferred_single_target",1,1,TRUE,1,TRUE
"1403","preferred_single_target",1,1,TRUE,1,TRUE
"1404","preferred_single_target",1,1,TRUE,1,TRUE
"1406","preferred_single_target",1,1,TRUE,1,TRUE
"1407","merger_requires_amalgamation",NA,NA,FALSE,NA,FALSE
"1408","merger_requires_amalgamation",NA,NA,FALSE,NA,FALSE
"1409","preferred_single_target",1,1,TRUE,1,TRUE
"1601","preferred_historical_parent_split",2,2,TRUE,2,TRUE
