"panel_unit_id","vanneman_state_id","vanneman_district_id","year","version","population","rural_population","main_workers","farm_workers","literates","primary_plus","matriculate_plus","log_population","urban_share","main_worker_share","nonfarm_worker_share_main_workers","literate_share_population","primary_plus_share_population","matriculate_plus_share_population","dist91_state_id","dist91_district_id","state_code_2001","district_code_2001","pretrend_geography_status","preferred_vanneman_pretrend_eligible"
"0100","01","00",1961,5,63548,49473,28054,5717,21372,10264,1848,11.0595508048399,0.221486120727639,0.441461572354755,0.796214443573109,0.336312708503808,0.161515704664191,0.029080380185057,"27",NA,NA,NA,"panel_to_1991_not_preferred",FALSE
"0100","01","00",1971,5,115133,88915,45531,8405,50191,28336,6492,11.6538432608284,0.22771924643673,0.395464375982559,0.815400496365114,0.435939304977721,0.246115362233243,0.0563869611666507,"27",NA,NA,NA,"panel_to_1991_not_preferred",FALSE
"0100","01","00",1981,5,188741,139107,62680,12611,97321,60237,17125,12.1481309838552,0.26297412856772,0.332095305206606,0.798803446075303,0.515632533471795,0.319151641667682,0.0907328031535278,"27",NA,NA,NA,"panel_to_1991_not_preferred",FALSE
"0100","01","00",1991,5,280661,205706,90807,19514,171086,125152,41543,12.5449028143288,0.267065962139378,0.323546912467354,0.785104672547271,0.609582378741614,0.445918741827329,0.148018427925504,"27",NA,NA,NA,"panel_to_1991_not_preferred",FALSE
"0201","02","01",1961,5,1555045,1419103,779846,582443,244279,77295,11565,14.2570150420835,0.0874199781999878,0.501494168979033,0.253130746326839,0.15708805854493,0.0497059570623358,0.00743708381429476,"02","01","28","11","preferred_single_target",TRUE
"0201","02","01",1971,5,1770000,1581573,755215,577991,327745,193082,27122,14.38649010455,0.10645593220339,0.426675141242938,0.234666949146932,0.185166666666667,0.109085875706215,0.0153231638418079,"02","01","28","11","preferred_single_target",TRUE
"0201","02","01",1981,5,1959352,1745948,852235,643766,445209,335776,64780,14.4881243642975,0.108915600667976,0.43495757781144,0.244614454933205,0.227222571544062,0.171370943046477,0.0330619510940352,"02","01","28","11","preferred_single_target",TRUE
"0201","02","01",1991,5,2321126,2030888,1021083,757081,699207,479362,150681,14.6575629707284,0.125041897768583,0.439908475455447,0.258550969901565,0.301236124191448,0.20652131767082,0.0649171996694708,"02","01","28","11","preferred_single_target",TRUE
"0202","02","02",1961,5,1350505,1179994,667500,487467,220311,79008,15844,14.1159891545404,0.126257214893688,0.494259554759146,0.269712359550562,0.163132309765606,0.0585025601534241,0.0117319076937886,"02","02","28","12","preferred_single_target",TRUE
"0202","02","02",1971,5,1589503,1330634,662712,489604,315359,191148,34794,14.2789319467172,0.162861598877133,0.416930323503636,0.261211506657492,0.198401009623763,0.120256457521628,0.0218898611704413,"02","02","28","12","preferred_single_target",TRUE
"0202","02","02",1981,5,1804196,1516697,785283,585881,392277,335444,64237,14.4056256211531,0.159350203636412,0.435253708577117,0.253923744688221,0.217424825240717,0.185924367419061,0.0356042248181461,"02","02","28","12","preferred_single_target",TRUE
"0202","02","02",1991,5,2110943,1747443,960265,696820,607170,425490,129253,14.5626453250448,0.172197922918809,0.454898592714251,0.274346144033157,0.28762974651613,0.201563945592088,0.0612299811032321,"02","02","28","12","preferred_single_target",TRUE
"0203","02","03",1961,5,1726087,1414865,809213,565519,296100,122111,30566,14.3613675549172,0.180304932486022,0.468813565017291,0.301149388356341,0.171544076283525,0.0707444062784784,0.0177082615186836,"02","03","28","13","preferred_single_target",TRUE
"0203","02","03",1971,5,2035854,1581927,827667,586902,432626,269056,58810,14.5264259448475,0.2229663816757,0.406545361307834,0.290895976280316,0.21250345064037,0.132158789382736,0.0288871402369718,"02","03","28","13","preferred_single_target",TRUE
"0203","02","03",1981,5,2576474,1770513,1010013,629152,716913,567704,174478,14.7619323554905,0.31281549901144,0.392013658977347,0.377085245437435,0.278253535646003,0.220341443383477,0.067719682015033,"02","03","28","13","preferred_single_target",TRUE
"0203","02","03",1991,5,3285092,1976509,1314851,787802,1262458,916778,380897,15.004905215597,0.39833983340497,0.400247846940055,0.40084313735929,0.384299130739717,0.279072245160866,0.115947133291853,"02","03","28","13","preferred_single_target",TRUE
"0204","02","04",1961,5,2608375,2124898,1128445,683523,678224,288600,46368,14.7742379800357,0.185355633296593,0.432623760003834,0.394278852757556,0.260017827191259,0.110643599942493,0.0177765850385777,"02","04","28","14","preferred_single_target",TRUE
"0204","02","04",1971,5,3087262,2493668,1183329,784643,952062,577062,86803,14.9427951719269,0.192271987281935,0.383293999667019,0.336918980266688,0.308383933725094,0.186917080571717,0.0281164993447268,"02","04","28","14","preferred_single_target",TRUE
"0204","02","04",1981,5,3701040,2878860,1407725,907669,1306901,1011896,203679,15.1241244191996,0.222148369107062,0.380359304411733,0.355222788541796,0.353117231913192,0.273408555433067,0.0550329096686337,"02","04","28","14","preferred_single_target",TRUE
"0204","02","04",1991,5,4541222,3460418,1671295,1091466,1854359,1297421,374721,15.3287066967953,0.237998494678305,0.3680275925731,0.346933964380914,0.408339209137981,0.28569865115601,0.0825154550911627,"02","04","28","14","preferred_single_target",TRUE
"0205","02","05",1961,5,1978257,1664284,893523,610279,608565,294978,32692,14.4977267119462,0.158711936821151,0.45167185052296,0.316996876409449,0.307626865467935,0.14911004990757,0.0165256586985412,"02","05","28","15","preferred_single_target",TRUE
"0205","02","05",1971,5,2374306,1953921,964162,698635,817105,486415,68220,14.6802157422227,0.177055948138109,0.406081608689023,0.275396665705556,0.344144773251637,0.20486617984371,0.0287326064963825,"02","05","28","15","preferred_single_target",TRUE
"0205","02","05",1981,5,2873958,2277084,1184104,843624,1080947,840492,171739,14.8712007317356,0.207683619593606,0.412011588199967,0.287542310472729,0.376117883420704,0.292451037906608,0.0597569623494846,"02","05","28","15","preferred_single_target",TRUE
