"panel_unit_id","dist91_state_id","dist91_district_id","state_code_2001","district_code_2001","preferred_vanneman_pretrend_eligible","pretrend_geography_status","period_id","start_year","end_year","measure_id","domain","label","contains_estimated_source","start_value","end_value","change","population_1961"
"0100","27",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,11.0595508048399,11.6538432608284,0.594292455988501,63548
"0201","02","01","28","11",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.2570150420835,14.38649010455,0.129475062466501,1555045
"0202","02","02","28","12",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.1159891545404,14.2789319467172,0.1629427921768,1350505
"0203","02","03","28","13",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.3613675549172,14.5264259448475,0.1650583899303,1726087
"0204","02","04","28","14",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.7742379800357,14.9427951719269,0.1685571918912,2608375
"0205","02","05","28","15",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.4977267119462,14.6802157422227,0.1824890302765,1978257
"0206","02","06","28","16",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.5464139182333,14.7292275806886,0.182813662455299,2076956
"0207","02","07","28","17",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.6602043163334,14.8608936444963,0.2006893281629,2327265
"0208","02","08","28","18",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.3293815399162,14.4678331398339,0.138451599917699,1671750
"0209","02","09","28","19",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.1619996013055,14.3026619454187,0.140662344113201,1414094
"0210","02","10","28","23",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.4574291788834,14.6341796406459,0.1767504617625,1900123
"0211","02","11","28","20",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.1096827737985,14.2712041604283,0.161521386629801,1342015
"0212","02","12",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.3850563087944,14.5647171319958,0.179660823201401,1767464
"0213","02","13","28","21",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.2671548054338,14.4996624015192,0.232507596085402,1570893
"0214","02","14","28","07",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.279675927691,14.4741087359181,0.1944328082271,1590686
"0216","02",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.5391694846288,14.842183495678,0.3030140110492,2061964
"0217","02","17","28","04",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.0244561941983,14.19937334029,0.174917146091699,1232378
"0218","02","18","28","02",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.8333769983342,14.0880292451757,0.2546522468415,1018027
"0219","02","19","28","01",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.82475965291,14.0688713354881,0.244111682578099,1009292
"0220","02","20","28","03",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.2988714553805,14.4904571073468,0.1915856519663,1621515
"0221","02","21","28","09",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.2508159820833,14.4419477948876,0.191131812804301,1545435
