"target_unit_2001","outcome_id","estimate","std_error","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","preferred_eligible","support_reason","status","analysis_eligible"
"pc2001__01__01","labor_force_participation_age15plus",0.413568950155949,0.0180476044652959,501,18,237829.085,165.306387638127,TRUE,,"estimated",TRUE
"pc2001__01__02","labor_force_participation_age15plus",0.563626059397617,0.0346684389714328,1287,38,569994.91,525.676943641173,TRUE,,"estimated",TRUE
"pc2001__01__03","labor_force_participation_age15plus",0.480146620835368,0.0259610007069914,1814,54,690154.300000004,720.951607610235,TRUE,,"estimated",TRUE
"pc2001__01__04","labor_force_participation_age15plus",0.628130082386282,0.0440156927973386,723,21,370750.425000002,395.021162940513,TRUE,,"estimated",TRUE
"pc2001__01__05","labor_force_participation_age15plus",0.435126273568994,0.0238743534270045,851,24,531382.185000001,238.669682124971,TRUE,,"estimated",TRUE
"pc2001__01__06","labor_force_participation_age15plus",0.394478859979042,0.015316884990562,1640,47,741039.71,740.11631172418,TRUE,,"estimated",TRUE
"pc2001__01__09","labor_force_participation_age15plus",0.908594111047013,0.00754072361547867,177,8,240533.08,39.7175263560905,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__01__10","labor_force_participation_age15plus",0.681245286732355,0.0365653846073606,802,28,548484.925000001,335.697734457083,TRUE,,"estimated",TRUE
"pc2001__01__12","labor_force_participation_age15plus",0.805058044079446,0.0380768682462487,92,3,362990.51,63.4386778181706,FALSE,"too_few_psus;low_kish_effective_n","estimated",FALSE
"pc2001__01__13","labor_force_participation_age15plus",0.558183967253045,0.0309304176535527,2417,84,1270273.9,1059.71065236474,TRUE,,"estimated",TRUE
"pc2001__01__14","labor_force_participation_age15plus",0.75467434476241,0.0599128094472474,408,16,439393.67,195.146887542769,TRUE,,"estimated",TRUE
"pc2001__02__01","labor_force_participation_age15plus",0.664754463002076,0.0519980404042744,552,20,352131.25,325.252977143067,TRUE,,"estimated",TRUE
"pc2001__02__02","labor_force_participation_age15plus",0.695866267838291,0.0247192868317294,1101,44,1010195.59,769.19702577061,TRUE,,"estimated",TRUE
"pc2001__02__03","labor_force_participation_age15plus",0.882632809729161,0.0393230769822937,173,8,24135.28,91.2236623967777,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__02__04","labor_force_participation_age15plus",0.726189273815963,0.0421204871955743,402,16,289258.975,125.922737487951,TRUE,,"estimated",TRUE
"pc2001__02__05","labor_force_participation_age15plus",0.691314467515505,0.0269885933389764,774,32,617019.28,454.176773828326,TRUE,,"estimated",TRUE
"pc2001__02__06","labor_force_participation_age15plus",0.840763235892849,0.0210091559742172,480,20,285494.435,330.561979226239,TRUE,,"estimated",TRUE
"pc2001__02__07","labor_force_participation_age15plus",0.69513366917521,0.0217616660237147,518,20,344156.01,312.951687283699,TRUE,,"estimated",TRUE
"pc2001__02__08","labor_force_participation_age15plus",0.724598913106247,0.0317233568504358,412,16,257761.165,283.471962229605,TRUE,,"estimated",TRUE
"pc2001__02__09","labor_force_participation_age15plus",0.680349842082226,0.0217252260445551,654,24,398579.264999999,423.310791880456,TRUE,,"estimated",TRUE
"pc2001__02__10","labor_force_participation_age15plus",0.655402626779954,0.0578964642688899,525,20,303657.334999999,280.90878356228,TRUE,,"estimated",TRUE
"pc2001__02__11","labor_force_participation_age15plus",0.706259722089238,0.0373530498671426,677,28,493428.535,290.915757253077,TRUE,,"estimated",TRUE
"pc2001__02__12","labor_force_participation_age15plus",0.795052490637768,0.0322660678614524,169,8,55528.9499999999,105.33586722142,TRUE,,"estimated",TRUE
"pc2001__03__01","labor_force_participation_age15plus",0.545768956069507,0.0240778153339534,798,28,1518658.245,468.437490202637,TRUE,,"estimated",TRUE
"pc2001__03__02","labor_force_participation_age15plus",0.521810827296077,0.022066421471657,1166,40,2035675.19,618.299499368652,TRUE,,"estimated",TRUE
"pc2001__03__03","labor_force_participation_age15plus",0.395838515560929,0.0408295940901227,440,16,671385.185000001,275.011006867949,TRUE,,"estimated",TRUE
"pc2001__03__04","labor_force_participation_age15plus",0.460338026928001,0.0251491553357483,860,32,1631107.33,409.852583630323,TRUE,,"estimated",TRUE
"pc2001__03__05","labor_force_participation_age15plus",0.495907906921978,0.0307769089687287,544,20,1188656.98,291.663139219351,TRUE,,"estimated",TRUE
"pc2001__03__06","labor_force_participation_age15plus",0.523949411589207,0.0201156448822073,324,12,461106.005,227.899211565407,TRUE,,"estimated",TRUE
"pc2001__03__07","labor_force_participation_age15plus",0.433266880011773,0.0357248636440244,290,11,339920.305,157.874231818122,TRUE,,"estimated",TRUE
"pc2001__03__08","labor_force_participation_age15plus",0.498461376782637,0.0375766253894228,340,12,347983.18,196.193358196526,TRUE,,"estimated",TRUE
"pc2001__03__09","labor_force_participation_age15plus",0.500539253035212,0.0265024512879272,1181,44,1972849.34999999,504.896458545665,TRUE,,"estimated",TRUE
"pc2001__03__10","labor_force_participation_age15plus",0.556628725029617,0.0403209420167507,451,16,488588.565,135.888872191263,TRUE,,"estimated",TRUE
"pc2001__03__11","labor_force_participation_age15plus",0.548487064740822,0.0350016622749158,797,28,1125963.91,213.036296012684,TRUE,,"estimated",TRUE
"pc2001__03__12","labor_force_participation_age15plus",0.46974682823331,0.0871982632383844,406,16,422688.325,104.13077295293,TRUE,,"estimated",TRUE
"pc2001__03__13","labor_force_participation_age15plus",0.554322066940181,0.0381780048567521,499,16,506124.565,183.868729555497,TRUE,,"estimated",TRUE
"pc2001__03__14","labor_force_participation_age15plus",0.705260546462463,0.0310225048063928,493,19,834770.785000001,218.579666425203,TRUE,,"estimated",TRUE
"pc2001__03__15","labor_force_participation_age15plus",0.7844828534535,0.0371441317986661,334,12,489973.01,115.837322466509,TRUE,,"estimated",TRUE
"pc2001__03__16","labor_force_participation_age15plus",0.571542050691611,0.0389553164933062,814,28,1197097.255,358.240844371578,TRUE,,"estimated",TRUE
"pc2001__03__17","labor_force_participation_age15plus",0.564019910537908,0.032695614415676,680,24,1300676.06,312.604903602668,TRUE,,"estimated",TRUE
"pc2001__04__01","labor_force_participation_age15plus",0.48823656034076,0.0293649107549663,869,39,687524.034999999,288.412305567738,TRUE,,"estimated",TRUE
"pc2001__05__01","labor_force_participation_age15plus",0.852561035699927,0.0326738816279059,281,12,198482.2,108.421210021684,TRUE,,"estimated",TRUE
"pc2001__05__02","labor_force_participation_age15plus",0.804980813517379,0.0362442558550188,275,12,232078.755,125.837101666468,TRUE,,"estimated",TRUE
"pc2001__05__03","labor_force_participation_age15plus",0.752647411670057,0.0430418319365166,271,12,165431.865,82.9821025925355,FALSE,"low_kish_effective_n","estimated",FALSE
