"source_district_code","target_unit_2001","lineage_status","n_sample_people","n_fsu","sum_person_weight","kish_effective_n"
"0101","pc2001__01__01","resolved_reviewed_deterministic",691,18,320372.269999999,230.471777587002
"0102","pc2001__01__02","resolved_reviewed_deterministic",1722,38,780900.920000005,707.646583425291
"0103","pc2001__01__03","resolved_reviewed_deterministic",2283,54,873081.660000004,912.231906542632
"0104","pc2001__01__04","resolved_reviewed_deterministic",997,21,522564.280000004,558.51395652044
"0105","pc2001__01__05","resolved_reviewed_deterministic",1105,24,693283.110000005,317.254693279608
"0106","pc2001__01__06","resolved_reviewed_deterministic",2181,47,1000893.735,974.802214265786
"0109","pc2001__01__09","resolved_reviewed_deterministic",243,8,345729.845,45.8803747477083
"0110","pc2001__01__10","resolved_reviewed_deterministic",1101,28,754423.015,458.818760717461
"0112","pc2001__01__12","resolved_reviewed_deterministic",134,3,526738.68,91.3529768936231
"0113","pc2001__01__13","resolved_reviewed_deterministic",3225,84,1710035.37,1362.71604965735
"0114","pc2001__01__14","resolved_reviewed_deterministic",596,16,613132.06,287.867617757165
"0201","pc2001__02__01","resolved_reviewed_deterministic",771,20,491544.860000001,434.813285195582
"0202","pc2001__02__02","resolved_reviewed_deterministic",1490,44,1380565.89500001,1048.97180826159
"0203","pc2001__02__03","resolved_reviewed_deterministic",226,8,32902.22,115.697568033624
"0204","pc2001__02__04","resolved_reviewed_deterministic",560,16,410770.129999999,171.298283143903
"0205","pc2001__02__05","resolved_reviewed_deterministic",1057,32,856014.735000001,634.56342420466
"0206","pc2001__02__06","resolved_reviewed_deterministic",660,20,389762.43,437.663197362894
"0207","pc2001__02__07","resolved_reviewed_deterministic",720,20,487587.524999998,451.907635635242
"0208","pc2001__02__08","resolved_reviewed_deterministic",557,16,346363.829999999,382.764005012338
"0209","pc2001__02__09","resolved_reviewed_deterministic",879,24,540474.665,563.550925140701
"0210","pc2001__02__10","resolved_reviewed_deterministic",761,20,464630.825,386.877779434978
"0211","pc2001__02__11","resolved_reviewed_deterministic",895,28,683823.995000002,393.44385905129
"0212","pc2001__02__12","resolved_reviewed_deterministic",226,8,75659.555,140.477795240723
"0301","pc2001__03__01","resolved_reviewed_deterministic",1096,28,2128940.29,649.754992698002
"0302","pc2001__03__02","resolved_reviewed_deterministic",1603,40,2903407.54000001,846.905460242852
