"analysis_id","outcome_id","outcome_variable","mechanism_family","tier","denominator","specification_id","adjustment_id","construction_id","fixed_effect","term","estimate","std.error","statistic","p.value","p_holm_within_spec","n","status","reason"
"labor__nss66__primary__labor_force_participation_age15plus__region_main__nonzero_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",0.00901722700148487,0.0111225386338183,0.810716626694183,0.417965712729255,0.80125596045834,458,"estimated",
"labor__nss66__primary__labor_force_participation_age15plus__region_main__glottolog_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",0.000329158071301003,0.0018842104312156,0.17469283995453,0.861401165471885,1,458,"estimated",
"labor__nss66__primary__labor_force_participation_age15plus__region_main__dyen_noncognate","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",0.000480510320714758,0.000362382278202684,1.32597632284326,0.185533911284471,0.371067822568942,458,"estimated",
"labor__nss66__primary__labor_force_participation_age15plus__state_main__nonzero_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",0.0045262628485923,0.0139844607744598,0.323663738029767,0.746356857197376,1,458,"estimated",
"labor__nss66__primary__labor_force_participation_age15plus__state_main__glottolog_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",-0.00247465060140809,0.00316669062858776,-0.781462697703346,0.434979230954863,0.869958461909726,458,"estimated",
"labor__nss66__primary__labor_force_participation_age15plus__state_main__dyen_noncognate","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",0.000289589039222135,0.00042304750381429,0.684530783448989,0.494024938222962,0.988049876445924,458,"estimated",
"labor__nss66__primary__employment_rate_age15plus__region_main__nonzero_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",0.00919535110422072,0.0109297486832789,0.841314047622008,0.40062798022917,0.80125596045834,458,"estimated",
"labor__nss66__primary__employment_rate_age15plus__region_main__glottolog_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",0.000398375673990535,0.00188996837603402,0.210784306786393,0.833152945518043,1,458,"estimated",
"labor__nss66__primary__employment_rate_age15plus__region_main__dyen_noncognate","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",0.000492926421261178,0.000375175280458042,1.31385634111975,0.189577598577927,0.371067822568942,458,"estimated",
"labor__nss66__primary__employment_rate_age15plus__state_main__nonzero_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",0.00351375623785172,0.0140402154661772,0.250263697613213,0.802508173905703,1,458,"estimated",
"labor__nss66__primary__employment_rate_age15plus__state_main__glottolog_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",-0.00218058625660935,0.00324851520606265,-0.67125628734622,0.50243344031434,0.869958461909726,458,"estimated",
"labor__nss66__primary__employment_rate_age15plus__state_main__dyen_noncognate","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",0.000247516117382007,0.000423268194133437,0.584773722222975,0.559019969531163,0.988049876445924,458,"estimated",
