"analysis_id","outcome_id","outcome_variable","mechanism_family","tier","denominator","specification_id","adjustment_id","construction_id","fixed_effect","estimate_2sls","std_error_clustered","p_value_clustered","p_value_clustered_holm_within_spec","effective_f","effective_f_critical_value","effective_f_p_value","effective_f_df","reduced_form_joint_f","reduced_form_joint_p","anderson_rubin_f_beta0","anderson_rubin_p_beta0","anderson_rubin_p_beta0_holm_within_spec","ar_95_lower","ar_95_upper","ar_95_empty","ar_95_n_components","ar_95_disconnected","ar_95_contains_zero","ar_95_grid_accepted_min","ar_95_grid_accepted_max","ar_95_left_truncated","ar_95_right_truncated","ar_95_components","n","status","reason"
"labor__nss66__primary__labor_force_participation_age15plus__region_main__nonzero_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","region_main__nonzero_mean","region_main","nonzero_mean","region",0.00205507510680191,0.00310360696664063,0.508216470286251,0.988974825378538,3.21132187724686,23.1085112116065,0.914697721462378,1,0.657261448798395,0.417965712729255,0.657261448798395,0.417965712729255,0.80125596045834,,,FALSE,2,TRUE,TRUE,-0.0473645953435422,0.0473645953435422,TRUE,TRUE,"[grid<= -0.0473646, -0.0279451] U [-0.00284188, 0.0473646 <=grid]",458,"estimated",
"labor__nss66__primary__labor_force_participation_age15plus__region_main__glottolog_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","region_main__glottolog_mean","region_main","glottolog_mean","region",-0.000890511354791419,0.00522046380388541,0.864631558232755,1,0.728501701266034,23.1085112116065,0.989551019415145,1,0.0305175883313789,0.861401165471885,0.0305175883313789,0.861401165471885,1,,,FALSE,1,FALSE,TRUE,-0.0473645953435422,0.0473645953435422,TRUE,TRUE,"[grid<= -0.0473646, 0.0473646 <=grid]",458,"estimated",
"labor__nss66__primary__labor_force_participation_age15plus__region_main__dyen_noncognate","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","region_main__dyen_noncognate","region_main","dyen_noncognate","region",-0.00831251974966304,0.0157387311361637,0.597656088783434,1,0.336217192605476,23.1085112116065,0.995185949011072,1,1.75821320874093,0.185533911284471,1.75821320874093,0.185533911284471,0.371067822568942,,,FALSE,1,FALSE,TRUE,-0.0473645953435422,0.0473645953435422,TRUE,TRUE,"[grid<= -0.0473646, 0.0473646 <=grid]",458,"estimated",
"labor__nss66__primary__labor_force_participation_age15plus__state_main__nonzero_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","state_main__nonzero_mean","state_main","nonzero_mean","state",0.00999151500695016,0.0383068063156257,0.79435492036369,1,0.468563895077224,23.1085112116065,0.993449341569306,1,0.104758215315402,0.746356857197376,0.104758215315402,0.746356857197376,1,,,FALSE,1,FALSE,TRUE,-0.0473645953435422,0.0473645953435422,TRUE,TRUE,"[grid<= -0.0473646, 0.0473646 <=grid]",458,"estimated",
"labor__nss66__primary__labor_force_participation_age15plus__state_main__glottolog_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","state_main__glottolog_mean","state_main","glottolog_mean","state",0.00844326943148829,0.0131315538179061,0.52059756987588,1,1.46766504586573,23.1085112116065,0.974466006678385,1,0.610683947901791,0.434979230954863,0.610683947901791,0.434979230954863,0.869958461909726,,,FALSE,1,FALSE,TRUE,-0.0473645953435422,0.0473645953435422,TRUE,TRUE,"[grid<= -0.0473646, 0.0473646 <=grid]",458,"estimated",
"labor__nss66__primary__labor_force_participation_age15plus__state_main__dyen_noncognate","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","state_main__dyen_noncognate","state_main","dyen_noncognate","state",0.0688883916833287,0.775036628336949,0.92921725171073,1,0.00967105183150115,23.1085112116065,0.999463618591377,1,0.468582393489287,0.494024938222962,0.468582393489287,0.494024938222962,0.988049876445924,,,FALSE,1,FALSE,TRUE,-0.0473645953435422,0.0473645953435422,TRUE,TRUE,"[grid<= -0.0473646, 0.0473646 <=grid]",458,"estimated",
"labor__nss66__primary__employment_rate_age15plus__region_main__nonzero_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","region_main__nonzero_mean","region_main","nonzero_mean","region",0.00209567055919472,0.0030649324511267,0.494487412689269,0.988974825378538,3.21132187724686,23.1085112116065,0.914697721462378,1,0.707809326726126,0.40062798022917,0.707809326726126,0.40062798022917,0.80125596045834,,,FALSE,2,TRUE,TRUE,-0.0487722312692567,0.0487722312692567,TRUE,TRUE,"[grid<= -0.0487722, -0.0275563] U [-0.00268247, 0.0487722 <=grid]",458,"estimated",
"labor__nss66__primary__employment_rate_age15plus__region_main__glottolog_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","region_main__glottolog_mean","region_main","glottolog_mean","region",-0.00107777415197193,0.00518938289498486,0.835568221446812,1,0.728501701266034,23.1085112116065,0.989551019415145,1,0.0444300239874203,0.833152945518043,0.0444300239874203,0.833152945518043,1,,,FALSE,1,FALSE,TRUE,-0.0487722312692567,0.0487722312692567,TRUE,TRUE,"[grid<= -0.0487722, 0.0487722 <=grid]",458,"estimated",
"labor__nss66__primary__employment_rate_age15plus__region_main__dyen_noncognate","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","region_main__dyen_noncognate","region_main","dyen_noncognate","region",-0.00852731030994138,0.0159667683559561,0.593564882081676,1,0.336217192605476,23.1085112116065,0.995185949011072,1,1.72621848510057,0.189577598577927,1.72621848510057,0.189577598577927,0.371067822568942,,,FALSE,1,FALSE,TRUE,-0.0487722312692567,0.0487722312692567,TRUE,TRUE,"[grid<= -0.0487722, 0.0487722 <=grid]",458,"estimated",
"labor__nss66__primary__employment_rate_age15plus__state_main__nonzero_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","state_main__nonzero_mean","state_main","nonzero_mean","state",0.0077564536916307,0.03613500509821,0.830144796587239,1,0.468563895077224,23.1085112116065,0.993449341569306,1,0.0626319183430379,0.802508173905703,0.0626319183430379,0.802508173905703,1,,,FALSE,1,FALSE,TRUE,-0.0487722312692567,0.0487722312692567,TRUE,TRUE,"[grid<= -0.0487722, 0.0487722 <=grid]",458,"estimated",
"labor__nss66__primary__employment_rate_age15plus__state_main__glottolog_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","state_main__glottolog_mean","state_main","glottolog_mean","state",0.00743995021870033,0.0132286039272327,0.574139947519091,1,1.46766504586573,23.1085112116065,0.974466006678385,1,0.450585003301831,0.50243344031434,0.450585003301831,0.50243344031434,0.869958461909726,,,FALSE,1,FALSE,TRUE,-0.0487722312692567,0.0487722312692567,TRUE,TRUE,"[grid<= -0.0487722, 0.0487722 <=grid]",458,"estimated",
"labor__nss66__primary__employment_rate_age15plus__state_main__dyen_noncognate","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","state_main__dyen_noncognate","state_main","dyen_noncognate","state",0.0588799468651408,0.667152429632977,0.929716398224722,1,0.00967105183150115,23.1085112116065,0.999463618591377,1,0.341960306202513,0.559019969531163,0.341960306202513,0.559019969531163,0.988049876445924,,,FALSE,1,FALSE,TRUE,-0.0487722312692567,0.0487722312692567,TRUE,TRUE,"[grid<= -0.0487722, 0.0487722 <=grid]",458,"estimated",
