"target_unit_2001","n_source_districts","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","n_rural_people","n_urban_people","preferred_eligible","support_reason"
"pc2001__01__01",1,691,18,320372.269999999,230.471777587002,527,164,TRUE,
"pc2001__01__02",1,1722,38,780900.920000005,707.646583425291,1015,707,TRUE,
"pc2001__01__03",1,2283,54,873081.660000004,912.231906542632,344,1939,TRUE,
"pc2001__01__04",1,997,21,522564.280000004,558.51395652044,821,176,TRUE,
"pc2001__01__05",1,1105,24,693283.110000005,317.254693279608,930,175,TRUE,
"pc2001__01__06",1,2181,47,1000893.735,974.802214265786,1482,699,TRUE,
"pc2001__01__09",1,243,8,345729.845,45.8803747477083,126,117,FALSE,"low_kish_effective_n"
"pc2001__01__10",1,1101,28,754423.015,458.818760717461,784,317,TRUE,
"pc2001__01__12",1,134,3,526738.68,91.3529768936231,92,42,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__01__13",1,3225,84,1710035.37,1362.71604965735,1355,1870,TRUE,
"pc2001__01__14",1,596,16,613132.06,287.867617757165,474,122,TRUE,
"pc2001__02__01",1,771,20,491544.860000001,434.813285195582,658,113,TRUE,
"pc2001__02__02",1,1490,44,1380565.89500001,1048.97180826159,1389,101,TRUE,
"pc2001__02__03",1,226,8,32902.22,115.697568033624,226,0,TRUE,
"pc2001__02__04",1,560,16,410770.129999999,171.298283143903,460,100,TRUE,
"pc2001__02__05",1,1057,32,856014.735000001,634.56342420466,941,116,TRUE,
"pc2001__02__06",1,660,20,389762.43,437.663197362894,543,117,TRUE,
"pc2001__02__07",1,720,20,487587.524999998,451.907635635242,591,129,TRUE,
"pc2001__02__08",1,557,16,346363.829999999,382.764005012338,430,127,TRUE,
"pc2001__02__09",1,879,24,540474.665,563.550925140701,616,263,TRUE,
"pc2001__02__10",1,761,20,464630.825,386.877779434978,648,113,TRUE,
"pc2001__02__11",1,895,28,683823.995000002,393.44385905129,694,201,TRUE,
"pc2001__02__12",1,226,8,75659.555,140.477795240723,226,0,TRUE,
"pc2001__03__01",1,1096,28,2128940.29,649.754992698002,648,448,TRUE,
"pc2001__03__02",1,1603,40,2903407.54000001,846.905460242852,704,899,TRUE,
"pc2001__03__03",1,569,16,853416.665,352.142820973584,302,267,TRUE,
