"analysis_id","outcome_id","outcome_variable","mechanism_family","tier","denominator","specification_id","adjustment_id","construction_id","fixed_effect","term","estimate","std.error","statistic","p.value","p_holm_within_spec","n","status","reason"
"labor__plfs_2017_18__conservative__labor_force_participation_age15plus__region_main__nonzero_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",0.0183614731505377,0.0123828384184513,1.48281617913852,0.139101301436328,0.278202602872656,339,"estimated",
"labor__plfs_2017_18__conservative__labor_force_participation_age15plus__region_main__glottolog_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",0.00211810341682589,0.00273103676038894,0.775567523493987,0.438573601633624,0.877147203267248,339,"estimated",
"labor__plfs_2017_18__conservative__labor_force_participation_age15plus__region_main__dyen_noncognate","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",0.00100771221559606,0.000485536324345912,2.07546205107021,0.0387372477907701,0.0774744955815402,339,"estimated",
"labor__plfs_2017_18__conservative__labor_force_participation_age15plus__state_main__nonzero_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",-0.00348536251895598,0.0064219874636262,-0.54272334517887,0.587732879457463,0.93721573727344,339,"estimated",
"labor__plfs_2017_18__conservative__labor_force_participation_age15plus__state_main__glottolog_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",-0.00213924834550509,0.00180277602950113,-1.18664121915193,0.236330431887386,0.424607777083076,339,"estimated",
"labor__plfs_2017_18__conservative__labor_force_participation_age15plus__state_main__dyen_noncognate","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",-0.000512915081606187,0.000474924898836033,-1.07999197949668,0.281033936889052,0.281033936889052,339,"estimated",
"labor__plfs_2017_18__conservative__employment_rate_age15plus__region_main__nonzero_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",0.0175254102158164,0.0134926692589098,1.29888385163252,0.194913131783315,0.278202602872656,339,"estimated",
"labor__plfs_2017_18__conservative__employment_rate_age15plus__region_main__glottolog_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",0.00174089383697822,0.00288891581167864,0.602611481421693,0.547191327245723,0.877147203267248,339,"estimated",
"labor__plfs_2017_18__conservative__employment_rate_age15plus__region_main__dyen_noncognate","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",0.000971310980562583,0.000582146693111131,1.66849866546809,0.0961888009067522,0.0961888009067522,339,"estimated",
"labor__plfs_2017_18__conservative__employment_rate_age15plus__state_main__nonzero_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",-0.00492366496172634,0.0067848017665379,-0.725690319503432,0.46860786863672,0.93721573727344,339,"estimated",
"labor__plfs_2017_18__conservative__employment_rate_age15plus__state_main__glottolog_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",-0.00219689146680251,0.00175753968567945,-1.24998114392689,0.212303888541538,0.424607777083076,339,"estimated",
"labor__plfs_2017_18__conservative__employment_rate_age15plus__state_main__dyen_noncognate","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",-0.00074601741245497,0.000438576736935443,-1.70099631290927,0.0900046311153993,0.180009262230799,339,"estimated",
