"target_unit_2001","n_source_districts","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","n_rural_people","n_urban_people","preferred_eligible","support_reason"
"pc2001__01__01",1,1268,35,791850.498750004,513.79943561999,1087,181,TRUE,
"pc2001__01__02",1,293,7,160377.83375,116.988740041102,155,138,TRUE,
"pc2001__01__03",2,3251,90,847859.616249989,1097.08971794358,333,2918,TRUE,
"pc2001__01__04",1,773,19,466903.372500001,361.740733690236,570,203,TRUE,
"pc2001__01__05",2,811,20,416115.463749999,557.381167265481,547,264,TRUE,
"pc2001__01__06",2,1328,31,949908.679999997,828.919761954271,1125,203,TRUE,
"pc2001__01__07",1,359,11,114596.815,163.387961400477,134,225,TRUE,
"pc2001__01__08",1,190,5,98505.4562500001,67.1389135243866,156,34,FALSE,"low_kish_effective_n"
"pc2001__01__09",1,196,6,228187.99875,70.9537462941572,169,27,FALSE,"low_kish_effective_n"
"pc2001__01__11",1,533,14,495707.356249999,228.710644546962,497,36,TRUE,
"pc2001__01__13",1,2023,60,1579827.59499999,1061.52368572041,735,1288,TRUE,
"pc2001__01__14",1,719,21,477410.135000001,266.851193913843,448,271,TRUE,
"pc2001__02__01",1,737,21,621032.301249999,360.885492365688,705,32,TRUE,
"pc2001__02__02",1,1326,48,1267321.8825,687.631000453326,1089,237,TRUE,
"pc2001__02__03",1,35,1,23487.08125,27.3040863281856,35,0,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__02__04",1,730,23,572985.205,353.184041057141,584,146,TRUE,
"pc2001__02__06",1,431,15,436808.65375,256.63600560155,389,42,TRUE,
"pc2001__02__09",1,739,25,555183.514999999,415.829801020759,498,241,TRUE,
"pc2001__02__10",1,801,19,563559.1825,352.74141803555,725,76,TRUE,
"pc2001__02__12",1,101,5,103883.1375,55.5394325272629,101,0,FALSE,"low_kish_effective_n"
"pc2001__03__01",2,668,21,1424269.31875,365.052920584293,530,138,TRUE,
"pc2001__03__02",1,896,26,1412482.68999999,475.290960507523,306,590,TRUE,
"pc2001__03__03",1,150,5,440701.42375,110.105602409471,65,85,TRUE,
"pc2001__03__04",1,1039,36,1907695.23,632.892886754272,176,863,TRUE,
"pc2001__03__07",1,266,8,492531.49875,161.651789380448,218,48,TRUE,
"pc2001__03__08",1,339,10,440010.905,214.058687798569,175,164,TRUE,
"pc2001__03__10",1,391,11,656642.26125,146.010258588319,328,63,TRUE,
"pc2001__03__12",1,511,14,829258.751250001,231.892904390029,333,178,TRUE,
"pc2001__03__13",1,380,11,532548.44875,183.17145103915,174,206,TRUE,
"pc2001__03__14",1,867,27,1023880.73,378.4881758266,263,604,TRUE,
"pc2001__03__15",1,424,12,631500.804999999,167.118359556635,264,160,TRUE,
"pc2001__03__16",1,1099,30,1591710.93124998,526.773125317681,558,541,TRUE,
"pc2001__04__01",1,1389,48,854979.025000002,884.048942629385,218,1171,TRUE,
"pc2001__05__07",1,363,12,513472.536250001,183.208239453607,252,111,TRUE,
"pc2001__05__08",1,307,10,530575.657500001,197.161896231741,307,0,TRUE,
"pc2001__05__09",1,261,9,383981.7925,180.793690494009,151,110,TRUE,
"pc2001__05__11",1,827,23,877813.91,364.20438457324,299,528,TRUE,
"pc2001__05__13",1,1530,46,1787266.51875001,461.468650160658,839,691,TRUE,
