"source_district_code","target_unit_2001","lineage_status","n_sample_people","n_fsu","sum_person_weight","kish_effective_n"
"01107","pc2001__01__14","resolved_reviewed_deterministic",719,21,477410.135000001,266.851193913843
"01121","pc2001__01__13","resolved_reviewed_deterministic",2023,60,1579827.59499999,1061.52368572041
"01122",,"unresolved_source_district",230,7,234997.34125,143.512434314805
"01205","pc2001__01__11","resolved_reviewed_deterministic",533,14,495707.356249999,228.710644546962
"01206","pc2001__01__12","resolved_reviewed_primary",807,24,837390.69,336.228285403486
"01216","pc2001__01__09","resolved_reviewed_primary",491,13,512563.888750002,217.077016780146
"01217",,"unresolved_source_district",218,6,259619.73125,64.1648071004768
"01218","pc2001__01__09","resolved_reviewed_deterministic",196,6,228187.99875,70.9537462941572
"01219",,"unresolved_source_district",613,18,446350.249999999,171.213051743135
"01220","pc2001__01__10","resolved_reviewed_primary",277,7,287534.61125,114.958375088501
"01301","pc2001__01__01","resolved_reviewed_deterministic",1268,35,791850.498750004,513.79943561999
"01302","pc2001__01__04","resolved_reviewed_deterministic",773,19,466903.372500001,361.740733690236
"01308","pc2001__01__02","resolved_reviewed_primary",1140,29,790560.783749997,554.316345946495
"01309","pc2001__01__02","resolved_reviewed_deterministic",293,7,160377.83375,116.988740041102
"01310","pc2001__01__03","resolved_reviewed_deterministic",2774,78,559118.856249998,2160.57329038292
"01311","pc2001__01__03","resolved_reviewed_deterministic",477,12,288740.76,163.29438584425
"01312","pc2001__01__05","resolved_reviewed_deterministic",522,13,216536.306249999,315.845973343455
"01313","pc2001__01__05","resolved_reviewed_deterministic",289,7,199579.1575,245.571035588328
"01314","pc2001__01__06","resolved_reviewed_deterministic",795,19,537528.55625,458.297023597938
"01315","pc2001__01__06","resolved_reviewed_deterministic",533,12,412380.123749999,371.223827255489
"01403","pc2001__01__07","resolved_reviewed_deterministic",359,11,114596.815,163.387961400477
"01404","pc2001__01__08","resolved_reviewed_deterministic",190,5,98505.4562500001,67.1389135243866
"02102","pc2001__02__02","resolved_reviewed_deterministic",1326,48,1267321.8825,687.631000453326
"02104","pc2001__02__04","resolved_reviewed_deterministic",730,23,572985.205,353.184041057141
"02105","pc2001__02__05","resolved_reviewed_primary",1112,42,1110426.62875,539.191045011477
"02106","pc2001__02__06","resolved_reviewed_deterministic",431,15,436808.65375,256.63600560155
"02107","pc2001__02__07","resolved_reviewed_primary",507,16,448015.5825,211.68311324417
"02201","pc2001__02__01","resolved_reviewed_deterministic",737,21,621032.301249999,360.885492365688
"02203","pc2001__02__03","resolved_reviewed_deterministic",35,1,23487.08125,27.3040863281856
"02208","pc2001__02__08","resolved_reviewed_primary",305,10,303055.082499999,142.868661613553
"02209","pc2001__02__09","resolved_reviewed_deterministic",739,25,555183.514999999,415.829801020759
"02210","pc2001__02__10","resolved_reviewed_deterministic",801,19,563559.1825,352.74141803555
"02211","pc2001__02__11","resolved_reviewed_primary",824,30,770680.166249997,361.754130679112
"02212","pc2001__02__12","resolved_reviewed_deterministic",101,5,103883.1375,55.5394325272629
"03101","pc2001__03__01","resolved_reviewed_deterministic",639,20,1343740.3375,341.265424150576
"03102","pc2001__03__03","resolved_reviewed_deterministic",150,5,440701.42375,110.105602409471
"03103","pc2001__03__04","resolved_reviewed_deterministic",1039,36,1907695.23,632.892886754272
"03104",,"unresolved_source_district",747,25,2048068.93250001,461.704797911195
"03105","pc2001__03__06","resolved_reviewed_primary",280,9,710335.412500001,180.201843855674
"03115","pc2001__03__02","resolved_reviewed_deterministic",896,26,1412482.68999999,475.290960507523
"03116","pc2001__03__02","resolved_reviewed_primary",544,16,1219108.905,298.251579687641
"03117","pc2001__03__07","resolved_reviewed_deterministic",266,8,492531.49875,161.651789380448
"03118",,"unresolved_source_district",437,14,852844.132500002,280.197809105623
"03121","pc2001__03__01","resolved_reviewed_deterministic",29,1,80528.98125,24.3941866056646
"03206","pc2001__03__08","resolved_reviewed_deterministic",339,10,440010.905,214.058687798569
"03207","pc2001__03__09","resolved_reviewed_primary",1968,61,2711296.19250002,1041.49735086993
"03208","pc2001__03__10","resolved_reviewed_deterministic",391,11,656642.26125,146.010258588319
"03209","pc2001__03__11","resolved_reviewed_primary",741,19,1247181.78,385.03143493673
"03210","pc2001__03__12","resolved_reviewed_deterministic",511,14,829258.751250001,231.892904390029
"03211","pc2001__03__13","resolved_reviewed_deterministic",380,11,532548.44875,183.17145103915
"03212","pc2001__03__14","resolved_reviewed_deterministic",867,27,1023880.73,378.4881758266
"03213","pc2001__03__15","resolved_reviewed_deterministic",424,12,631500.804999999,167.118359556635
"03214","pc2001__03__17","resolved_reviewed_primary",1031,28,1408932.725,550.2507616424
"03219","pc2001__03__16","resolved_reviewed_deterministic",1099,30,1591710.93124998,526.773125317681
"03220","pc2001__03__16","resolved_reviewed_primary",410,12,838068.203750002,181.022998763454
"03222","pc2001__03__11","resolved_reviewed_primary",186,5,173315.8275,115.368483290057
"04101","pc2001__04__01","resolved_reviewed_deterministic",1389,48,854979.025000002,884.048942629385
"05101","pc2001__05__01","resolved_reviewed_primary",153,5,231749.38625,116.309935154152
"05102","pc2001__05__02","resolved_reviewed_primary",193,7,250845.2325,113.998082544252
"05103","pc2001__05__03","resolved_reviewed_primary",47,2,63342.66875,29.2134155328787
"05104","pc2001__05__04","resolved_reviewed_primary",328,11,518638.42625,201.498551072212
"05105","pc2001__05__05","resolved_reviewed_primary",1054,35,1146809.275,456.127973913761
"05106","pc2001__05__06","resolved_reviewed_primary",367,12,469069.61625,232.921680665677
"05107","pc2001__05__07","resolved_reviewed_deterministic",363,12,513472.536250001,183.208239453607
"05108","pc2001__05__08","resolved_reviewed_deterministic",307,10,530575.657500001,197.161896231741
"05109","pc2001__05__09","resolved_reviewed_deterministic",261,9,383981.7925,180.793690494009
"05110","pc2001__05__10","resolved_reviewed_primary",143,4,193150.45,67.8050155531642
"05111","pc2001__05__11","resolved_reviewed_deterministic",827,23,877813.91,364.20438457324
"05112",,"unresolved_source_district",1430,40,1639331.46,756.82998767031
"05113","pc2001__05__13","resolved_reviewed_deterministic",1530,46,1787266.51875001,461.468650160658
"06101","pc2001__06__01","resolved_reviewed_deterministic",123,4,128480.5375,49.3954203926298
"06102","pc2001__06__02","resolved_reviewed_deterministic",501,14,1103794.2625,310.049368833079
"06103","pc2001__06__03","resolved_reviewed_deterministic",467,13,1034387.2675,252.280663617517
"06104","pc2001__06__04","resolved_reviewed_deterministic",548,17,1046218.545,319.75205896952
"06105","pc2001__06__05","resolved_reviewed_deterministic",428,11,905902.781249999,184.128190371838
"06106","pc2001__06__06","resolved_reviewed_deterministic",515,14,1482932.21,218.934596454381
"06107","pc2001__06__07","resolved_reviewed_deterministic",803,22,1891488.5575,341.062772855124
"06108","pc2001__06__08","resolved_reviewed_deterministic",489,13,1202992.5225,199.235361888045
"06114","pc2001__06__14","resolved_reviewed_deterministic",577,16,1090928.25,293.105385975262
"06115","pc2001__06__15","resolved_reviewed_deterministic",378,10,718420.84625,182.400309333014
"06118","pc2001__06__18","resolved_reviewed_primary",775,27,1349106.12374999,442.782078603749
"06119","pc2001__06__18","resolved_reviewed_primary",687,13,1513713.80125001,219.848216059814
"06120","pc2001__06__19","resolved_reviewed_deterministic",1043,29,2139120.67875,505.726079925371
"06121","pc2001__06__19","resolved_reviewed_primary",564,13,1727358.9325,224.34123763142
"06209","pc2001__06__09","resolved_reviewed_deterministic",441,12,1099696.15,177.442987109691
"06210","pc2001__06__10","resolved_reviewed_deterministic",711,19,1457801.24374999,333.848357295415
"06211","pc2001__06__11","resolved_reviewed_deterministic",783,21,1522281.53375,328.73562227266
"06212","pc2001__06__12","resolved_reviewed_primary",688,20,1165819.15875,280.514387856538
"06213","pc2001__06__13","resolved_reviewed_primary",629,17,1174322.59124999,299.839675289548
"06216","pc2001__06__16","resolved_reviewed_deterministic",228,6,349763.755,88.7455364664375
"06217","pc2001__06__17","resolved_reviewed_deterministic",626,17,1199163.1825,287.728876788411
"07101","pc2001__07__01","resolved_reviewed_deterministic",2853,94,9600220.22499998,1135.94330718586
"07102","pc2001__07__02","resolved_reviewed_deterministic",95,3,372089.50375,50.8779723992028
"07103","pc2001__07__03","resolved_reviewed_deterministic",189,5,737360.0175,109.585978956798
"07104","pc2001__07__04","resolved_reviewed_deterministic",134,4,532532.154999999,86.4623262433978
"07105","pc2001__07__05","resolved_reviewed_deterministic",87,3,210527.91875,52.7634047209217
"07107","pc2001__07__07","resolved_reviewed_deterministic",216,6,851016.051250001,172.376469335673
"07108","pc2001__07__08","resolved_reviewed_deterministic",90,3,247778.2,53.4279735393254
"07109","pc2001__07__09","resolved_reviewed_deterministic",292,9,2141119.37875,160.287407072883
"08103",,"unresolved_source_district",450,11,1317469.04,265.905924744238
"08115","pc2001__08__15","resolved_reviewed_primary",1680,43,4262178.16500001,619.987216076879
"08116","pc2001__08__16","resolved_reviewed_primary",109,3,492711.32375,47.8466459681885
"08117","pc2001__08__17","resolved_reviewed_deterministic",1084,25,3904371.51000002,383.371144415664
"08118","pc2001__08__18","resolved_reviewed_deterministic",455,10,1718438.98500001,156.428282548903
"08119","pc2001__08__19","resolved_reviewed_deterministic",138,3,552019.025,36.546241678831
"08120","pc2001__08__20","resolved_reviewed_deterministic",369,9,1331869.20625,132.227625926394
"08206",,"unresolved_source_district",1083,28,3271552.16624999,547.289353119205
"08207","pc2001__08__07","resolved_reviewed_primary",518,13,1687882.19875,273.151680987426
"08208","pc2001__08__08","resolved_reviewed_primary",321,8,1001865.2275,141.053211141918
"08209","pc2001__08__09","resolved_reviewed_primary",357,10,911078.792500001,179.417642071841
"08210","pc2001__08__10","resolved_reviewed_primary",263,7,764683.449999999,124.707551669308
"08211","pc2001__08__11","resolved_reviewed_deterministic",447,12,1588113.51625,217.900840346355
