"analysis_id","outcome_id","outcome_variable","mechanism_family","tier","denominator","specification_id","adjustment_id","construction_id","fixed_effect","term","estimate","std.error","statistic","p.value","p_holm_within_spec","n","status","reason"
"labor__plfs_2017_18__primary__labor_force_participation_age15plus__region_main__nonzero_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",0.0185089201244632,0.010828387297659,1.70929609513179,0.0880855517077737,0.176171103415547,467,"estimated",
"labor__plfs_2017_18__primary__labor_force_participation_age15plus__region_main__glottolog_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",0.00261463833725139,0.00288530648096356,0.90619085164853,0.365319796109534,0.730639592219068,467,"estimated",
"labor__plfs_2017_18__primary__labor_force_participation_age15plus__region_main__dyen_noncognate","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",0.000850135446251482,0.000446083140534473,1.90577802432276,0.0573159396412087,0.114631879282417,467,"estimated",
"labor__plfs_2017_18__primary__labor_force_participation_age15plus__state_main__nonzero_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",-0.00741106097974246,0.00574491268704599,-1.29002151702904,0.197751320981751,0.268612318432178,467,"estimated",
"labor__plfs_2017_18__primary__labor_force_participation_age15plus__state_main__glottolog_mean","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",-0.00215677792733779,0.00203095244606678,-1.0619539278306,0.288865393269578,0.433004360543604,467,"estimated",
"labor__plfs_2017_18__primary__labor_force_participation_age15plus__state_main__dyen_noncognate","labor_force_participation_age15plus","labor_force_participation_age15plus","labor_supply","core","age15plus","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",-0.000250320817200498,0.000370740174996397,-0.675192045758006,0.499924412496806,0.499924412496806,467,"estimated",
"labor__plfs_2017_18__primary__employment_rate_age15plus__region_main__nonzero_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",0.0183110440599871,0.0116466283469087,1.57221845795803,0.116602701387163,0.176171103415547,467,"estimated",
"labor__plfs_2017_18__primary__employment_rate_age15plus__region_main__glottolog_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",0.00180081139648852,0.00300618272083306,0.599035908232978,0.549450381147144,0.730639592219068,467,"estimated",
"labor__plfs_2017_18__primary__employment_rate_age15plus__region_main__dyen_noncognate","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",0.000707901230127651,0.000519551280915081,1.36252427071459,0.173713998677909,0.173713998677909,467,"estimated",
"labor__plfs_2017_18__primary__employment_rate_age15plus__state_main__nonzero_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",-0.00853902406674279,0.00569183612271754,-1.5002231059783,0.134306159216089,0.268612318432178,467,"estimated",
"labor__plfs_2017_18__primary__employment_rate_age15plus__state_main__glottolog_mean","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",-0.00271662507702305,0.00219482627285756,-1.23774036725291,0.216502180271802,0.433004360543604,467,"estimated",
"labor__plfs_2017_18__primary__employment_rate_age15plus__state_main__dyen_noncognate","employment_rate_age15plus","employment_rate_age15plus","employment","core","age15plus","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",-0.000432025379349726,0.000355781852893657,-1.21429852544744,0.225314437624721,0.450628875249442,467,"estimated",
