"target_unit_2001","state_code_2001","district_code_2001","in_iv_panel","in_iv_design_support","all_mechanism_outcomes_complete","in_common_analysis","exclusion_reason"
"pc2001__01__01","01","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__01__02","01","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__01__03","01","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__01__04","01","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__01__05","01","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__01__06","01","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__01__07","01","07",FALSE,FALSE,FALSE,FALSE,"not_in_iv_panel"
"pc2001__01__09","01","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__01__11","01","11",FALSE,FALSE,FALSE,FALSE,"not_in_iv_panel"
"pc2001__01__12","01","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__01__13","01","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__01__14","01","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__02__01","02","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__02__02","02","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__02__04","02","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__02__05","02","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__02__06","02","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__02__07","02","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__02__09","02","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__02__10","02","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__02__11","02","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__01","03","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__02","03","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__04","03","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__06","03","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__07","03","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__08","03","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__09","03","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__10","03","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__11","03","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__12","03","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__13","03","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__14","03","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__15","03","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__16","03","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__17","03","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__04__01","04","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__05__04","05","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__05__05","05","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__05__06","05","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__05__07","05","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__05__08","05","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__05__09","05","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__05__11","05","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__05__13","05","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__02","06","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__03","06","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__04","06","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__05","06","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__06","06","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__07","06","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__08","06","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__09","06","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__10","06","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__11","06","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__12","06","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__13","06","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__14","06","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__15","06","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__17","06","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__18","06","18",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__06__19","06","19",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__07__01","07","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__07__07","07","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__07__09","07","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__08__01","08","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__08__02","08","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__08__04","08","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__08__05","08","05",TRUE,TRUE,TRUE,TRUE,"included"
