"","miss_DIST_FROM_NEAREST_PRIMARY_CLASS","miss_dmean_num_ENROLLMENT_COST","miss_father_educ","AGE","HH_SIZE","SECTORRural","SECTORUrban","SEXMale","RELIGIONChristian","RELIGIONHindu","RELIGIONJain","RELIGIONMuslim","RELIGIONOther","RELIGIONSikh","RELIGIONZoroastrian","SOCIAL_GROUPOther Backward Class","SOCIAL_GROUPScheduled Caste","SOCIAL_GROUPScheduled Tribe","state_0708Andhra Pardesh","state_0708Arunachal Pradesh","state_0708Assam","state_0708Bihar","state_0708Chandigarh","state_0708Chhattisgarh","state_0708Dadra & Nagar Haveli","state_0708Daman & Diu","state_0708Delhi","state_0708Goa","state_0708Gujrat","state_0708Haryana","state_0708Himachal Pradesh","state_0708Jammu & Kashmir","state_0708Jharkhand","state_0708Karnataka","state_0708Kerala","state_0708Lakshadweep","state_0708Madhya Pradesh","state_0708Maharastra","state_0708Manipur","state_0708Meghalaya","state_0708Mizoram","state_0708Nagaland","state_0708Orissa","state_0708Pondicheri","state_0708Punjab","state_0708Rajasthan","state_0708Sikkim","state_0708Tamil Nadu","state_0708Tripura","state_0708Uttar Pradesh","state_0708Uttaranchal","state_0708West Bengal"
"miss_DIST_FROM_NEAREST_PRIMARY_CLASS",1,0.00869039419737122,-0.00462511070207824,-0.00899711866541425,0.00376680852338099,0.0157189451588173,-0.0157189451588173,-0.0045380168904497,-0.00669115946207208,-0.0126779878347895,0.0149751496220841,-0.00880628423357553,-0.000240854170387204,0.076520549417717,-0.00239113278024246,-0.000357383482944936,-0.0130588226930477,0.0204350704937813,-0.0121561794350912,0.0493548968612952,-0.00751487246192898,0.0334291288551684,-0.00247498270272925,-0.00482558639173907,-0.00231687054118543,-0.0023210579952905,-0.0050590892981777,-0.00244337593586143,-0.010327923905211,-0.00702500335803538,-0.00602002834668855,-0.0064798294652059,-0.00789394964362074,-0.00982329454922493,-0.00710761516618079,-0.00222713188335955,0.00513098926806018,-0.0140096035888044,0.0862680909877406,0.0245402640237134,-0.00547763167261351,-0.00534036490051099,-0.0100109854485617,-0.00281675790418013,-0.00795681757817092,-0.0116713431556116,-0.0052488365832258,-0.010502993680653,0.0261717130986032,-0.0145261418063378,0.0139371177303669,-0.0128481624644719
"miss_dmean_num_ENROLLMENT_COST",0.00869039419737122,1,0.0022755967676954,-0.0349564625439975,0.0231437447945381,0.0332845660301526,-0.0332845660301526,-0.0119646314541798,-0.0294733073761946,-0.0334591319484046,0.00921630586267516,0.0172672553562632,-0.00118178375740115,0.057922416147493,-0.00532885432604383,0.0102355224740523,-0.014385255229144,0.0767161506718258,-0.0596459483566712,0.180655479329017,0.0146522477046569,0.247015617170005,-0.0121438393746609,-0.00965413852059251,-0.0113680405415809,-0.0113885868548748,0.0385697321937718,-0.0119887564727295,0.0287176479634346,-0.0344691347915936,-0.0092244572690633,-0.0275314798487831,0.127059952231996,-0.0327563540860528,-0.0348744808683579,0.184570807301251,-0.0415936063810859,-0.06874002614193,-0.0334432116300526,-0.0306307236807215,0.0656506327090338,-0.0262032269893486,-0.011005009275758,-0.013820805902298,-0.0390412080439045,0.04081015212769,-0.0257541308473372,-0.0515343675216331,-0.0354745084659293,-0.0734382819322147,0.00142701257813138,-0.0630412572410101
"miss_father_educ",-0.00462511070207824,0.0022755967676954,1,0.0424733862743157,-0.0281850689953344,-0.0115736968849822,0.0115736968849821,-0.0225278387373924,0.00568248159658896,0.0141389974164248,-0.00270568632040924,-0.0200266060550219,-0.00100309205526328,-0.00377771819796857,0.00984535629154004,0.00017600617549102,-0.00882099664017954,0.00697826931231007,-0.0120029669379444,-0.0036033670975765,-0.00476932378006624,0.00693249672922524,0.00484171089406015,0.00557281091911134,-0.00879765006239988,-0.00286693013521022,0.00448489074528589,-0.00290762417692706,0.000936213256552418,-0.00867716096190808,0.00711358317680819,0.00514648076837377,0.00496520680159336,-0.0100899907393496,-0.00896830840671216,0.00578061288683975,-0.0024386992988257,-0.0110084347378752,0.00398247946689751,-0.00581891652372425,-0.000260204664252729,-0.00658022956453738,0.00107791155647184,-0.0026167031191656,0.00670310976551816,0.00781862996944963,0.0187180457694903,-0.01671780186699,-0.00258295266433599,0.0326944385533575,-0.00278933291128997,-0.0190115281481179
"AGE",-0.00899711866541425,-0.0349564625439975,0.0424733862743157,1,-0.0742596598605929,-0.0478914193817622,0.0478914193817622,0.00358636230564617,0.0198438460135264,-0.00492640608426924,-0.00411262603412992,0.00105532451640741,0.000510227144219401,-0.0079028755767099,0.000518522318170184,-0.0173242609570284,-0.0075594181539238,-0.0180537212294427,0.00609708891196057,-0.00605632965702367,-0.000775455204149294,-0.073712751591762,0.00504331352799043,0.00228613823800697,-0.00894115886365182,-0.00249418722729094,-0.00273641763365645,0.0040508954815778,0.00757720244703625,0.015754349158007,0.0115582005807837,0.0301138339990543,-0.0147815746447346,0.010827486520336,0.00949069858703529,0.0043713671426883,-0.00348256749172382,0.0282078399572831,-0.0114034325720198,-0.00624635044811508,-0.00653812499030686,0.00395824439236238,-0.000820480408662728,-0.000332753781602385,0.020681302095449,0.00090014992758349,1.17302440072285e-05,0.00517142580617975,0.0189939788116813,-0.0135464314432841,0.00304648855586164,0.0108118424698831
"HH_SIZE",0.00376680852338099,0.0231437447945381,-0.0281850689953344,-0.0742596598605929,1,0.0620229568196264,-0.0620229568196264,0.0547649190476054,-0.00454544894279622,-0.0826507635799564,-0.0417569619798331,0.134390579674624,-0.00252755065339154,-0.00108469867143304,0.0069106731961169,0.0567408178222301,-0.0206937909909729,-0.0257976692558219,-0.112063140963263,-0.00346317221069721,-0.0114860846500142,0.0586538472310252,-0.0158037266647687,0.0080757096946266,0.0016042490778088,-0.0145474607458279,-0.0129126838835254,-0.0197903543546969,0.00455615177678565,0.0173367750799355,-0.0182153541666602,0.0124966284760468,0.00608600519962171,-0.0172685158046506,-0.04673870832784,0.0287625205774947,0.0189389337562767,-0.020003069110716,-0.0209957112517882,-0.000570201523027023,-0.0179543502359981,-0.0237185333711005,-0.0271790171232677,-0.0272225567850946,-0.00506970827242585,0.0547567908795417,-0.026040994508965,-0.105639849266442,-0.0427524199960547,0.188195248861309,0.0145849934993278,-0.0523503264635573
"SECTORRural",0.0157189451588173,0.0332845660301526,-0.0115736968849822,-0.0478914193817622,0.0620229568196264,1,-1,0.00304588532625059,0.0105667242075013,0.0756858743865343,-0.00554122287111307,-0.0929424393299992,-8.94363139146532e-05,0.00667658943017838,-0.053827313036775,0.0424167336283761,0.0601291144952611,0.111372196825583,-0.00647456958058033,-0.00637816943816348,0.0113405131038077,0.0995227120928139,-0.0460023158361835,0.00754822074458027,-0.0104653378371587,-0.0157229088315976,-0.121840774473,-0.0263012620006889,-0.0398113600461492,-0.009984176011894,0.0294388365339078,-0.016826634410748,0.023206843056162,-0.0267574608049556,-0.00666450504114017,-0.0332957358712072,-0.00453394388311098,-0.0798230900929935,0.0121572846326499,0.0253690463191732,-0.0583509501621576,0.0114242119035215,0.0429424979274198,-0.0418743424681936,-0.0283954857581702,0.0164480174127779,0.0413109632513501,-0.0648685848711559,0.0449911483648482,0.0518243148820761,-0.00429375027625609,0.0137410652521883
"SECTORUrban",-0.0157189451588173,-0.0332845660301526,0.0115736968849821,0.0478914193817622,-0.0620229568196264,-1,1,-0.00304588532625059,-0.0105667242075013,-0.0756858743865343,0.00554122287111307,0.0929424393299992,8.9436313914654e-05,-0.00667658943017838,0.053827313036775,-0.0424167336283761,-0.0601291144952611,-0.111372196825583,0.00647456958058033,0.00637816943816348,-0.0113405131038077,-0.0995227120928139,0.0460023158361835,-0.00754822074458027,0.0104653378371587,0.0157229088315976,0.121840774473,0.0263012620006889,0.0398113600461492,0.009984176011894,-0.0294388365339078,0.016826634410748,-0.023206843056162,0.0267574608049556,0.00666450504114017,0.0332957358712072,0.00453394388311098,0.0798230900929935,-0.0121572846326499,-0.0253690463191732,0.0583509501621576,-0.0114242119035215,-0.0429424979274198,0.0418743424681936,0.0283954857581703,-0.0164480174127779,-0.0413109632513501,0.0648685848711559,-0.0449911483648482,-0.0518243148820761,0.00429375027625609,-0.0137410652521883
"SEXMale",-0.0045380168904497,-0.0119646314541798,-0.0225278387373924,0.00358636230564617,0.0547649190476054,0.00304588532625059,-0.00304588532625059,1,-0.00839657469926004,-0.00710497306016851,0.00846062364621928,0.00485881736705069,0.00195856410091141,0.00538789111203471,-0.00371184091414161,0.000960777499260167,-0.00453656130948199,0.00289181872143813,0.0137758418860312,0.00538619170629745,-0.00670943836424176,-0.0186098897105631,-0.00509886056161577,0.0017914216358636,-0.0101265417714631,-0.00621516729812965,-0.0062180834590503,-0.000442391434382528,0.000774566117359201,-0.00746030450746856,-0.00181980764917243,0.00222323468891526,-0.0034645732047433,0.00542375788742034,0.00508166910921513,-0.000412373886336574,-0.00754487257030828,0.00398464096441269,-0.00335263192836209,0.0103559782563251,-0.000381138167744558,0.00255801997579084,0.00672256183792339,0.000167962464017364,-0.00533412579285067,-0.00193187793817152,0.00121767623860598,0.0126192674551374,0.00185225713838673,-0.00466053826344272,0.00515101802118315,0.00427593060938861
"RELIGIONChristian",-0.00669115946207208,-0.0294733073761946,0.00568248159658896,0.0198438460135264,-0.00454544894279622,0.0105667242075013,-0.0105667242075013,-0.00839657469926004,1,-0.234642951092739,-0.0340298321613595,-0.0566668210607786,-0.000655324603207925,-0.0117609828388548,-0.00650587921270366,-0.0596323230607102,0.0566987421073608,-0.0534379970570341,-0.0330749658682894,-0.0135610640406284,-0.0176429287890827,-0.0416869189500932,0.0457070845921233,-0.0167602573655223,-0.00630382386834674,-0.00631521724260067,0.0109172809874939,-0.00664802425082952,-0.027208800404019,0.0565113274626166,-0.0129076350631071,-0.00238954191649558,-0.0210959451192937,-0.0264162767915308,-0.0193386524344848,-0.00605965973268109,-0.0335987716915776,-0.0349427085729523,-0.0185449827467373,-0.0169853974690613,-0.0149037353041667,-0.0145302549827608,-0.0257087383289346,-0.00766393520573585,0.657341197117487,-0.0110019763596879,-0.0142812214778547,-0.0285769192003374,-0.0196713806893137,-0.0454473433186146,-0.0108998707258083,-0.034713346990073
"RELIGIONHindu",-0.0126779878347895,-0.0334591319484046,0.0141389974164248,-0.00492640608426924,-0.0826507635799564,0.0756858743865343,-0.0756858743865343,-0.00710497306016851,-0.234642951092739,1,-0.438594959728884,-0.730352767628187,-0.00844617941663228,-0.151581934643174,-0.0838513048720324,0.114224507931177,0.19562252770786,-0.189504678388922,0.0688037098485044,-0.131093762029309,-0.0210699782386564,0.0619457532132072,0.00530848447026303,0.0674551618109027,0.0245238093778771,0.0144470368553878,0.0105476345892405,-0.00498381046028998,0.0505725482975403,0.0338995338750924,0.0492736607660147,-0.119030427673586,0.00586273868204012,0.0277092966372097,-0.0727912225313134,-0.0772882701571679,0.0850627448129754,0.0286435912428815,-0.0786426297708474,-0.200563619530547,-0.190920293394014,-0.181462598372398,0.0962911069466452,0.0066313941696848,-0.131068501292158,0.0607621480112044,-0.0297022810966588,0.0647896999759069,0.0305595942741694,0.0113671916127123,0.00700044883415296,-0.0390471029818536
