"","miss_TUTION_FEE","miss_EXAMINATION_FEE","miss_OTHER_FEES_PAYMENTS","miss_BOOKS","miss_STATIONERY","miss_UNIFORM","miss_TRANSPORT","AGE","HH_SIZE","SECTORRural","SECTORUrban","SEXMale","RELIGIONChristian","RELIGIONHindu","RELIGIONJain","RELIGIONMuslim","RELIGIONOther","RELIGIONSikh","RELIGIONZoroastrian","SOCIAL_GROUPOther Backward Class","SOCIAL_GROUPScheduled Caste","SOCIAL_GROUPScheduled Tribe","state_0708Andhra Pardesh","state_0708Arunachal Pradesh","state_0708Assam","state_0708Bihar","state_0708Chandigarh","state_0708Chhattisgarh","state_0708Dadra & Nagar Haveli","state_0708Daman & Diu","state_0708Delhi","state_0708Goa","state_0708Gujrat","state_0708Haryana","state_0708Himachal Pradesh","state_0708Jammu & Kashmir","state_0708Jharkhand","state_0708Karnataka","state_0708Kerala","state_0708Lakshadweep","state_0708Madhya Pradesh","state_0708Maharastra","state_0708Manipur","state_0708Meghalaya","state_0708Mizoram","state_0708Nagaland","state_0708Orissa","state_0708Pondicheri","state_0708Punjab","state_0708Rajasthan","state_0708Sikkim","state_0708Tamil Nadu","state_0708Tripura","state_0708Uttar Pradesh","state_0708Uttaranchal","state_0708West Bengal"
"miss_TUTION_FEE",1,0.00571181457202822,-0.0612868568855598,0.0603553318560316,0.0360595090896038,0.00436969726277869,-0.0152372867621255,0.0622203131314124,0.00183113587435568,-0.0232916193312959,0.0232916193312959,0.00339503650333156,0.00915791718135486,-0.00851414428541625,-0.0082912254478466,0.0113473428884124,-0.000995425861672046,0.0107212732350917,0.00366249248640436,-0.00580261402909509,0.000981643468844359,-0.0223979953142151,-0.0220479073732264,0.0236650904672825,0.0086234164783325,-0.0065173167411626,-0.000149865024563801,-0.0125724894133125,-0.0072109111938368,-0.00093469316781905,0.00863381926768605,0.000489744038529836,-0.00309219645159048,0.0280234827032439,0.0345067679885125,0.0104121518948864,-0.0192348278571868,-0.00879260374517649,-0.0102248883299245,-0.00423423929895304,-0.00368725360940463,-0.0243890388405035,0.0485207435931563,-0.00829328128720442,-0.0131107705487489,-0.011413833015051,-0.00470718140360508,-0.00758845047805763,0.0113286073926495,0.0136457250023302,-0.0116871601478798,-0.0267802723649221,-0.0133751357670095,0.0421030644554568,0.0111347147543078,-0.0141476368156528
"miss_EXAMINATION_FEE",0.00571181457202822,1,0.179922777706756,0.0406733020370319,0.0466303855850387,0.121455050141082,0.103999401305726,-0.215661560628372,-0.00699275109497663,0.0536627585102664,-0.0536627585102664,0.0159899912357945,-0.0342702903923408,0.0436012523371952,-0.0566958106205932,0.0107534350322165,0.00392169924791425,0.00241884773582214,-0.00381315259406126,0.0379516262910837,0.0446429917653826,-0.00763381274394089,0.127802661074068,0.00467182514068766,-0.0476420142081914,0.039264330401503,0.00133110849503264,-0.0226091717623237,-0.0180069451088288,0.0280034444040623,0.055668821479018,0.0360815813687417,0.156531437009975,-0.00899092870562335,-0.0409905365174223,-0.0489960593865906,9.50576786117895e-05,0.10741334709318,0.0366405020158058,0.0659997627299328,-0.0340856520004261,-0.102786356190212,-0.0549261160355968,-0.0463335677714557,-0.0617939109385199,-0.0131473846307436,-0.0412605622805686,0.0192184346391614,-0.0525659085093223,0.145970389043338,-0.0195775669427432,0.0990071380315595,-0.0868505178938506,-0.132500325790543,-0.0464189387218068,-0.00956767386632318
"miss_OTHER_FEES_PAYMENTS",-0.0612868568855598,0.179922777706756,1,0.0322335013417243,0.043845470655965,0.147363257956902,0.0996709916850671,-0.119316561614263,-0.00598137787367736,0.0515530182041999,-0.0515530182041999,0.0116554245117146,-0.0504354432367368,0.0244828238540735,-0.0248015548054176,0.00813099582642002,-0.00450487086348168,0.0159884205187625,-0.0175576306720992,0.0284369749816386,0.00838793884106727,0.0393568491802263,0.172218050658931,-6.52705928743481e-05,-0.0619060677698787,0.0891655579903552,-0.0137509826132394,0.0141477019207245,0.0521152564214291,0.0284011286754934,-0.029969392375829,-0.00860399272048681,0.119449532950182,-0.076654792892569,-0.0793591703216137,-0.0605800651189801,0.076805169597205,0.0646949776151604,-0.0032970425252978,0.0579709372231606,-0.0303834146150448,0.125803800145494,-0.0753899115877316,0.0283701569732201,0.00672677150277101,-0.0644070616707343,0.0131654959295827,0.0218288424679335,-0.0632195693733446,-0.0397447459491946,-0.0763462985486735,-0.00319604773265498,-0.000276478090347056,-0.144254760979081,-0.0392167824892583,-0.0491124419659634
"miss_BOOKS",0.0603553318560316,0.0406733020370319,0.0322335013417243,1,0.185485903162144,0.0405274476589716,-0.00375213184833336,0.0401199623648523,0.00830411881677042,-0.00568273828911258,0.00568273828911258,0.00602748208252928,-0.00231260331260262,-0.00604966944284606,0.00333527993062921,-0.000565394651495085,-0.000681391993359188,0.00770997529415709,0.0159371415306031,-0.000180154627451244,0.000529107563149447,-0.000810274507463625,-0.00173840393016371,0.0259414162298669,0.000523891885330711,-0.00116549469852671,-0.000707635892478588,0.00741114493974099,-0.00585544765986254,0.00339639857848801,0.00820733573024747,0.00349633897268512,0.0080874730786416,-0.0062933441441697,-1.68038501118323e-05,-0.00817020536470527,-0.00779785529406826,0.00818959262501065,0.0213708780299133,0.000210642072334147,-0.00517409558739568,0.00225129437427291,-0.0118283758127756,0.00211960323807284,-0.00749427882992313,-0.000735184337354568,0.00613171203371038,-0.00738469801805184,-0.00271258738357317,-0.00120337440244312,-0.00423452892840758,-0.0102459529265444,0.00348696406475493,0.000531024462430559,0.00141440587278388,-0.0106906462012428
"miss_STATIONERY",0.0360595090896038,0.0466303855850387,0.043845470655965,0.185485903162144,1,0.0460053266118031,0.00812176411600322,-0.0141686039179438,0.00323745866742368,-0.00575391646120202,0.00575391646120203,0.00217200092136309,-0.00372067683433722,-0.00930591980028068,0.0107151901735538,-0.00878026595298428,-0.000542193854279361,0.030589675563677,-0.000883433701327562,-0.0059887102424865,-0.000787549149894336,0.0211260846373564,0.00204286904263011,0.0536256762702063,-0.00122901625789561,0.0175750279995122,0.00193027285015923,4.06086631578853e-05,0.000172587383281888,0.00698083821322174,0.010337649735702,-1.68183751980161e-05,-0.00178405123337156,-0.00720704858195774,-0.00904548277587671,-0.008292317632972,-0.00875193161520155,0.00814095376013063,-0.0079716522196579,-0.00455238024589821,-0.00503385260704601,0.00406755279414233,-0.00362022584042905,-0.00313789599164705,0.0296619519479056,-0.00222539600294356,-0.00391285410238496,-0.000120881622518712,-0.00381342208221133,-0.013623108361163,-0.00596390670542946,-0.00914448165981946,0.0112058364264368,-0.00721564275121179,-0.00889549677603565,-0.00340632573271981
"miss_UNIFORM",0.00436969726277869,0.121455050141082,0.147363257956902,0.0405274476589716,0.0460053266118031,1,0.0790831423645406,-0.0178522159440673,0.0454208208741552,0.11910496420522,-0.11910496420522,0.0252866525763235,-0.0425858969607251,0.0469524624158025,-0.082462352809394,0.0334198639925251,-0.00389425556370881,-0.0210342923762493,-0.0126713675431432,0.0559109731630665,0.0633417071266428,-0.0536895041178521,0.0587854251902755,-0.0420293954476478,-0.0390641466054664,0.31084828494805,0.00589885932967445,-0.0421718630823311,0.0106571855413578,-0.0244465967368625,-0.0243732838457136,-0.00799960924380071,-0.0409661012429427,-0.0626047128247997,-0.0787723453566359,-0.069433693084303,0.0390725660839045,0.0577688118544166,-0.0462734399199585,0.0501658909353598,-0.00793968893523966,-0.0529938470738346,-0.0802514472965195,0.00610386610986452,-0.0719536629425446,-0.0661088386047788,-0.0206356212505386,0.0147766997205188,-0.045630427366198,-0.0985163656355872,-0.017095247785953,-0.0592357193689491,-0.061904699711371,0.101780479829207,-0.0484373904333721,0.080164813709128
"miss_TRANSPORT",-0.0152372867621255,0.103999401305726,0.0996709916850671,-0.00375213184833336,0.00812176411600322,0.0790831423645406,1,-0.250880548055749,0.0819633277844086,0.14201173383907,-0.14201173383907,0.0227470243217761,-0.0503948582396531,-0.0182967589712908,0.00985636321486402,0.0290344943633865,-0.0123944303805881,0.0251598867673386,-0.0402893846927651,0.0321275707288174,0.0714361116374513,0.0844998718706833,-0.0571394404836274,0.0393412877232015,0.0198420388482046,0.0792860356289859,-0.0276946131488374,0.0210809573288899,-0.00207592409347661,-0.00994046557992876,-0.0240727740012799,-0.031593283946586,-0.0111605361256525,-0.0287657529099033,0.00740665157982635,-0.0122302330881917,0.00620932715048388,-0.0112283102051198,-0.161648136411699,-0.00860027337289685,0.0239221293718591,-0.0347268663172709,0.0152493733538906,0.02008124899778,0.0232306549466864,0.0241255858620063,0.0345821645548721,-0.0350930527786847,-0.0529057193702968,0.0329833270567896,0.0362586594390767,-0.0391123546421406,0.0365544392900231,0.0484472049731216,0.00953996420635552,-0.012475141602754
"AGE",0.0622203131314124,-0.215661560628372,-0.119316561614263,0.0401199623648523,-0.0141686039179438,-0.0178522159440673,-0.250880548055749,1,-0.080259344010752,-0.0893228112497067,0.0893228112497067,-0.0174726050085889,0.0212099452023307,-0.00996901690747721,0.0347435086134049,-0.0292240135897587,0.00181853680427605,0.00686731078856385,0.0118093400380556,-0.0335298590402594,-0.0355557089467478,-0.0089745952408536,-0.0130556000230681,0.0116450999860415,-0.00410621322371799,-0.052223304301213,0.0115000151584124,-0.000263473637528363,-0.0129287702356471,-0.00418586927128288,-0.00114071608012276,0.00714189242762203,-0.0238392473629563,0.0123851446445326,0.0219229735856698,0.0447100001448176,-0.00634628139445759,0.00226545703665885,0.03384821668984,0.00715931206895659,-0.024960101096222,0.0353689009830039,0.00756312758863891,0.0307393919564751,-0.0077412248032733,0.0211280825114467,-0.0372201233926911,0.00223133612170772,0.0255058723832461,-0.0133458792443307,0.02052133267162,-0.00381797644324391,0.0281590707166101,-0.014728988907008,0.0117751854087551,-0.00874204543272112
"HH_SIZE",0.00183113587435568,-0.00699275109497663,-0.00598137787367736,0.00830411881677042,0.00323745866742368,0.0454208208741552,0.0819633277844086,-0.080259344010752,1,0.078723623296345,-0.078723623296345,0.0543421952865706,-0.00223723879456931,-0.0623424854325094,-0.0448203107758644,0.118151528750081,-0.00284293606475919,-7.13440466582966e-05,0.00966781371364099,0.0536774647245904,-0.0128502139369254,-0.0251686650390189,-0.114286207536847,-0.00699493696625207,-0.00921758582145894,0.0602314320960794,-0.018395557074868,0.0115436158015728,0.00345616829774333,-0.0145529583297077,-0.0136149743769684,-0.0185753055316466,0.0100635354192859,0.0209654313241406,-0.0156904251838402,0.0155775697164188,0.00426398688114538,-0.0219610466944242,-0.0515737744028267,0.0309863318894325,0.0270533164793967,-0.0178980929234791,-0.02354339636712,0.00306796055208729,-0.0152155962234282,-0.0238433055171057,-0.0235050256493335,-0.0280396902004999,0.00127776646956817,0.0623372832581147,-0.0244105922059047,-0.108270643082476,-0.0448243959029866,0.198125393677342,0.00926649043119644,-0.0572666665830893
"SECTORRural",-0.0232916193312959,0.0536627585102664,0.0515530182041999,-0.00568273828911258,-0.00575391646120202,0.11910496420522,0.14201173383907,-0.0893228112497067,0.078723623296345,1,-1,-0.0151555201930197,0.00531994917434157,0.0640113465718199,-0.00782694197141297,-0.0765050723855216,0.000196941576591139,0.00226978145508802,-0.0588470827574801,0.0555943422155035,0.0665328843984568,0.103148693307518,-0.00304875424080698,-0.0142085093773116,0.0103737751402364,0.0954104706179026,-0.0479916270472873,0.00810807629576365,-0.0130727146674836,-0.0167736405366831,-0.119169459752594,-0.0233720536719244,-0.0434425420162731,-0.00900461671849364,0.0354866091935554,-0.0174297632026319,0.0128651355161746,-0.0309659538414268,-0.00175682190880785,-0.0314600486820782,0.000212593865915335,-0.079816861001199,0.0130352480691784,0.0257493254551602,-0.0624963965079228,0.01314016591481,0.0393742350307955,-0.0442646980563536,-0.0292505975257217,0.017572819141929,0.0485783405781018,-0.0633958843300245,0.0423438626151521,0.0723160387393232,-0.00175043990011552,0.0136417734903913
