"missing_var","n_missing","pct_missing"
"enrolled",0,0
"AGE",0,0
"SEX",0,0
"HH_SIZE",0,0
"RELIGION",0,0
"SOCIAL_GROUP",0,0
"SECTOR",0,0
"state_0708",0,0
"DIST_FROM_NEAREST_PRIMARY_CLASS",312,0.00245194347955928
"dmean_num_ENROLLMENT_COST",7109,0.0558681608852145
"father_educ",5205,0.0409050186253399
"TUTION_FEE",39994,0.314304575389403
"EXAMINATION_FEE",68331,0.536999198403093
"OTHER_FEES_PAYMENTS",71365,0.560842776983166
"BOOKS",38637,0.303640193011961
"STATIONERY",38189,0.300119453656696
"UNIFORM",65463,0.514460179494837
"TRANSPORT",111204,0.873929239425994
"Total probit-relevant with NA",120380,0.946041525863288
"Total probit-relevant with no NA",6866,0.0539584741367116
