"term","estimate","std.error","statistic","p.value","missing_var","pseudoR2","nobs","status","reason","p_adj"
"(Intercept)",-23.1252561378643,3699.56881051632,-0.00625079768002394,0.995012617516654,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",NA
"SECTORUrban",-0.627249532292162,0.156232498597739,-4.01484670553197,5.9484443756584e-05,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.000611839992924864
"SEXFemale",0.184698566682513,0.116437670385862,1.58624409154221,0.112683949387463,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.395768017360847
"AGE",-0.0233713551492335,0.0141382278711658,-1.653061144735,0.0983184200811652,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.363021858761226
"HH_SIZE",0.031201125645186,0.0260131556506891,1.19943639534404,0.230358302797823,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.737146568953035
"RELIGIONMuslim",-0.473819055333382,0.210655274993435,-2.24926271297098,0.0244957866147357,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.125978331161498
"RELIGIONChristian",-13.7829531936146,1341.20052345487,-0.0102765790443553,0.991800620563008,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"RELIGIONSikh",1.42411623435977,0.271761264883287,5.24032089330827,1.6029760407131e-07,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",2.18847144635863e-06
"RELIGIONJain",-0.27489849594776,0.30153004315789,-0.911678627670994,0.361937917912869,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"RELIGIONBuddhist",-17.639549409956,1783.18670794262,-0.0098921494487293,0.992107335404198,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
