"state_0708","region_0708","n","pct_any_na","miss_dmean_num_ENROLLMENT_COST","miss_DIST_FROM_NEAREST_PRIMARY_CLASS","miss_father_educ","is_urban","is_female","is_hindu","is_muslim","is_st_sc_obc","region_diagnostic_level"
"Manipur","all_regions_available_in_state_only_input",2358,91.43,0,3.35,4.66,28.33,54.66,50.42,9.29,85.88,"state_only_fallback"
"Arunachal Pradesh","all_regions_available_in_state_only_input",1485,97.64,43.77,2.49,3.43,35.22,50.98,23.03,1.68,75.15,"state_only_fallback"
"Meghalaya","all_regions_available_in_state_only_input",1984,95.51,0,1.21,3.18,23.03,49.34,6.3,3.93,92.04,"state_only_fallback"
"Tripura","all_regions_available_in_state_only_input",2647,96.49,0,1.13,3.74,18.02,52.81,84.21,12.05,70.04,"state_only_fallback"
"Uttaranchal","all_regions_available_in_state_only_input",1843,93.38,5.86,0.81,3.64,34.13,51.33,77.65,21.32,48.51,"state_only_fallback"
"Bihar","all_regions_available_in_state_only_input",11185,98.39,23.86,0.78,4.53,17.47,56.43,83.77,16.04,85.28,"state_only_fallback"
"Madhya Pradesh","all_regions_available_in_state_only_input",7841,94.31,1.86,0.34,3.9,33.3,54.92,89.49,9.41,80.18,"state_only_fallback"
"Chhattisgarh","all_regions_available_in_state_only_input",2550,94.31,4.04,0.08,4.86,30,52.82,95.53,1.96,90.51,"state_only_fallback"
"Uttar Pradesh","all_regions_available_in_state_only_input",17239,95.98,1.33,0.06,5.73,26.35,54.04,76.38,23.15,80.17,"state_only_fallback"
"Andaman & Nicober","all_regions_available_in_state_only_input",456,82.89,0,0,3.29,42.11,50.66,67.98,13.38,23.03,"state_only_fallback"
"Andhra Pardesh","all_regions_available_in_state_only_input",7215,97.3,0,0,3.13,33.75,50.66,87.29,10.64,73.49,"state_only_fallback"
"Assam","all_regions_available_in_state_only_input",2855,93.7,7.81,0,3.47,28.97,55.66,69.14,28.09,48.2,"state_only_fallback"
"Chandigarh","all_regions_available_in_state_only_input",317,86.75,0,0,5.99,75.71,58.36,79.81,5.36,37.54,"state_only_fallback"
"Dadra & Nagar Haveli","all_regions_available_in_state_only_input",277,97.11,0,0,0.36,42.96,64.26,97.83,0.36,76.9,"state_only_fallback"
"Daman & Diu","all_regions_available_in_state_only_input",279,96.77,0,0,2.87,48.39,60.22,88.53,9.32,68.82,"state_only_fallback"
"Delhi","all_regions_available_in_state_only_input",1310,90.61,14.27,0,4.96,88.4,56.49,79.62,15.8,47.56,"state_only_fallback"
"Goa","all_regions_available_in_state_only_input",308,94.16,0,0,2.92,57.47,53.9,70.78,14.29,24.03,"state_only_fallback"
"Gujrat","all_regions_available_in_state_only_input",5289,96.62,8.75,0,4.18,41.44,53.28,85.65,13.06,71.79,"state_only_fallback"
"Haryana","all_regions_available_in_state_only_input",2502,89.01,0,0,2.88,35.77,56.08,85.49,7.15,57.87,"state_only_fallback"
"Himachal Pradesh","all_regions_available_in_state_only_input",1847,91.07,3.84,0,5.25,21.12,54.2,92.69,3.09,45.97,"state_only_fallback"
