"row_index","n_neighbors","district_panel_id","state_20","district_20","state_std","district_std"
145,0,"2001__01__01","Jammu and Kashmir","Kupwara","01","01"
193,0,"2001__31__01","Lakshadweep","Lakshadweep","31","01"
248,0,"2001__27__22","Maharashtra","Mumbai Suburban","27","22"
271,0,"2001__14__08","Manipur","Kamjong","14","08"
277,0,"2001__17__01","Meghalaya","South West Garo Hills","17","01"
392,0,"2001__28__03","Telangana","Karimnagar","28","03"
393,0,"2001__28__04","Telangana","Medak","28","04"
394,0,"2001__28__05","Telangana","Hyderabad","28","05"
396,0,"2001__28__09","Telangana","Warangal Rural","28","09"
479,0,"2001__19__17","West Bengal","Kolkata","19","17"
