"row_index","n_neighbors","district_panel_id","state_code_2001","district_code_2001","state_std","district_std"
1,1,"2001__01__01","01","01","jammu and kashmir","kupwara"
2,3,"2001__01__02","01","02","jammu and kashmir","baramula"
3,4,"2001__01__03","01","03","jammu and kashmir","srinagar"
4,4,"2001__01__04","01","04","jammu and kashmir","badgam"
5,3,"2001__01__05","01","05","jammu and kashmir","pulwama"
6,6,"2001__01__06","01","06","jammu and kashmir","anantnag"
7,5,"2001__01__09","01","09","jammu and kashmir","doda"
8,5,"2001__01__10","01","10","jammu and kashmir","udhampur"
9,2,"2001__01__12","01","12","jammu and kashmir","rajauri"
10,2,"2001__01__13","01","13","jammu and kashmir","jammu"
11,5,"2001__01__14","01","14","jammu and kashmir","kathus"
12,5,"2001__02__01","02","01","himachal pradesh","chamba"
13,7,"2001__02__02","02","02","himachal pradesh","kangra"
14,5,"2001__02__03","02","03","himachal pradesh","lahul and spiti"
15,5,"2001__02__04","02","04","himachal pradesh","kullu"
16,6,"2001__02__05","02","05","himachal pradesh","mandi"
17,4,"2001__02__06","02","06","himachal pradesh","hamirpur"
18,4,"2001__02__07","02","07","himachal pradesh","una"
19,5,"2001__02__08","02","08","himachal pradesh","bilaspur"
20,6,"2001__02__09","02","09","himachal pradesh","solan"
21,7,"2001__02__10","02","10","himachal pradesh","sirmapur"
22,7,"2001__02__11","02","11","himachal pradesh","shimla"
23,4,"2001__02__12","02","12","himachal pradesh","kinnaur"
24,5,"2001__03__01","03","01","punjab","gurdaspur"
25,3,"2001__03__02","03","02","punjab","amritsar"
26,5,"2001__03__03","03","03","punjab","kapurthala"
27,4,"2001__03__04","03","04","punjab","jalandhar"
28,4,"2001__03__06","03","06","punjab","nawanshahr"
29,9,"2001__03__07","03","07","punjab","rupnagar"
30,4,"2001__03__08","03","08","punjab","fatehgarh sahib"
31,7,"2001__03__09","03","09","punjab","ludhiana"
32,5,"2001__03__10","03","10","punjab","moga"
33,9,"2001__03__11","03","11","punjab","firozpur"
34,5,"2001__03__12","03","12","punjab","muktsar"
35,4,"2001__03__13","03","13","punjab","faridkot"
36,6,"2001__03__14","03","14","punjab","bhatinda"
37,4,"2001__03__15","03","15","punjab","sahib mansa"
38,8,"2001__03__16","03","16","punjab","sangrur"
39,9,"2001__03__17","03","17","punjab","patiala"
40,3,"2001__04__01","04","01","chandigarh","chandigarh"
41,6,"2001__05__01","05","01","uttarakhand","uttar kashi"
42,6,"2001__05__02","05","02","uttarakhand","chamoli"
43,4,"2001__05__03","05","03","uttarakhand","rudraprayag"
44,4,"2001__05__04","05","04","uttarakhand","tehri garhwal"
45,7,"2001__05__05","05","05","uttarakhand","dehradun"
46,8,"2001__05__06","05","06","uttarakhand","garhwal"
47,4,"2001__05__07","05","07","uttarakhand","pithoragarh"
48,3,"2001__05__08","05","08","uttarakhand","bageswar"
49,6,"2001__05__09","05","09","uttarakhand","almora"
50,3,"2001__05__10","05","10","uttarakhand","champawat"
51,4,"2001__05__11","05","11","uttarakhand","nainital"
52,5,"2001__05__13","05","13","uttarakhand","hardwar"
53,6,"2001__06__01","06","01","haryana","panchkula"
54,5,"2001__06__02","06","02","haryana","ambala"
55,4,"2001__06__03","06","03","haryana","yamuna nagar"
56,6,"2001__06__04","06","04","haryana","kurukshetra"
57,4,"2001__06__05","06","05","haryana","kaithal"
58,6,"2001__06__06","06","06","haryana","karnal"
59,5,"2001__06__07","06","07","haryana","panipat"
60,6,"2001__06__08","06","08","haryana","sonipat"
61,9,"2001__06__09","06","09","haryana","jind"
62,6,"2001__06__10","06","10","haryana","fatehabad"
63,5,"2001__06__11","06","11","haryana","sirsa"
64,5,"2001__06__12","06","12","haryana","hisar"
65,7,"2001__06__13","06","13","haryana","bhilwani"
66,5,"2001__06__14","06","14","haryana","rohtak"
67,9,"2001__06__15","06","15","haryana","jhaijar"
68,6,"2001__06__16","06","16","haryana","mahendragarh"
69,3,"2001__06__17","06","17","haryana","rewari"
70,7,"2001__06__18","06","18","haryana","gurgaon"
71,5,"2001__06__19","06","19","haryana","faridabad"
72,5,"2001__07__01","07","01","delhi","north west"
73,4,"2001__07__02","07","02","delhi","north"
74,3,"2001__07__03","07","03","delhi","north east"
75,4,"2001__07__04","07","04","delhi","east"
76,4,"2001__07__07","07","07","delhi","west"
77,4,"2001__07__08","07","08","delhi","south west"
78,5,"2001__07__09","07","09","delhi","south"
79,2,"2001__08__01","08","01","rajasthan","ganganagar"
80,8,"2001__08__02","08","02","rajasthan","hanumangarh"
81,5,"2001__08__04","08","04","rajasthan","churu"
82,4,"2001__08__05","08","05","rajasthan","jhunjhunun"
83,6,"2001__08__07","08","07","rajasthan","bharatpur"
84,4,"2001__08__08","08","08","rajasthan","dhaulpur"
85,6,"2001__08__09","08","09","rajasthan","karauli"
86,4,"2001__08__10","08","10","rajasthan","sawai madhopur"
87,5,"2001__08__11","08","11","rajasthan","dausa"
88,6,"2001__08__12","08","12","rajasthan","jaipur"
89,5,"2001__08__13","08","13","rajasthan","sikar"
90,6,"2001__08__14","08","14","rajasthan","nagaur"
91,4,"2001__08__15","08","15","rajasthan","jodhpur"
92,2,"2001__08__16","08","16","rajasthan","jaisalmer"
93,5,"2001__08__17","08","17","rajasthan","barmer"
94,5,"2001__08__18","08","18","rajasthan","jalor"
95,4,"2001__08__19","08","19","rajasthan","sirohi"
96,7,"2001__08__20","08","20","rajasthan","pali"
97,5,"2001__08__21","08","21","rajasthan","ajmer"
98,5,"2001__08__22","08","22","rajasthan","tonk"
