"panel","x","y","state"
"A. Residualized first-stage bins",-0.983085255247907,-1.13545185293526,
"A. Residualized first-stage bins",-0.379308779435947,0.0339489306859616,
"A. Residualized first-stage bins",-0.198496386983849,-1.05808474656237,
"A. Residualized first-stage bins",-0.106884074648071,0.66203091998099,
"A. Residualized first-stage bins",-0.0337769759375843,-0.979085543560135,
"A. Residualized first-stage bins",0.0440524843898275,-0.515744114835872,
"A. Residualized first-stage bins",0.12496032688412,0.36344479738404,
"A. Residualized first-stage bins",0.215914323323894,1.06291628909741,
"A. Residualized first-stage bins",0.412525942494674,1.7591355874148,
"A. Residualized first-stage bins",0.88819883227469,-0.207461395129827,
"B. State-specific slopes",1,-9.6921437703844,"15"
"B. State-specific slopes",2,-8.1792175311148,"32"
"B. State-specific slopes",3,-6.48121168009234,"19"
"B. State-specific slopes",4,-3.42543020431326,"03"
"B. State-specific slopes",5,-2.93652203045041,"02"
"B. State-specific slopes",6,-2.20238695329177,"20"
"B. State-specific slopes",7,-0.86471817335981,"23"
"B. State-specific slopes",8,-0.720586328640537,"05"
"B. State-specific slopes",9,-0.084368421010561,"28"
"B. State-specific slopes",10,0.0117653876436831,"09"
"B. State-specific slopes",11,0.812885484353526,"21"
"B. State-specific slopes",12,1.5190559240112,"24"
"B. State-specific slopes",13,1.73943954409567,"06"
"B. State-specific slopes",14,1.8879665491902,"10"
"B. State-specific slopes",15,2.28201726527363,"27"
"B. State-specific slopes",16,2.6995874610115,"22"
"B. State-specific slopes",17,2.86749965417045,"17"
"B. State-specific slopes",18,3.7433487392417,"14"
"B. State-specific slopes",19,4.72773502558341,"13"
"B. State-specific slopes",20,4.86549803458577,"12"
"B. State-specific slopes",21,5.26305759249362,"08"
"B. State-specific slopes",22,6.48037632949841,"18"
"B. State-specific slopes",23,7.24314223072148,"07"
"B. State-specific slopes",24,7.73271946591221,"01"
"B. State-specific slopes",25,8.28802616591088,"29"
"B. State-specific slopes",26,18.2008837726307,"33"
