"Term","Real Log Consumption Growth"
"Constant","-1.007"
"","(1.238)"
"EMIE","0.014"
"","(0.031)"
"Log population","-0.004"
"","(0.042)"
"Urban population share","0.002"
"","(0.004)"
"Secondary-plus share, age 7+","-0.005"
"","(0.016)"
"Scheduled Caste share","-0.003"
"","(0.003)"
"Scheduled Tribe share","-0.003"
"","(0.003)"
"Muslim share","0.000"
"","(0.002)"
"Agricultural worker share","0.002"
"","(0.003)"
"Dependency ratio","0.007"
"","(0.004)"
"Electricity access share","-0.001"
"","(0.002)"
"Log population density","-0.054"
"","(0.060)"
"factor(state_code_2001)02","1.100"
"","(1.493)"
"factor(state_code_2001)03","0.950"
"","(1.271)"
"factor(state_code_2001)04","0.728"
"","(1.217)"
"factor(state_code_2001)05","0.891"
"","(1.491)"
"factor(state_code_2001)06","0.921"
"","(1.500)"
"factor(state_code_2001)07","1.144"
"","(1.962)"
"factor(state_code_2001)08","0.878"
"","(1.690)"
"factor(state_code_2001)09","0.914"
"","(1.809)"
"factor(state_code_2001)10","0.857"
"","(1.803)"
"factor(state_code_2001)11","-0.278"
"","(1.322)"
"factor(state_code_2001)12","-0.651"
"","(1.151)"
"factor(state_code_2001)13","-0.534"
"","(0.988)"
"factor(state_code_2001)14","-0.218*"
"","(0.087)"
"factor(state_code_2001)15","0.359"
"","(0.376)"
"factor(state_code_2001)16","1.279"
"","(1.855)"
"factor(state_code_2001)17","0.051"
"","(0.153)"
"factor(state_code_2001)18","0.805"
"","(1.874)"
"factor(state_code_2001)19","1.227"
"","(2.037)"
"factor(state_code_2001)20","0.651"
"","(1.776)"
"factor(state_code_2001)21","0.986"
"","(1.763)"
"factor(state_code_2001)22","0.817"
"","(1.771)"
"factor(state_code_2001)23","0.943"
"","(1.689)"
"factor(state_code_2001)24","1.154"
"","(1.968)"
"factor(state_code_2001)25","0.813"
"","(1.608)"
"factor(state_code_2001)26","1.162"
"","(1.997)"
"factor(state_code_2001)27","0.860"
"","(1.774)"
"factor(state_code_2001)28","0.849"
"","(1.282)"
"factor(state_code_2001)29","0.924"
"","(1.604)"
"factor(state_code_2001)30","0.431"
"","(0.589)"
"factor(state_code_2001)31","0.762"
"","(1.355)"
"factor(state_code_2001)32","0.781"
"","(1.058)"
"factor(state_code_2001)33","0.961"
"","(1.500)"
"factor(state_code_2001)34","0.541"
"","(0.885)"
"factor(state_code_2001)35","0.556"
"","(1.164)"
"Observations","573"
"R-squared","0.087"
"Adjusted R-squared","0.009"
"Model's F-Statistic",""
