"panel","variable","n","mean","sd","p10","p90","period","unit"
"Panel A. Schooling, 2007-08","Enrollment",573,74.44,9.72,62.07,87.12,"2007-08","% of children age 5-19"
"Panel A. Schooling, 2007-08","English-medium share among enrolled",573,18.99,25.34,0.83,52.98,"2007-08","% of enrolled children"
"Panel A. Schooling, 2007-08","English-medium exposure among all children",573,14.88,20.33,0.53,43.89,"2007-08","% of children age 5-19"
"Panel A. Schooling, 2007-08","Public-school English-medium exposure",573,5.55,14.26,0,15.56,"2007-08","% of children age 5-19"
"Panel A. Schooling, 2007-08","Private-school English-medium exposure",573,9.2,11.58,0.32,25.41,"2007-08","% of children age 5-19"
"Panel A. Schooling, 2007-08","Private-school enrollment",573,27.11,19.4,3.23,55.43,"2007-08","% of enrolled children"
"Panel B. Inherited linguistic conditions","Speaker-weighted distance from Hindi",573,3.05,1.36,1.04,4.97,"2001","Shastry degrees"
"Panel B. Inherited linguistic conditions","Share speaking languages distant from Hindi",573,42.23,42.8,0.13,98.44,"2001","% of mother-tongue speakers"
"Panel C. Predetermined district capacity","Secondary-plus share, age 7+",573,17.09,7.63,8.48,27.84,"2001","%"
"Panel C. Predetermined district capacity","Urban population share",573,23.27,19.11,6.18,47.54,"2001","%"
"Panel C. Predetermined district capacity","Scheduled Tribe share",573,16.16,25.85,0,56.59,"2001","%"
"Panel D. Later welfare","Real mean consumption per person",557,928.07,377.75,464.61,1419.84,"2004-05","2011-12-price Rs/person/month"
"Panel D. Later welfare","Real mean consumption per person",550,2152.01,618.67,1490.97,2952.44,"2022-23","2011-12-price Rs/person/month"
"Panel D. Later welfare","Real mean consumption per person",551,2242.07,601.13,1622.74,2991.47,"2023-24","2011-12-price Rs/person/month"
