"panel","result_id","measure","predictor_id","complement_id","outcome_round","estimand","estimate","std.error","p.value","p.value_holm","n","unit"
"schooling_welfare","enrollment__hces_2022_23__ancova","Enrollment","enrollment",NA,"hces_2022_23","ancova",0.704772551208796,1.69648001470766,0.678011126106642,1,524,"percent real mean MPCE per 10pp schooling"
"schooling_welfare","emi_among_enrolled__hces_2022_23__ancova","EMI among enrolled","emi_among_enrolled",NA,"hces_2022_23","ancova",3.88217346070438,1.14632972481009,0.000765742594100185,0.0107203963174026,524,"percent real mean MPCE per 10pp schooling"
"schooling_welfare","emi_all_children__hces_2022_23__ancova","EMI exposure among all children","emi_all_children",NA,"hces_2022_23","ancova",5.06224523535005,1.40328829320302,0.000341683498129481,0.00512525247194221,524,"percent real mean MPCE per 10pp schooling"
"schooling_welfare","public_emi_all_children__hces_2022_23__ancova","Public EMI","public_emi_all_children",NA,"hces_2022_23","ancova",4.07191191270039,1.47925464106509,0.00613493602925179,0.0736192323510215,524,"percent real mean MPCE per 10pp schooling"
"schooling_welfare","private_emi_all_children__hces_2022_23__ancova","Private EMI","private_emi_all_children",NA,"hces_2022_23","ancova",5.3120816063404,1.68681576923208,0.001739384705893,0.022612001176609,524,"percent real mean MPCE per 10pp schooling"
"schooling_welfare","enrollment__hces_2022_23__change","Enrollment","enrollment",NA,"hces_2022_23","change",1.26547852128167,1.43571747797177,0.378527589916222,1,524,"percent real mean MPCE per 10pp schooling"
"schooling_welfare","emi_among_enrolled__hces_2022_23__change","EMI among enrolled","emi_among_enrolled",NA,"hces_2022_23","change",2.79495050499217,1.12674028095623,0.0134584775209432,0.146133174478943,524,"percent real mean MPCE per 10pp schooling"
"schooling_welfare","emi_all_children__hces_2022_23__change","EMI exposure among all children","emi_all_children",NA,"hces_2022_23","change",3.88212422692144,1.22842053593342,0.00167567048607862,0.0234593868051007,524,"percent real mean MPCE per 10pp schooling"
"schooling_welfare","public_emi_all_children__hces_2022_23__change","Public EMI","public_emi_all_children",NA,"hces_2022_23","change",1.13028770752837,2.2030616140922,0.608149687175534,1,524,"percent real mean MPCE per 10pp schooling"
"schooling_welfare","private_emi_all_children__hces_2022_23__change","Private EMI","private_emi_all_children",NA,"hces_2022_23","change",5.44203541284716,1.28725272832356,2.82710343151311e-05,0.000424065514726967,524,"percent real mean MPCE per 10pp schooling"
"schooling_welfare","enrollment__hces_2023_24__ancova","Enrollment","enrollment",NA,"hces_2023_24","ancova",-0.0226261209329747,1.08005402368562,0.983295029481212,1,522,"percent real mean MPCE per 10pp schooling"
"schooling_welfare","emi_among_enrolled__hces_2023_24__ancova","EMI among enrolled","emi_among_enrolled",NA,"hces_2023_24","ancova",2.31062030959543,1.15776298117749,0.0465267216240005,0.651374102736007,522,"percent real mean MPCE per 10pp schooling"
