"outcome_round","estimand","treatment_id","schooling_margin","estimate_percent_per_10pp","std_error_percent_per_10pp","p_value_state_clustered","p_value_holm_welfare","n"
"hces_2022_23","ancova","enrollment","Enrollment",0.704772551208796,1.69648001470766,0.678011126106642,1,524
"hces_2022_23","ancova","emi_among_enrolled","EMI among enrolled",3.88217346070438,1.14632972481009,0.000765742594100185,0.0107203963174026,524
"hces_2022_23","ancova","emi_all_children","All-child EMI",5.06224523535005,1.40328829320302,0.000341683498129481,0.00512525247194221,524
"hces_2022_23","ancova","public_emi_all_children","Public EMI",4.07191191270039,1.47925464106509,0.00613493602925179,0.0736192323510215,524
"hces_2022_23","ancova","private_emi_all_children","Private EMI",5.3120816063404,1.68681576923208,0.001739384705893,0.022612001176609,524
"hces_2022_23","change","enrollment","Enrollment",1.26547852128167,1.43571747797177,0.378527589916222,1,524
"hces_2022_23","change","emi_among_enrolled","EMI among enrolled",2.79495050499217,1.12674028095623,0.0134584775209432,0.146133174478943,524
"hces_2022_23","change","emi_all_children","All-child EMI",3.88212422692144,1.22842053593342,0.00167567048607862,0.0234593868051007,524
"hces_2022_23","change","public_emi_all_children","Public EMI",1.13028770752837,2.2030616140922,0.608149687175534,1,524
"hces_2022_23","change","private_emi_all_children","Private EMI",5.44203541284716,1.28725272832356,2.82710343151311e-05,0.000424065514726967,524
"hces_2023_24","ancova","enrollment","Enrollment",-0.0226261209329747,1.08005402368562,0.983295029481212,1,522
"hces_2023_24","ancova","emi_among_enrolled","EMI among enrolled",2.31062030959543,1.15776298117749,0.0465267216240005,0.651374102736007,522
"hces_2023_24","ancova","emi_all_children","All-child EMI",2.61733423268652,1.45253417970956,0.0721896684885169,0.93846569035072,522
"hces_2023_24","ancova","public_emi_all_children","Public EMI",2.04475377397888,1.1768189890939,0.082938420577342,0.995261046928104,522
"hces_2023_24","ancova","private_emi_all_children","Private EMI",2.9412104453264,1.97667733611582,0.13742167275977,1,522
"hces_2023_24","change","enrollment","Enrollment",0.721334623699957,1.44037817121486,0.616745224579478,1,522
"hces_2023_24","change","emi_among_enrolled","EMI among enrolled",0.815548198194743,1.23289583190381,0.508616223627386,1,522
"hces_2023_24","change","emi_all_children","All-child EMI",1.06356844584049,1.61733435380863,0.51110734699328,1,522
"hces_2023_24","change","public_emi_all_children","Public EMI",-0.944254114701828,2.49179782668239,0.704896683253128,1,522
"hces_2023_24","change","private_emi_all_children","Private EMI",2.53385502266813,1.79415503407929,0.158515929843537,1,522
